Sample_ID,Match,Species,Sample_location,Sample_location_full,Year_planted
HESp1,HE-SP 1,Salix pulchra,Qikiqtaruk,QHI,2013
HESp10,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp11,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp12,HE-SP 12,Salix pulchra,Qikiqtaruk,QHI,2013
HESp13,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp14,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp15,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp16,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp17,HE-SP 17,Salix pulchra,Qikiqtaruk,QHI,2013
HESp18,HE-SP 18,Salix pulchra,Qikiqtaruk,QHI,2013
HESp19,HE-SP 19,Salix pulchra,Qikiqtaruk,QHI,2013
HESp2,HE-SP 2,Salix pulchra,Qikiqtaruk,QHI,2013
HESp20,HE-SP 20,Salix pulchra,Qikiqtaruk,QHI,2013
HESp21,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp22,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp23,HE-SP 23,Salix pulchra,Qikiqtaruk,QHI,2013
HESp24,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp25,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp26,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp27,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp28,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp29,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp3,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp30,HE-SP 30,Salix pulchra,Qikiqtaruk,QHI,2013
HESp4,HE-SP 4,Salix pulchra,Qikiqtaruk,QHI,2013
HESp5,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp6,HE-SP 6,Salix pulchra,Qikiqtaruk,QHI,2013
HESp7,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp8,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESp9,NA,Salix pulchra,Qikiqtaruk,QHI,2013
HESr1,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr10,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr11,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr12,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr13,HE-SR 13,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr14,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr15,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr16,HE-SR 16,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr17,HE-SR 17,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr18,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr19,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr2,HE-SR 2,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr20,HE-SR 20,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr21,HE-SR 21,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr22,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr23,HE-SR 23,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr24,HE-SR 24,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr25,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr26,HE-SR 26,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr27,HE-SR 27,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr28,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr29,HE-SR 29,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr3,HE-SR 3,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr30,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr4,HE-SR 4,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr5,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr6,HE-SR 6,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr7,HE-SR 7,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr8,HE-SR 8,Salix richardsonii,Qikiqtaruk,QHI,2013
HESr9,NA,Salix richardsonii,Qikiqtaruk,QHI,2013
KLSpC1,KL-SPC 1,Salix pulchra,Kluane,Pika Camp,2013
KLSpC10,KL-SPC 10,Salix pulchra,Kluane,Pika Camp,2013
KLSpC11,NA,Salix pulchra,Kluane,Pika Camp,2013
KLSpC12,KL-SPC 12,Salix pulchra,Kluane,Pika Camp,2013
