Sample,Species,Origin,Planting Year,Sampling Date,Planting Date,Duration,Water propogated,Rooted out,Leafed out (in propogation),Leaf out in 2016,Leaf out in 2015,Leaf out in 2014
HE-SR 1,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 2,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 3,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 4,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SR 5,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 6,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 7,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 8,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 9,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 10,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 11,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 12,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 13,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 14,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 15,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 16,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SR 17,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 18,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 19,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 20,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SR 21,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 22,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 23,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 24,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SR 25,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 26,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 27,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SR 28,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SR 29,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SR 30,Salix richardsonii,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 1,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SP 2,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 3,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 4,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 5,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 6,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 7,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 8,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 9,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 10,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 11,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 12,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 13,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 14,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SP 15,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 16,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 17,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 18,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 19,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SP 20,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 21,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 22,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 23,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,1,1,1
HE-SP 24,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 25,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 26,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 27,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
HE-SP 28,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 29,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,0
HE-SP 30,Salix pulchra,QHI,2013,26/07/13,13/08/13,18,No,N/a,N/a,-,0,1
KL-SPE 1,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 2,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 3,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,0,1
KL-SPE 4,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 5,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 6,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 7,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 8,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 9,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 10,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 11,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 12,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 13,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,1
KL-SPE 14,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPE 15,Salix pulchra,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 1,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,0
KL-SRE 2,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,0
KL-SRE 3,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,0
KL-SRE 4,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 5,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,0
KL-SRE 6,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 7,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 8,Salix richardsonii,PC,2013,18/08/13,21/08/13,3,No,N/a,N/a,-,0,0
KL-SRE 9,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 10,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 11,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 12,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,-,0,1
KL-SRE 13,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 14,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SRE 15,Salix richardsonii,PC,2013,10/08/13,13/08/13,3,No,N/a,N/a,1,1,1
KL-SPC 1,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 2,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 3,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 4,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 5,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 6,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 7,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 8,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 9,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 10,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 11,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 12,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,1
KL-SPC 13,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SPC 14,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SPC 15,Salix pulchra,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 1,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 2,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 3,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 4,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 5,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 6,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 7,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 8,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 9,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 10,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 11,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 12,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 13,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,1,1,1
KL-SRC 14,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KL-SRC 15,Salix richardsonii,PC,2013,11/08/13,13/08/13,2,No,N/a,N/a,-,0,0
KP-SR 1,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 2,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 3,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 4,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 5,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,1,1,
KP-SR 6,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 7,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
KP-SR 8,Salix richardsonii,KP,2014,27/08/14,27/08/14,0.000s ,No,N/a,N/a,-,0,
