Name,Species,Origin,PlantYear,H,L1,L2,L3,L_mean,S1,S2,S3,S_mean
KL-SPC 13,P,K,2013,NA,46,47,50,47.66666667,57,42,51,50
HE-SP 23,P,H,2013,NA,27,23,22,24,11,14,15,13.33333333
HER-SP 30,P,H,2014,NA,25,26,27,26,22,20,3,15
HER-SP 29,P,H,2014,NA,36,35,32,34.33333333,25,22,NA,23.5
KL-SRC 13,R,K,2013,NA,56,55,52,54.33333333,45,33,20,32.66666667
KL-SRC 11,R,K,2013,NA,37,35,34,35.33333333,51,59,38,49.33333333
HE-SR 26,R,H,2013,NA,21,22,23,22,13,8,6,9
HE-SR 27,R,H,2013,NA,36,26,22,28,14,8,4,8.666666667
HE-SR 23,R,H,2013,NA,27,24,22,24.33333333,14,10,8,10.66666667
HE-SR 21,R,H,2013,NA,22,22,21,21.66666667,24,22,10,18.66666667
HE-SP 20,P,H,2013,NA,35,32,35,34,43,20,30,31
HE-SP 18,P,H,2013,NA,38,32,28,32.66666667,31,40,15,28.66666667
HE-SP 17,P,H,2013,NA,18,20,17,18.33333333,19,15,10,14.66666667
KL-SPE 11,P,K,2013,NA,53,50,55,52.66666667,152,100,100,117.3333333
KL-SPE 12,P,K,2013,NA,41,42,45,42.66666667,160,140,145,148.3333333
KL-SPE 14,P,K,2013,NA,55,55,56,55.33333333,95,80,40,71.66666667
KL-SPE 15,P,K,2013,NA,40,33,30,34.33333333,62,52,41,51.66666667
KL-SPC 8,P,K,2013,NA,36,35,35,35.33333333,20,15,20,18.33333333
KL-SRE 11,R,K,2013,NA,48,46,45,46.33333333,130,120,135,128.3333333
KL-SRE 15,R,K,2013,NA,60,62,62,61.33333333,195,60,20,91.66666667
KL-SRE 13,R,K,2013,NA,45,48,50,47.66666667,73,80,65,72.66666667
KL-SRE 14,R,K,2013,NA,48,47,50,48.33333333,93,50,38,60.33333333
KL-SRC 10,R,K,2013,NA,48,50,51,49.66666667,201,186,145,177.3333333
KL-SRC 7,R,K,2013,NA,50,60,48,52.66666667,80,120,60,86.66666667
KL-SRC 6,R,K,2013,NA,40,35,45,40,50,110,50,70
HE-SR 17,R,H,2013,NA,40,25,30,31.66666667,15,10,2,9
HER-SP 11,P,H,2014,NA,45,43,50,46,45,40,25,36.66666667
HER-SP 12,P,H,2014,NA,45,36,43,41.33333333,30,25,25,26.66666667
HER-SP 14,P,H,2014,NA,30,14,15,19.66666667,10,1,NA,5.5
KL-SPC 10,P,K,2013,NA,57,55,55,55.66666667,50,15,1,22
KL-SPC 9,P,K,2013,NA,30,33,32,31.66666667,35,40,50,41.66666667
KP-SR 5,R,K,2014,NA,16,15,NA,15.5,NA,NA,NA,#DIV/0!
HE-SP 12,P,H,2013,NA,30,28,26,28,28,25,21,24.66666667
HE-SP 6,P,H,2013,NA,23,21,20,21.33333333,13,14,18,15
KL-SPE 10,P,K,2013,NA,44,43,41,42.66666667,91,89,48,76
KL-SPE 9,P,K,2013,NA,51,52,53,52,96,98,111,101.6666667
KL-SPE 8,P,K,2013,NA,51,50,44,48.33333333,50,34,78,54
KL-SPE 7,P,K,2013,NA,48,43,40,43.66666667,140,110,95,115
KL-SPE 6,P,K,2013,NA,59,57,54,56.66666667,180,172,136,162.6666667
KL-SRE 10,R,K,2013,NA,55,48,45,49.33333333,78,55,55,62.66666667
KL-SRE 9,R,K,2013,NA,50,35,35,40,65,40,70,58.33333333
KL-SRE 7,R,K,2013,NA,37,40,39,38.66666667,120,100,95,105
KL-SRE 6,R,K,2013,NA,55,56,58,56.33333333,120,70,50,80
HE-SR 13,R,H,2013,NA,33,20,35,29.33333333,15,10,NA,12.5
HE-SR 8,R,H,2013,NA,27,28,29,28,23,27,23,24.33333333
HE-SR 7,R,H,2013,NA,30,27,20,25.66666667,6,18,17,13.66666667
HE-SR 6,R,H,2013,NA,20,19,22,20.33333333,10,12,50,24
HE-SP 2,P,H,2013,NA,21,19,23,21,8,12,8,9.333333333
HE-SP 4,P,H,2013,NA,32,26,27,28.33333333,37,30,20,29
KL-SPE 5,P,K,2013,NA,25,27,25,25.66666667,10,11,13,11.33333333
KL-SPE 4,P,K,2013,NA,38,40,39,39,42,30,25,32.33333333
KL-SPE 2,P,K,2013,NA,30,32,34,32,50,30,33,37.66666667
KL-SPE 1,P,K,2013,NA,40,40,34,38,48,45,56,49.66666667
KL-SPC 1,P,K,2013,NA,43,40,37,40,45,18,21,28
KL-SPC 2,P,K,2013,NA,33,37,44,38,32,20,17,23
HER-SP 5,P,H,2014,NA,9,9,7,8.333333333,8,NA,NA,8
HER-SP 4,P,H,2014,NA,9,7,6,7.333333333,3,NA,NA,3
HER-SP 3,P,H,2014,NA,28,29,33,30,10,15,22,15.66666667
HER-SP 24,P,H,2014,NA,56,40,38,44.66666667,47,26,4,25.66666667
KL-SPC 3,P,K,2013,NA,36,35,25,32,30,25,35,30
HE-SR 2,R,H,2013,NA,27,24,25,25.33333333,32,10,9,17
HE-SR 3,R,H,2013,NA,20,16,13,16.33333333,4,15,2,7
KL-SRE 4,R,K,2013,NA,45,46,47,46,55,43,20,39.33333333
KL-SRC 2,R,K,2013,NA,50,51,53,51.33333333,50,65,56,57
HEF-SR 4B,R,H,2014,NA,22,18,18,19.33333333,10,NA,NA,10
HEF-SR 4,R,H,2014,NA,51,36,34,40.33333333,55,NA,NA,55
