Name,Date,Canopy,LL1,LL2,LL3,SE1,SE2,SE3,Photo Available?,Notes
KLSpC13,11/08/16,35.1,39,42,45,62,66,111,,
KPSp15 (10),11/08/16,,,,,,,,,
KPSp14 (9),11/08/16,,,,,,,,,
KPSp13 (8),11/08/16,,,,,,,,,
KPSp12 (7),11/08/16,,,,,,,,,
HERSp30,11/08/16,,,,,,,,,
HERSp29,11/08/16,6.1,31,32,31,35,44,29,,
H15Sp9,11/08/16,31.3,33,36,42,27,9,,,
H15Sp10,11/08/16,5,38,30,25,29,,,,
H15Sp11,11/08/16,1.6,26,19,14,11,,,,
H15Sp12,11/08/16,,,,,,,,,
HeRSp9,11/08/16,,,,,,,,,
K15SSr5,11/08/16,,,,,,,,,
K15SSr6,11/08/16,,,,,,,,,
K15SSr7,11/08/16,,,,,,,,,
K15SSr8,11/08/16,2.3,28,24,22,16,,,,
K15SSr9,11/08/16,,,,,,,,,
KLSrE6,11/08/16,23.4,49,46,48,128,130,122,,
KLSrE7,11/08/16,52.8,47,41,50,546,320,120,,
K15ESr1,11/08/16,,,,,,,,,
KLSrE9,11/08/16,54.4,75,80,85,524,142,14.6,,
KLSrE10,11/08/16,71,60,63,61,437,445,411,,
HeSr13,11/08/16,8.2,32,25,22,35,29,12,,
H15Sr20,11/08/16,5.4,21,25,19,7,,,,
H15Sr19,11/08/16,5.4,29,31,10,15,,,,
H15Sr18,11/08/16,No,,,,,,,,
H15Sr17,11/08/16,No,,,,,,,,
K15CSr6,11/08/16,No,,,,,,,,
K15CSr5,11/08/16,No,,,,,,,,
HeSr6,11/08/16,15.3,27,25,30,26,45,23,,
HeSr7,11/08/16,19.5,32,34,35,36,31,49,,
HeSr8,11/08/16,26,29,27,29,54,39,34,,
H15Sr12,11/08/16,No,,,,,,,,
H15Sr13,11/08/16,No,,,,,,,,
H15Sr14,11/08/16,No,,,,,,,,
H15Sr15,11/08/16,No,,,,,,,,
H15Sr16,11/08/16,No,,,,,,,,
K15PSp1,11/08/16,Removed,,,,,,,,
K15PSp2,11/08/16,Removed,,,,,,,,
K15PSp3,11/08/16,Removed,,,,,,,,
K15PSp4,11/08/16,Removed,,,,,,,,
K15PSp5,11/08/16,Removed,,,,,,,,
H15Sp1,11/08/16,5.5,26,21,22,13,6,,,
HeRSp24,11/08/16,21.5,29,27,24,144,62,32,,
H15Sp2,11/08/16,31,17,21,14,23,22,18,,
H15Sp3,11/08/16,No,,,,,,,,
H15Sp4,11/08/16,No,,,,,,,,
H15Sp5,11/08/16,1,11,,,16,,,,
H15Sp6,11/08/16,No,,,,,,,,
HeSp4,11/08/16,31,63,67,71,302,202,310,,
KLSpE1,11/08/16,53.1,72,64,65,38.4,39.1,35.4,,
KLSpE2,11/08/16,41.3,66,67,64,802,682,660,,
KLSpE3,11/08/16,3.2,30,30,26,23,9,,,
KLSpE4,11/08/16,53,79,84,76,1010,1000,980,,
KLSpE5,11/08/16,30.1,42,60,59,70,110,82,,
H15Sr11,11/08/16,No,,,,,,,,
HeSp2,11/08/16,12.3,26,20,23,32,29,26,,
HeFSr4,11/08/16,5.2,31,31,33,40,54,62,,
H15Sr10,11/08/16,No,,,,,,,,
H15Sr9,11/08/16,No,,,,,,,,
H15Sr8,11/08/16,No,,,,,,,,
H15Sr4,11/08/16,No,,,,,,,,
K15CSp1,11/08/16,No,,,,,,,,
K15CSp2,11/08/16,No,,,,,,,,
H15Sr3,11/08/16,1.7,11,16,,14,,,,Heavy herbivory
K15CSr1,11/08/16,No,,,,,,,,
KLSpC1,11/08/16,28.3,50,45,60,71,80,84, ,
KLSpC2,11/08/16,18.3,53,43,45,36,36,37,,
