"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"1",11,11,"SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,13,20,14,NA,NA,NA,"HESR13",NA,"2",NA,15.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",12,12,"IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,6,3,6,NA,NA,NA,"HESR16",NA,"2",NA,5,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",13,13,"IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,20,16,16,NA,NA,NA,"HESR17",NA,"2",NA,17.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",14,14,"LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,9,11,NA,NA,NA,"HESR2",NA,"2",NA,10,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",15,15,"IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,11,8,5,NA,NA,NA,"HESR20",NA,"2",NA,8,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",16,16,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,14,15,NA,NA,NA,"HESR21",NA,"2",NA,15.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",17,17,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,18,19,NA,NA,NA,"HESR23",NA,"2",NA,17,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",18,18,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,5,4,NA,NA,NA,"HESR24",NA,"2",NA,7.66666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",19,19,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,19,14,NA,NA,NA,"HESR26",NA,"2",NA,16,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",20,20,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,14,10,13,NA,NA,NA,"HESR27",NA,"2",NA,12.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",21,21,"AC",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,15,14,NA,NA,NA,"HESR29",NA,"2",NA,14.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",22,22,"LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,8,6,9,NA,NA,NA,"HESR3",NA,"2",NA,7.66666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",23,23,"LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,9,14,9,NA,NA,NA,"HESR4",NA,"2",NA,10.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
