"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"1","Salix richardsonii","H17SR9",105239782,"2021-06-22",0.15,13.7566666666667,72.6920281075842,34.0136054421769,0.0141022534528713,0.532,20.635,0.441,"06","2021","173","Northern",0.281954887218045,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"2","Salix pulchra","KLSPE4",105240861,"2021-06-22",0.097,12.8886597938144,77.5875859862422,40.2489626556017,0.0115181570948648,0.254,12.502,0.241,"06","2021","173","Southern",0.381889763779528,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"3","Salix richardsonii","KLSRE10",105242530,"2021-06-22",0.216,15.237962962963,65.6255696664034,32.8267477203647,0.0134289360150696,0.731,32.914,0.658,"06","2021","173","Southern",0.295485636114911,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"4","Salix arctica","K15PSA7",105242585,"2021-06-22",0.48,10.0679166666667,99.3254148905351,40.4040404040404,0.0146504986963539,1.283,48.326,1.188,"06","2021","173","Southern",0.374123148869836,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"5","Salix pulchra","HERSP12",105248474,"2021-06-22",0.131,12.8381679389313,77.8927339755024,36.6946778711485,0.013437983113331,0.378,16.818,0.357,"06","2021","173","Northern",0.346560846560847,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"6","Salix richardsonii","KLSRC13",105248949,"2021-06-22",0.431,9.19419953596288,108.764226411285,30.5240793201133,0.02475584828526,1.562,39.627,1.412,"06","2021","173","Southern",0.275928297055058,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"7","Salix arctica","K15PSA9",105249284,"2021-06-22",0.455,10.5738461538462,94.5729666812164,34.5220030349014,0.0179376857683274,1.397,48.111,1.318,"06","2021","173","Southern",0.325697924123121,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"8","Salix richardsonii","KLSRE14",105249699,"2021-06-22",0.276,13.5119565217391,74.0085270694232,32.2429906542056,0.0155525165580672,0.907,37.293,0.856,"06","2021","173","Southern",0.304299889746417,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"9","Salix arctica","KP17SA6",105249832,"2021-06-22",0.28,12.3503571428571,80.9693184118446,34.6534653465347,0.0152685000433764,0.857,34.581,0.808,"06","2021","173","Southern",0.326721120186698,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"10","Salix pulchra","KP16SP33",105249951,"2021-06-22",0.173,5.41150289017341,184.791548724084,38.7024608501119,0.0292675632083231,0.466,9.3619,0.447,"06","2021","173","Southern",0.371244635193133,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"11","Salix richardsonii","KP17SR2",105250450,"2021-06-22",0.281,15.5345195729537,64.3727664253642,31.8955732122588,0.0137450746815724,0.99,43.652,0.881,"06","2021","173","Southern",0.283838383838384,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"12","Salix pulchra","KP16SP59",105250566,"2021-06-22",0.323,12.7693498452012,78.3125227300279,37.7777777777778,0.012898533155534,0.933,41.245,0.855,"06","2021","173","Southern",0.346195069667738,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"13","Salix richardsonii","H17SR35",105272478,"2021-06-22",0.182,15.9115384615385,62.8474740149867,29.3548387096774,0.0151248316585517,0.701,28.959,0.62,"06","2021","173","Northern",0.25962910128388,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
