"","Species","plant_tag_id","sample_id","date_sampled","site_id","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","leaf_status","year","month","DOY","total_leaf_dry_mass_mg","LDMC_g_g","population","X","Sample_Date","Dry_mass","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"1","Salix arctica","SALARC-2023-1",169033643,"2023-06-30","Qikiqtaruk",0.152,19.3434210526316,51.6971634582681,30.0990099009901,0.0120059859873478,0.577,2940.2,0.505,6,"Qikiqtaruk","green",2023,6,"181",152,0.263431542461005,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Salix arctica","SALARC-2023-2",169033676,"2023-06-30","Qikiqtaruk",0.324,15.8466049382716,63.1049997078472,28.8770053475936,0.0155425277058216,1.2,5134.3,1.122,11,"Qikiqtaruk","green",2023,6,"181",324,0.27,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Salix arctica","SALARC-2023-3",169033694,"2023-06-30","Qikiqtaruk",0.464,17.5575431034483,56.95557710484,39.5566922421142,0.00870291038089042,1.844,8146.7,1.173,10,"Qikiqtaruk","green",2023,6,"181",464,0.251626898047722,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Salix pulchra","SALPUL-2023-1",169033708,"2023-06-30","Qikiqtaruk",0.142,16.0859154929577,62.1661850976272,33.4117647058824,0.0123894580159356,0.481,2284.2,0.425,10,"Qikiqtaruk","green",2023,6,"181",142,0.295218295218295,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Salix pulchra","SALPUL-2023-2",169033724,"2023-06-30","Qikiqtaruk",0.197,16.092385786802,62.1411898302946,33.1649831649832,0.0125228692196076,0.64,3170.2,0.594,10,"Qikiqtaruk","green",2023,6,"181",197,0.3078125,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Salix pulchra","SALPUL-2023-3",169033739,"2023-06-30","Qikiqtaruk",0.327,16.4892966360856,60.6454005934718,32.0274240940255,0.0128709198813056,1.116,5392,1.021,10,"Qikiqtaruk","green",2023,6,"181",327,0.293010752688172,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Salix pulchra","SALPUL-2023-4",169113201,"2023-07-01","Qikiqtaruk",0.243,17.2522633744856,57.9634091071727,32.4,0.0120936001717434,0.786,4192.3,0.75,10,"Qikiqtaruk","green",2023,7,"182",243,0.309160305343511,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Salix pulchra","SALPUL-2023-5",169113244,"2023-07-01","Qikiqtaruk",0.264,16.9613636363636,58.9575237840011,31.5035799522673,0.0128187949439457,0.874,4477.8,0.838,10,"Qikiqtaruk","green",2023,7,"182",264,0.302059496567506,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Salix pulchra","SALPUL-2023-6",169113308,"2023-07-01","Qikiqtaruk",0.251,17.4980079681275,57.1493624772313,32.2207958921694,0.0120218579234973,0.812,4392,0.779,10,"Qikiqtaruk","green",2023,7,"182",251,0.309113300492611,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Salix arctica","SALARC-2023-4",169113378,"2023-07-01","Qikiqtaruk",0.307,19.1045602605863,52.3435235545856,26.7421602787456,0.0143390564525754,1.18,5865.1,1.148,10,"Qikiqtaruk","green",2023,7,"182",307,0.260169491525424,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Salix arctica","SALARC-2023-5",169113429,"2023-07-01","Qikiqtaruk",0.509,17.4609037328094,57.2708042666187,25.7852077001013,0.0164836401278185,2.034,8887.6,1.974,10,"Qikiqtaruk","green",2023,7,"182",509,0.250245821042281,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Salix richardsonii","SALRIC-2023-1",169113436,"2023-07-01","Qikiqtaruk",0.329,19.5018237082067,51.277255653746,23.8751814223512,0.0163494957996291,1.449,6416.1,1.378,10,"Qikiqtaruk","green",2023,7,"182",329,0.227053140096618,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
