Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
H15Sa4,12/07/2017,2017,0.1,4,-,-,4,-,-,,,,,,
H15Sa4,20/07/2017,2017,0.1,3,-,-,4,-,-,,,,,,
H15Sa4,26/07/2017,2017,0.1,2,-,-,5,-,-,,,,,,All leaves dead 
H15Sa4,14/08/2017,2017,0.3,-,-,-,-,-,-,,,,,,Dead
H15Sp11,19/07/2017,2017,0.4,17,22,13,30,-,-,,,,,,
H15Sp11,24/07/2017,2017,0.4,17,13,9,12,-,-,,,,,,
PP16MSa1,24/07/2017,2017,0.4,11,16,8,18,-,-,,,,,,
H15Sr24,26/06/2016,2016,0.5,6,,,,,,,,,,,
H15Sa19,20/07/2017,2017,0.5,24,11,9,28,23,11,,,,,,Herbivory and dying leaves 
H15Sa20,20/07/2017,2017,0.5,14,10,9,23,-,-,,,,,,
H15Sa3,20/07/2017,2017,0.6,27,30,22,18,13,-,,,,,,
H15Sa15,20/07/2017,2017,0.7,15,15,14,19,21,-,,,,,,Leaves dying 
H15Sa20,26/07/2017,2017,0.7,12,9,5,23,-,-,,,,,,Light herbivory 
PP16MSa1,02/08/2017,2017,0.7,16,10,8,7,-,-,,,,,,
H15Sa5,14/08/2017,2017,0.7,-,-,-,4,-,-,,,,,,Dead
H15Sa11,12/07/2017,2017,0.8,20,11,-,16,-,-,,,,,,Herbivory 
H15Sa5,26/07/2017,2017,0.8,9,12,-,13,-,-,,,,,,
H15Sa19,26/07/2017,2017,0.8,23,11,10,27,28,9,,,,,,Herbivory and dying leaves 
KP16Sa5,02/08/2017,2017,0.8,12,10,8,5,2,1,,,,,,
H15Sp12,13/08/2017,2017,0.8,-,-,-,6,6,17,,,,,,Dead
H15Sa9,14/08/2017,2017,0.8,-,-,-,18,-,-,,,,,,Dead
H15Sa5,12/07/2017,2017,0.9,13,8,-,12,-,-,,,,,,
K15PSa13,12/07/2017,2017,0.9,25,21,15,31,24,18,,,,,,
PP16MSa1,19/07/2017,2017,0.9,11,8,14,7,-,-,,,,,,
H15Sa3,26/07/2017,2017,0.9,26,29,20,30,11,-,,,,,,Light herbivory and some dying leaves 
PP16MSa5,02/08/2017,2017,0.9,23,17,19,7,9,5,,,,,,
H15Sp5,11/08/2016,2016,1,11,,,16,,,,,,,,
HE16SP16,11/07/2017,2017,1,23,27,28,13,-,-,,,,,,
K15SSr8,19/07/2017,2017,1,33,30,24,49,22,-,,,,,,
K15PSa13,20/07/2017,2017,1,26,17,16,24,30,18,,,,,,
H15Sp11,02/08/2017,2017,1,17,7,-,15,-,-,,,,,,50% rust
PC16CESa2,02/08/2017,2017,1,24,20,16,8,6,-,,,,,,
H15Sa3,12/07/2017,2017,1.1,29,28,22,15,9,-,,,,,,
HE16SA10,20/07/2017,2017,1.1,21,11,11,23,-,-,,,,,,Herbivory 
H15Sa5,20/07/2017,2017,1.1,11,7,-,15,13,-,,,,,,
HE16SA14,26/07/2017,2017,1.1,20,22,14,36,33,-,,,,,,Herbivory 
K15PSa13,26/07/2017,2017,1.1,27,18,23,23,33,19,,,,,,
H15Sa20,02/08/2017,2017,1.1,19,13,6,6,,,,,,,,20% herbivory
K15PSa6,14/08/2017,2017,1.1,15,21,15,14,10,10,,,,,,Herbivory 
H15Sa20,14/08/2017,2017,1.1,12,11,-,10,11,-,,,,,,
H15Sa15,12/07/2017,2017,1.2,15,12,16,14,17,-,,,,,,Slight herbivory and dying leaves 
H15Sa19,12/07/2017,2017,1.2,23,24,20,25,14,10,,,,,,Some dead leaves and light herbivory 
H15Sa20,12/07/2017,2017,1.2,11,9,7,20,-,-,,,,,,
H15Sr12,09/07/2016,2016,1.3,22,20,19,4,,,,,,,,
HE-SR 23,12/07/2017,2017,1.3,9,11,8,17,12,9,,,,,,Heavy herbivory 
HE16SP17,19/07/2017,2017,1.3,18,14,15,28,-,-,,,,,,Dying 
PP16MSa1,13/08/2017,2017,1.3,11,16,-,6,-,-,,,,,,
HE16SA14,14/08/2017,2017,1.3,-,"-	",-,-,-,-,,,,,,Dead 
H15Sa15,14/08/2017,2017,1.3,-,-,-,21,11,-,,,,,,Dead 
KP16Sa5,11/07/2017,2017,1.4,10,9,8,13,12,7,,,,,,
PP16MSa5,11/07/2017,2017,1.4,20,23,18,18,-,-,,,,,,
KP16SR19,12/07/2017,2017,1.4,21,17,14,26,-,-,,,,,,Herbivory 
H15Sa11,20/07/2017,2017,1.4,17,-,-,31,-,-,,,,,,Herbivory and dying leaf
PC16CESa2,24/07/2017,2017,1.4,26,19,22,32,23,-,,,,,,
H15Sa12,26/07/2017,2017,1.4,18,20,14,23,28,24,,,,,,Light herbivory 
HE16SP16,02/08/2017,2017,1.4,25,18,14,18,-,-,,,,,,Browning 
H15Sa3,14/08/2017,2017,1.4,28,26,11,20,15,-,,,,,,Browning 
K15SSr8,09/07/2016,2016,1.5,26,28,21,,,,,,,,,
PC16CESa2,06/06/2017,2017,1.5,21,18,6,1,NA,NA,,,,,,
KP16Sa5,24/07/2017,2017,1.5,11,10,9,11,12,3,,,,,,
HE-SR 23,26/07/2017,2017,1.5,17,14,9,21,16,17,,,,,,"Herbivory, new leaves since last full survey "
K15PSa13,02/08/2017,2017,1.5,33,27,18,7,4,,,,,,,<5% herbivory 
H15Sp11,11/08/2016,2016,1.6,26,19,14,11,,,,,,,,
H15Sr3,09/07/2016,2016,1.6,17,16,15,,,,,,,,,
