Sample_ID,Match,Species,Latitude,Longitude,elevation,Sample_location,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Bed,Row,Column,Notes
H18SP1,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,19.1,,,,35,33,38,29,35,38,Unknown,31.8,5.12,6,NA,NA,NA,NA,NA,1,1,,,,
H18SP2,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,19.7,,,,40,32,33,68,42,38,Unknown,42.4,9.28,8,NA,NA,NA,NA,NA,1,1,,,,
H18SP3,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,16.1,,,,34,44,53,9,28,15,Female,31.9,8.45,10,NA,NA,NA,NA,NA,0,0,,,,
H18SP4,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,17.5,,,,46,52,50,18,16,15,Unknown,37.8,5.59,9,NA,NA,NA,NA,NA,1,1,,,,
H18SP5,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,27.7,,,,36,34,37,14,12,24,Female,42.4,8.72,13,NA,NA,NA,NA,NA,1,1,,,,
H18SP6,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,18.9,,,,50,45,43,32,25,18,Female,48.7,7.22,5,NA,NA,NA,NA,NA,0,0,,,,Maybe the wrong species 
H18SP7,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,18.1,,,,38,36,41,39,10,18,Unknown,29,6.03,6,NA,NA,NA,NA,NA,1,1,,,,
H18SP8,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,21.6,,,,39,34,37,35,24,22,Female,41.1,6.33,8,NA,NA,NA,NA,NA,1,0,,,,
H18SP9,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,33.5,,,,37,29,28,70,29,35,Unknown,23.3,7.53,8,NA,NA,NA,NA,NA,1,1,,,,
H18SP10,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,25.6,,,,25,37,28,14,20,13,Unknown,35.5,8.65,6,NA,NA,NA,NA,NA,0,0,,,,
H18SP11,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,25.2,,,,41,42,46,50,56,20,Unknown,35.9,8.15,7,NA,NA,NA,NA,NA,1,1,,,,
H18SP12,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,22.5,,,,38,35,39,28,20,9,Unknown,43.9,7.36,7,NA,NA,NA,NA,NA,1,0,,,,
H18SP13,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,15.5,,,,30,28,31,10,14,17,Unknown,38.1,9.79,10,NA,NA,NA,NA,NA,1,0,,,,
H18SP14,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,30.1,,,,40,32,39,34,32,24,Female,41.1,8.73,7,NA,NA,NA,NA,NA,0,0,,,,
H18SP15,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,26.2,,,,40,23,46,21,16,23,Unknown,48.8,6.95,9,NA,NA,NA,NA,NA,1,1,,,,
H18SP16,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,22.4,,,,33,30,25,9,14,8,Unknown,31.6,6.52,6,NA,NA,NA,NA,NA,1,1,,,,
H18SP17,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,16.6,,,,25,31,40,30,34,29,Unknown,39.4,5.3,5,NA,NA,NA,NA,NA,,0,,,,
H18SP18,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,20.7,,,,39,32,29,9,14,21,Unknown,26.2,5.33,8,NA,NA,NA,NA,NA,1,1,,,,
H18SP19,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,16.8,,,,28,32,32,33,40,8,Female,34.6,6.73,10,NA,NA,NA,NA,NA,1,0,,,,
H18SP20,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,18.2,,,,39,35,32,33,30,19,Female,27.4,7.93,9,NA,NA,NA,NA,NA,0,0,,,,
H18SP21,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,17.2,,,,27,31,39,23,14,31,Unknown,53.8,6.47,8,NA,NA,NA,NA,NA,NA,0,,,,
H18SP22,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,20.3,,,,50,50,39,27,48,9,Female,31.1,4.64,7,NA,NA,NA,NA,NA,,0,,,,
H18SP23,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,18,,,,32,33,37,23,9,35,Unknown,33.1,6.07,7,NA,NA,NA,NA,NA,,0,,,,
H18SP24,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,20.9,,,,31,33,35,22,15,59,Unknown,26.6,5.94,7,NA,NA,NA,NA,NA,1,1,,,,
H18SP25,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,21.5,,,,31,39,36,11,30,9,Unknown,23,4.33,3,NA,NA,NA,NA,NA,,0,,,,
H18SP26,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,15.1,,,,19,26,18,27,49,17,Unknown,19.3,4.84,6,NA,NA,NA,NA,NA,0,0,,,,
H18SP27,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,31.4,,,,24,31,42,16,32,40,Unknown,36,4.66,8,NA,NA,NA,NA,NA,0,0,,,,
H18SP28,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,24.9,,,,31,30,25,13,21,12,Female,46.8,7.79,12,NA,NA,NA,NA,NA,0,0,,,,
H18SP29,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,17.2,,,,36,35,29,21,7,24,Unknown,28.5,6.23,8,NA,NA,NA,NA,NA,0,0,,,,
H18SP30,NA,Salix pulchra,,,,Qikiqtaruk,2018-08-11,NA,2018-08-20,2018,18.2,,,,43,32,29,22,28,15,Unknown,22.8,4.09,5,NA,NA,NA,NA,NA,1,0,,,,
H18SR1,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,45.5,,,,42,40,44,34,41,45,Female,46.4,12.6,12,NA,NA,NA,NA,NA,0,0,,,,Rodent nibble
H18SR2,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,67,,,,4.5,44,47,68,45,52,Female,50.3,11.8,12,NA,NA,NA,NA,NA,1,1,,,,
H18SR3,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,57.3,,,,58,52,51,58,44,27,Male,51.3,10.16,15,NA,NA,NA,NA,NA,1,1,,,,
H18SR4,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,43.3,,,,46,44,43,35,26,41,Female,44.2,12.35,14,NA,NA,NA,NA,NA,0,0,,,,
H18SR5,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,41.5,,,,3.4,4.2,4.2,3.9,5.6,4.4,Female,39.1,8.65,7,NA,NA,NA,NA,NA,0,0,,,,
H18SR6,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,54.3,,,,4.6,3.4,4.5,4.5,6.6,4.3,Female,44.9,7.79,8,NA,NA,NA,NA,NA,1,1,,,,
H18SR7,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,62.1,,,,41,46,54,40,48,54,Female,66.1,10.6,8,NA,NA,NA,NA,NA,0,0,,,,Female?
H18SR8,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,68.1,,,,44,42,47,45,48,45,Female,57.3,9.5,7,NA,NA,NA,NA,NA,1,1,,,,
H18SR9,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,73,,,,54,46,38,114,89,48,Male,78.2,13.08,15,NA,NA,NA,NA,NA,0,0,,,,
H18SR10,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,40.7,,,,39,52,51,22,48,54,Unknown,40.9,10.45,10,NA,NA,NA,NA,NA,1,1,,,,
H18SR11,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,61.7,,,,38,41,40,28,30,17,Female,51.4,13.32,10,NA,NA,NA,NA,NA,0,0,,,,
H18SR12,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,45.5,,,,34,35,36,14,15,28,Female,46.2,10.14,9,NA,NA,NA,NA,NA,1,0,,,,
H18SR13,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,32.5,,,,45,50,38,88,88,68,Female,32,11.09,8,NA,NA,NA,NA,NA,0,0,,,,
H18SR14,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,43.3,,,,44,41,33,43,21,17,Male,41.2,8.78,7,NA,NA,NA,NA,NA,0,0,,,,
H18SR15,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,37.1,,,,48,48,39,44,63,29,Female,56.1,13.44,16,NA,NA,NA,NA,NA,,0,,,,
H18SR16,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,35.8,,,,43,49,48,78,101,67,Male,46.8,11.49,12,NA,NA,NA,NA,NA,0,0,,,,
H18SR17,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,49.8,,,,36,51,38,26,43,37,Female,61.8,15.81,11,NA,NA,NA,NA,NA,,0,,,,
H18SR18,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,37.4,,,,41,44,43,26,45,55,Female,36.6,11.17,18,NA,NA,NA,NA,NA,,0,,,,Stems munched on by rodents
H18SR19,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,48.2,,,,41,38,54,23,17,46,Female,57.2,14.41,11,NA,NA,NA,NA,NA,,0,,,,Individual has red dot virus.
H18SR20,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,45.5,,,,38,33,41,22,24,28,Female,66.8,11.03,13,NA,NA,NA,NA,NA,,0,,,,
H18SR21,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,44.1,,,,62,46,52,104,89,38,Male,31.4,8.66,10,NA,NA,NA,NA,NA,0,0,,,,
H18SR22,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,44.5,,,,51,50,56,63,63,98,Female,29.6,7.87,7,NA,NA,NA,NA,NA,0,0,,,,
H18SR23,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,38.5,,,,54,68,65,58,121,73,Female,42.8,12.41,13,NA,NA,NA,NA,NA,0,0,,,,
H18SR24,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,41.2,,,,73,54,59,108,38,42,Female,33.1,10.48,10,NA,NA,NA,NA,NA,1,0,,,,
H18SR25,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,33.4,,,,33,45,38,39,112,31,Female,26.9,10.98,11,NA,NA,NA,NA,NA,0,0,,,,
H18SR26,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,37.2,,,,34,48,51,30,52,43,Female,41.2,12.79,16,NA,NA,NA,NA,NA,,0,,,,
H18SR27,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,41.1,,,,51,60,48,30,84,31,Male,43.3,9.71,11,NA,NA,NA,NA,NA,1,1,,,,
H18SR28,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,32.2,,,,44,51,50,22,28,61,Male,28.7,8.79,12,NA,NA,NA,NA,NA,,0,,,,
H18SR29,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,37.5,,,,61,43,52,90,42,61,Male,58.3,13.9,16,NA,NA,NA,NA,NA,1,1,,,,
H18SR30,NA,Salix richardsonii,,,,Qikiqtaruk,2018-08-09,NA,2018-08-20,2018,30.4,,,,44,52,55,56,127,32,Female,33.3,15.71,14,NA,NA,NA,NA,NA,1,1,,,,
H18SA1,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,4.1,,,,62,50,54,93,22,34,Female,37.1,7.25,8,NA,NA,NA,NA,NA,1,1,,,,
H18SA2,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,3.2,,,,41,43,36,34,34,36,Female,36.8,5.04,9,NA,NA,NA,NA,NA,0,0,,,,
H18SA3,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,3.8,,,,52,42,49,54,22,18,Female,39.7,5.39,6,NA,NA,NA,NA,NA,,0,,,,
H18SA4,NA,Salix arctica,,,,Qikiqtaruk,2018-08-10,NA,2018-08-20,2018,5.8,,,,42,46,56,46,22,17,Female,34.3,7.81,8,NA,NA,NA,NA,NA,,0,,,,
