Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
H15SP1,19/08/2020,2020,3.8,21,0,Na,13,28,4,,,,,,0% green
H15SP2,19/08/2020,2020,3.3,14,14,12,5,5,4,,,,,,0% green
H15SP3,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP4,19/08/2020,2020,,,,,,,,,,,,,Empty 
H15SP5,19/08/2020,2020,5.5,25,26,27,24,22,32,,,,,,0% green
H15SP6,19/08/2020,2020,5.2,8,Na,Na,8,9,4,,,,,,0% green
H15SP7,19/08/2020,2020,,,,,,,,,,,,,
H15SP8,19/08/2020,2020,8,18,19,Na,18,6,25,,,,,,0% green
HER-SP 24,19/08/2020,2020,22.4,24,22,23,24,23,31,,,,,,0% green
HER-SP 3,19/08/2020,2020,34.2,30,34,41,50,41,52,,,,,,0% green
HER-SP 4,19/08/2020,2020,6.1,15,18,22,21,10,8,,,,,,0% green
HER-SP 5,19/08/2020,2020,,,,,,,,,,,,,
HE-SP 2,19/08/2020,2020,4.2,Na ,Na ,Na,10,8,6,,,,,,0% green
HE-SP 4,19/08/2020,2020,8.8,22,18,Na,20,12,24,,,,,,0% green
KL-SPC 1,19/08/2020,2020,31.8,33,30,36,24,26,27,,,,,,1% green
KL-SPC 2,19/08/2020,2020,12.4,21,25,18,17,15,4,,,,,,Big dead branch 20% green
KL-SPC 3,19/08/2020,2020,24.2,34,32,43,39,28,42,,,,,,22% green Female
KL-SPE 1,19/08/2020,2020,73.8,32,34,36,24,25,22,,,,,,52% green
KL-SPE 2,19/08/2020,2020,42.2,36,38,42,97,75,82,,,,,,Big dead 55% green
KL-SPE 3,19/08/2020,2020,8.5,24,25,24,12,11,8,,,,,,25% green
KL-SPE 4,19/08/2020,2020,43.2,41,35,37,46,74,22,,,,,,34% green
KL-SPE 5,19/08/2020,2020,17.9,32,36,33,42,34,14,,,,,,51% green
KP16SP26,19/08/2020,2020,,,,,,,,,,,,,
KP16SP27,19/08/2020,2020,,,,,,,,,,,,,
KP16SP28,19/08/2020,2020,,,,,,,,,,,,,Dead
KP16SP29,19/08/2020,2020,,,,,,,,,,,,,
KP16SP30,19/08/2020,2020,,,,,,,,,,,,,
KP16SP41,19/08/2020,2020,11.3,28,30,30,18,17,14,,,,,,17% green
PC16CESP1,19/08/2020,2020,,,,,,,,,,,,,
PC16CESP2,19/08/2020,2020,,,,,,,,,,,,,
PC16CESP5,19/08/2020,2020,,,,,,,,,,,,,
H17SP1,19/08/2020,2020,,,,,,,,,,,,,
H17SP2,19/08/2020,2020,,,,,,,,,,,,,Empty 
H17SP3,19/08/2020,2020,42,NA,Na,Na,6,10,4,,,,,,0% green
H17SP4,19/08/2020,2020,,,,,,,,,,,,,
H17SP5,19/08/2020,2020,,,,,,,,,,,,,
H17SP6,19/08/2020,2020,5.1,Na,,,24,13,10,,,,,,0% green
H17SP7,19/08/2020,2020,1.8,Na,,,8,8,Na,,,,,,0% green
KP17SP1,19/08/2020,2020,19.1,34,38,34,35,25,23,,,,,,37% green
KP17SP2,19/08/2020,2020,21.1,35,35,36,34,25,18,,,,,,61% green
KP17SP3,19/08/2020,2020,,,,,,,,,,,,,
KP17SP4,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP3,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP5,19/08/2020,2020,13.5,Na,,,4,5,22,,,,,,0% green could be dead
H18SP4,19/08/2020,2020,19.4,Na,,,23,22,30,,,,,,0% green looking dead
H18SP2,19/08/2020,2020,2.1,Na,Na,Na,22,Na ,Na ,,,,,,0% green
H18SP1,19/08/2020,2020,2.7,Na ,0,,9,7,6,,,,,,
H18SP6,19/08/2020,2020,,,,,,,,,,,,,Dead
KP16SR45,19/08/2020,2020,,,,,,,,,,,,,
KP16SR44,19/08/2020,2020,,,,,,,,,,,,,
KP16SR43,19/08/2020,2020,,,,,,,,,,,,,
KP16SR41,19/08/2020,2020,25.7,35,35,33,71,71,70,,,,,,95% green
KP16SR12,19/08/2020,2020,,,,,,,,,,,,,
KP16SR25,19/08/2020,2020,,,,,,,,,,,,,
KP16SR23,19/08/2020,2020,,,,,,,,,,,,,
KP16SR22,19/08/2020,2020,,,,,,,,,,,,,
KP16SR21,19/08/2020,2020,,,,,,,,,,,,,
KP16SR1,19/08/2020,2020,,,,,,,,,,,,,
KL-SRE 4,19/08/2020,2020,106.7,56,58,49,129,152,148,,,,,,96% green Female
KL-SRC 2,19/08/2020,2020,111.2,52,51,60,115,118,116,,,,,,65% green
K15CSR3,19/08/2020,2020,,,,,,,,,,,,,
K15CSR2,19/08/2020,2020,,,,,,,,,,,,,
HE-SR 3,19/08/2020,2020,11.6,21,Na,,15,25,34,,,,,,0% green
HE-SR 2,19/08/2020,2020,7.3,5,Na ,Na ,34,42,41,,,,,,0% green
HEF-SR 4B(CLONE),19/08/2020,2020,,,,,,,,,,,,,
HEF-SR 4,19/08/2020,2020,7.8,Na,,,47,45,46,,,,,,0% green
H15SR9,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SR8,19/08/2020,2020,,,,,,,,,,,,,
H15SR6,19/08/2020,2020,,,,,,,,,,,,,
H15SR5,19/08/2020,2020,13.1,55,Na,Na,28,85,22,,,,,,0% green
H15SR4,19/08/2020,2020,,,,,,,,,,,,,
H15SR3,19/08/2020,2020,,,,,,,,,,,,,
H15SR11,19/08/2020,2020,,,,,,,,,,,,,
KP17SR1,19/08/2020,2020,16.4,42,42,40,64,75,78,,,,,,92% green
KP17SR2,19/08/2020,2020,21.7,41,38,40,81,66,56,,,,,,90% green
KP17SR3,19/08/2020,2020,22.5,40,38,41,55,36,62,,,,,,84% green
KP17SR4,19/08/2020,2020,25.3,34,31,35,45,38,60,,,,,,74% green
KP17SR5,19/08/2020,2020,,,,,,,,,,,,,
K17SR6,19/08/2020,2020,20.1,64,61,48,109,51,38,,,,,,88% green
K17SR7,19/08/2020,2020,,,,,,,,,,,,,
K17SR8,19/08/2020,2020,,,,,,,,,,,,,
K17SR9,19/08/2020,2020,,,,,,,,,,,,,
H17SR1,19/08/2020,2020,8.8,Na,Na,Na,7,8,24,,,,,,0% green dead?
H17SR2,19/08/2020,2020,,,,,,,,,,,,,
H17SR3,19/08/2020,2020,0.8,16,14,Na,6,4,Na,,,,,,33% green
H17SR4,19/08/2020,2020,12,Na,,,44,23,18,,,,,,0% green
H17SR5,19/08/2020,2020,16.2,21,24,Na,36,67,32,,,,,,0% green
PC17SR1,19/08/2020,2020,24,38,35,36,111,62,44,,,,,,93% green
PC17SR2,19/08/2020,2020,23.4,38,35,41,63,61,40,,,,,,96% green
PC17SR3,19/08/2020,2020,,,,,,,,,,,,,Empty
KP16SR24,19/08/2020,2020,,,,,,,,,,,,,
H18SR3,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR2,19/08/2020,2020,2.9,Na,Na,Na,2.1,2.4,Na,,,,,,0% green
H18SR5,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR4,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR1,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SP10,19/08/2020,2020,,,,,,,,,,,,,
HE16SP11,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SP12,19/08/2020,2020,,,,,,,,,,,,,
HE16SP13,19/08/2020,2020,,,,,,,,,,,,,
HE16SP14,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SP15,19/08/2020,2020,5.1,20,18,18,55,24,15,,,,,,0% green
HE16SP6,19/08/2020,2020,,,,,,,,,,,,,
HE16SP7,19/08/2020,2020,,,,,,,,,,,,,
HE16SP8,19/08/2020,2020,,,,,,,,,,,,,
KP16SP11,19/08/2020,2020,,,,,,,,,,,,,Dead 
KP16SP13,19/08/2020,2020,,,,,,,,,,,,,
KP16SP14,19/08/2020,2020,,,,,,,,,,,,,Dead 
KP16SP21,19/08/2020,2020,,,,,,,,,,,,,
