#,"Date Time, GMT-07:00",Water Content_(m³/m³),Ground_temp_(°C),Air_temp_(°C),Soil_Temp_(°C)
1,08/24/18 12:00:01 PM,-0.0179,20.793,18.271,11.005
2,08/24/18 12:30:01 PM,-0.0171,19.008,15.652,11.516
3,08/24/18 01:00:01 PM,-0.0171,15.127,13.088,11.540
4,08/24/18 01:30:01 PM,-0.0171,16.153,13.954,11.394
5,08/24/18 02:00:01 PM,-0.0171,18.794,16.010,11.807
6,08/24/18 02:30:01 PM,-0.0171,17.249,14.625,12.074
7,08/24/18 03:00:01 PM,-0.0171,16.654,14.290,11.880
8,08/24/18 03:30:01 PM,-0.0164,17.344,14.745,12.025
9,08/24/18 04:00:01 PM,-0.0164,17.153,14.816,12.147
10,08/24/18 04:30:01 PM,-0.0164,17.534,15.390,12.268
11,08/24/18 05:00:01 PM,-0.0164,18.889,16.272,12.437
12,08/24/18 05:30:01 PM,-0.0164,20.222,16.463,12.703
13,08/24/18 06:00:01 PM,-0.0157,22.705,17.558,12.920
14,08/24/18 06:30:01 PM,-0.0157,21.246,16.987,13.185
15,08/24/18 07:00:01 PM,-0.0157,17.891,15.581,12.896
16,08/24/18 07:30:01 PM,-0.0164,16.463,14.840,12.606
17,08/24/18 08:00:01 PM,-0.0164,14.864,13.954,12.171
18,08/24/18 08:30:01 PM,-0.0164,14.218,13.738,11.904
19,08/24/18 09:00:01 PM,-0.0164,12.364,12.340,11.540
20,08/24/18 09:30:01 PM,-0.0164,10.736,11.224,11.102
21,08/24/18 10:00:01 PM,-0.0164,8.593,9.361,10.638
22,08/24/18 10:30:01 PM,-0.0171,7.041,8.717,10.198
23,08/24/18 11:00:01 PM,-0.0171,6.102,8.070,9.879
24,08/24/18 11:30:01 PM,-0.0164,6.940,9.213,9.706
25,08/25/18 12:00:01 AM,-0.0171,7.368,9.262,9.682
26,08/25/18 12:30:01 AM,-0.0164,8.145,9.854,9.657
27,08/25/18 01:00:01 AM,-0.0164,6.763,8.295,9.583
28,08/25/18 01:30:01 AM,-0.0164,5.693,7.293,9.386
29,08/25/18 02:00:01 AM,-0.0164,4.194,5.668,9.163
30,08/25/18 02:30:01 AM,-0.0164,3.670,5.128,8.916
31,08/25/18 03:00:01 AM,-0.0164,3.880,4.818,8.866
32,08/25/18 03:30:01 AM,-0.0164,3.775,5.076,8.767
33,08/25/18 04:00:01 AM,-0.0164,5.898,7.494,8.742
34,08/25/18 04:30:01 AM,-0.0164,6.458,6.813,8.891
35,08/25/18 05:00:01 AM,-0.0164,6.535,6.484,8.990
36,08/25/18 05:30:01 AM,-0.0164,7.419,7.720,9.089
