Sample_ID,Match,Species,Sample_location,Sample_location_full,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Year_dead,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Survived_2021,Bed,Row,Column,Notes,Field_notes,Data_notes
HE16Sa8,HE16SA8,Salix arctica,Qikiqtaruk,Qikiqtaruk,16/07/2023,16/07/2024,16/08/2006,2016,7,86,41,6.8,NA,NA,NA,NA,NA,NA,Unknown,26.3,7,NA,2018,NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018."
H17Sa13,#N/A,Salix arctica,Qikiqtaruk,Qikiqtaruk,17/08/2014,NA,17/08/2019,2017,10.5,NA,NA,NA,46.7,49.5,41.4,76,25.8,4.4,Female,32.4,6.5,5,2018,NA,NA,NA,NA,1,NA,NA,NA,15,5,4,NA,"Not Salix arctica, removed",
"KP18Sp NO LABEL, IN BED AT TOP RIGHT CORNER AS YOU'RE FACING THE LAKE",NA,Salix arctica,Kluane,Kluane Plateau,22/08/2018,NA,23/08/2018,2018,9.9,NA,NA,NA,68,51,57,32,31,22,Male,27.3,4.32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No lable, not sure which individual",
KLSpE3,KL-SPE 3,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,44,118,111,2.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,0,1,1,1,1,1,1,1,3,4,NA,,
HESp12,HE-SP 12,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,6,4,3,NA,,
HESp17,HE-SP 17,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,4,4,NA,,
HESp2,HE-SP 2,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,4,3,NA,,
HESp20,HE-SP 20,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,4,7,NA,,
HESp4,HE-SP 4,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,4,5,NA,,
HESr13,HE-SR 13,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,3,5,NA,,
HESr2,HE-SR 2,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,5,5,4,NA,,
HESr23,HE-SR 23,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,4,4,5,NA,,
HESr3,HE-SR 3,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,5,5,5,NA,,
HESr7,HE-SR 7,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,4,3,NA,,
HESr8,HE-SR 8,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,35.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,2,4,4,NA,,
KLSpC13,KL-SPC 13,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,102,128,126,2,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,8,3,5,NA,,
KLSpC2,KL-SPC 2,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,77,453,223,3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,2,3,NA,,
KLSpC3,KL-SPC 3,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,118,447,339,5.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,2,4,NA,,
KLSpC8,KL-SPC 8,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,62,466,282,2.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,2,5,NA,,
KLSpC9,KL-SPC 9,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,48,374,354,1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,2,6,NA,,
KLSpE1,KL-SPE 1,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,50,77,46,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,3,2,NA,,
KLSpE11,KL-SPE 11,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,58,128,99,1.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,3,3,NA,,
KLSpE12,KL-SPE 12,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,41,37,82,1.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,3,4,NA,,
KLSpE14,KL-SPE 14,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,72,184,140,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,3,6,NA,,
KLSpE15,KL-SPE 15,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,27,136,103,1.3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,3,3,7,NA,,
KLSpE2,KL-SPE 2,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,46,227,170,2.8,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,3,3,NA,,
KLSpE4,KL-SPE 4,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,52,218,173,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,3,5,NA,,
KLSpE5,KL-SPE 5,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,35,108,567,0.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,1,3,6,NA,,
KLSpE6,KL-SPE 6,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,37,54,40,0.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,Alive,1,1,1,1,1,1,1,1,6,3,2,NA,,
