"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes"
"1","IMS","HESp1",NA,"HESp1",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,7,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,16,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MG","HESp19",NA,"HESp19",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MG","HESp20",NA,"HESp20",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,13,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AB","HESp23",NA,"HESp23",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,23,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AB","HESp30",NA,"HESp30",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,14,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","IMS","HESp4",NA,"HESp4",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","CF","HESp6",NA,"HESp6",2013,"Salix pulchra","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","SW","HESr13",NA,"HESr13",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,8,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","IR","HESr16",NA,"HESr16",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","IR","HESr17",NA,"HESr17",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,18,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LB","HESr2",NA,"HESr2",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","IR","HESr20",NA,"HESr20",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AC","HESr21",NA,"HESr21",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AC","HESr23",NA,"HESr23",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AC","HESr24",NA,"HESr24",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AC","HESr26",NA,"HESr26",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AC","HESr27",NA,"HESr27",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AC","HESr29",NA,"HESr29",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,11,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LB","HESr3",NA,"HESr3",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,7,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","LB","HESr4",NA,"HESr4",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","SW","HESr6",NA,"HESr6",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","SW","HESr7",NA,"HESr7",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
