"","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"1",1,"IMS","HESp1",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,"HESP1",NA,2,NA,14.6666666666667,NA,"Northern"
"2",2,"CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,"HESP12",NA,2,NA,12.3333333333333,NA,"Northern"
"3",3,"MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP17",NA,2,NA,9.66666666666667,NA,"Northern"
"4",4,"MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,"HESP18",NA,2,NA,17,NA,"Northern"
"5",5,"IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,"HESP2",NA,2,NA,10.3333333333333,NA,"Northern"
"6",6,"MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,"HESP20",NA,2,NA,21,NA,"Northern"
"7",7,"AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,"HESP23",NA,2,NA,19.6666666666667,NA,"Northern"
"8",8,"AB","HESp30",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,"HESP30",NA,2,NA,13.6666666666667,NA,"Northern"
"9",9,"IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"HESP4",NA,2,NA,9.66666666666667,NA,"Northern"
"10",10,"CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,"HESP6",NA,2,NA,17,NA,"Northern"
"11",11,"SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,"HESR13",NA,2,NA,15.6666666666667,NA,"Northern"
"12",12,"IR","HESr16",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,"HESR16",NA,2,NA,5,NA,"Northern"
"13",13,"IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,"HESR17",NA,2,NA,17.3333333333333,NA,"Northern"
"14",14,"LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,"HESR2",NA,2,NA,10,NA,"Northern"
"15",15,"IR","HESr20",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,"HESR20",NA,2,NA,8,NA,"Northern"
"16",16,"AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,"HESR21",NA,2,NA,15.3333333333333,NA,"Northern"
"17",17,"AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,14,18,19,NA,NA,NA,"HESR23",NA,2,NA,17,NA,"Northern"
"18",18,"AC","HESr24",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,14,5,4,NA,NA,NA,"HESR24",NA,2,NA,7.66666666666667,NA,"Northern"
"19",19,"AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,15,19,14,NA,NA,NA,"HESR26",NA,2,NA,16,NA,"Northern"
"20",20,"AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,14,10,13,NA,NA,NA,"HESR27",NA,2,NA,12.3333333333333,NA,"Northern"
"21",21,"AC","HESr29",2013,"Salix richardsonii","Qikiqtaruk","2015-08-15",8,15,2015,NA,NA,NA,NA,15,15,14,NA,NA,NA,"HESR29",NA,2,NA,14.6666666666667,NA,"Northern"
