"","X.5","X.4","X.3","X.2","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1"
"1",2645,2645,2645,2645,2645,"JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.6,26.2,28.2,10,22,29,30,7,10,14,"H15SA10",6,10.3333333333333,27,27.2,"Northern",2645
"2",2646,2646,2646,2646,2646,"JB","H15Sa11",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",6,7,16.6666666666667,3.15,"Northern",2646
"3",1340,1340,1340,1340,1340,"JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,5,NA,NA,NA,39.37,31.84,27.5,6.58,7.92,11.26,"H15SA12",4,8.58666666666667,32.9033333333333,NA,"Northern",NA
"4",787,787,787,787,787,"JB","H15Sa14",2015,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,4.1,NA,NA,NA,22.02,19.37,18.8,4.67,4.29,3.29,"H15SA14",3,4.08333333333333,20.0633333333333,NA,"Northern",NA
"5",3148,3148,3148,3148,3148,"JB","H15Sa15",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",7,16.3333333333333,21,7.75,"Northern",3148
"6",2650,2650,2650,2650,2650,"JB","H15Sa18",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",6,8.66666666666667,12.6666666666667,6.35,"Northern",2650
"7",3141,3141,3141,3141,3141,"JB","H15Sa19",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,19,17,11,26,30,24,27,31,39,"H15SA19",7,32.3333333333333,26.6666666666667,18,"Northern",3141
"8",792,792,792,792,792,"JB","H15Sa20",2015,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,5.8,NA,NA,NA,17.3,19.6,24.61,4.59,5.23,3.03,"H15SA20",3,4.28333333333333,20.5033333333333,NA,"Northern",NA
"9",3129,3129,3129,3129,3129,"JB","H15Sa3",2015,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4.5,16,19,8,25,19,52,12,5,25,"H15SA3",7,14,32,17.5,"Northern",3129
"10",269,269,269,269,269,"JB","H15Sa4",2015,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4",2,NA,NA,NA,"Northern",NA
"11",270,270,270,270,270,"JB","H15Sa5",2015,"Salix arctica","Qikiqtaruk","2017-08-14",8,14,2017,0.7,NA,NA,NA,NA,NA,NA,4,NA,NA,"H15SA5",2,NA,NA,NA,"Northern",NA
"12",1352,1352,1352,1352,1352,"JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,5.6,NA,NA,NA,27.56,23.68,27.31,20.97,22.2,21.62,"H15SA7",4,21.5966666666667,26.1833333333333,NA,"Northern",NA
"13",2655,2655,2655,2655,2655,"JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",6,19,NA,10.65,"Northern",2655
"14",800,800,800,800,800,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,6.2,NA,NA,NA,19.02,13.11,16.06,4.39,7.79,4.95,"H15SP1",3,5.71,16.0633333333333,NA,"Northern",NA
"15",2009,2009,2009,2009,2009,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,7.1,NA,NA,NA,21,22,24,19,15,11,"H15SP10",5,15,22.3333333333333,NA,"Northern",NA
"16",277,277,277,277,277,"CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,2.6,NA,NA,NA,NA,NA,NA,13,7,NA,"H15SP11",2,NA,NA,NA,"Northern",NA
"17",803,803,803,803,803,"CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,1.5,NA,NA,NA,7.47,6.71,4.84,1.97,1.31,1.32,"H15SP12",3,1.53333333333333,6.34,NA,"Northern",NA
"18",64,64,64,64,64,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",1,36.6666666666667,41,NA,"Northern",NA
"19",65,65,65,65,65,"CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",1,NA,28.3333333333333,NA,"Northern",NA
"20",66,66,66,66,66,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",1,NA,37.3333333333333,NA,"Northern",NA
"21",67,67,67,67,67,"CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",1,12,32.3333333333333,NA,"Northern",NA
"22",68,68,68,68,68,"CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",1,13.6666666666667,22.3333333333333,NA,"Northern",NA
"23",809,809,809,809,809,"CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,17.1,NA,NA,NA,23.04,24.84,25.72,8.13,5.09,3.54,"H15SP18",3,5.58666666666667,24.5333333333333,NA,"Northern",NA
"24",1365,1365,1365,1365,1365,"CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,11.1,NA,NA,NA,18.97,15.95,14.93,22.67,21.15,5.42,"H15SP19",4,16.4133333333333,16.6166666666667,NA,"Northern",NA
"25",71,71,71,71,71,"IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",1,21,17.3333333333333,NA,"Northern",NA
"26",2664,2664,2664,2664,2664,"CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",6,8,NA,7.25,"Northern",2664
"27",75,75,75,75,75,"MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23",1,NA,NA,NA,"Northern",NA
"28",816,816,816,816,816,"MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,11.3,NA,NA,NA,21.14,23.09,20.79,22.79,24.78,15.4,"H15SP24",3,20.99,21.6733333333333,NA,"Northern",NA
"29",3106,3106,3106,3106,3106,"AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",7,15.3333333333333,20,12,"Northern",3106
"30",293,293,293,293,293,"AB","H15Sp26",2015,"Salix pulchra","Qikiqtaruk","2017-08-14",8,14,2017,4.3,NA,NA,NA,NA,NA,NA,25,NA,NA,"H15SP26",2,NA,NA,NA,"Northern",NA
"31",79,79,79,79,79,"AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27",1,NA,17.6666666666667,NA,"Northern",NA
"32",819,819,819,819,819,"AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,9.6,NA,NA,NA,20.39,22.97,22.34,3.53,3.17,1.4,"H15SP29",3,2.7,21.9,NA,"Northern",NA
"33",297,297,297,297,297,"IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk","2017-08-13",8,13,2017,2.1,NA,NA,NA,NA,NA,NA,9,NA,NA,"H15SP3",2,NA,NA,NA,"Northern",NA
"34",823,823,823,823,823,"IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,7.4,NA,NA,NA,17.14,20.69,16.68,4.83,4.29,2.75,"H15SP5",3,3.95666666666667,18.17,NA,"Northern",NA
"35",2671,2671,2671,2671,2671,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",6,8,NA,4.6,"Northern",2671
"36",89,89,89,89,89,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17,NA,NA,NA,30,28,21,11,9,12,"H15SP8",1,10.6666666666667,26.3333333333333,NA,"Northern",NA
