Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,June 2022 Notes,,,,,,,,,,,
IMS,H15Sp1,,,2015,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,5.4,4.5,3.9,7,7,4,3,17,16,16,,,,,,,,,,,,,,,,,
IMS,H15Sp2,,,2015,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,4.8,7.5,6,11,7,6,5,16,15,13,,,,,,,,,,,,,,,,,
IMS,H15Sp5,,,2015,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,7.1,14,13,12,10,9,7,24,31,19,,,,,,,,,,,,,,,,,
IMS,H15Sp6,,,2015,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
IMS,H15Sp8,,,2015,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,8.2,15,12,9,7,8,4,20,15,15,,,,,,,,,,,,,,,,,
IMS,HESp24,,,2013,Salix pulchra,Qikiqtaruk,105342279,20/06/2022,6,20,2022,19,24,22,26,12,11,32,31,26,43,,,,,,Big central high branch died,,,,,,,,,,,
IMS,HESp3,,,2013,Salix pulchra,Qikiqtaruk,105591150,20/06/2022,6,20,2022,15.5,42,24,14,42,27,21,33,23,25,,,,,,,,,,,,,,,,,
IMS,HESp4,,,2013,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,4.9,8,6,5,9,8,3,15,14,14,,,,,,,,,,,,,,,,,
IMS,HESp2,,,2013,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,4.4,5.5,2.9,4,5,3,,14,12,12,,,,,,,,,,,,,,,,,
IMS,HESp4,,,2013,Salix pulchra,Qikiqtaruk,,20/06/2022,6,20,2022,10,13,11.5,9,6,6,4,14,18,13,,,,,,Multiple branches above ground-measured largest diameter. Few leaves turning yellow,,,,,,,,,,,
