,X,Bed,Year_planted,Species,Site,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter,Length_1_mm,Length_2_mm,Length_3_mm,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,SampleID_standard,biovolume,mean_stem_elong,mean_leaf_length,mean_width,population,Latitude,Longitude,Elevation,Date_propagated,Date_planted,Mother_LS,Cutting_length,Cutting_diameter,Sample_ID,July_2023_notes,Sample_age
1,1,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,HESP1,NA,NA,14.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2,2,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,HESP12,NA,NA,12.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,3,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,HESP17,NA,NA,9.666666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
4,4,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,HESP18,NA,NA,17,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
5,5,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,11,10,10,NA,NA,NA,HESP2,NA,NA,10.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6,6,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,20,24,19,NA,NA,NA,HESP20,NA,NA,21,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
7,7,AB,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,17,25,17,NA,NA,NA,HESP23,NA,NA,19.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
8,8,AB,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,16,15,10,NA,NA,NA,HESP30,NA,NA,13.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
9,9,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,HESP4,NA,NA,9.666666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
10,10,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,18,18,15,NA,NA,NA,HESP6,NA,NA,17,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
11,11,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,20,14,NA,NA,NA,HESR13,NA,NA,15.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
12,12,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,6,3,6,NA,NA,NA,HESR16,NA,NA,5,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
13,13,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,20,16,16,NA,NA,NA,HESR17,NA,NA,17.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
14,14,LB,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,10,9,11,NA,NA,NA,HESR2,NA,NA,10,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
15,15,IR,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,11,8,5,NA,NA,NA,HESR20,NA,NA,8,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
16,16,AC,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,17,14,15,NA,NA,NA,HESR21,NA,NA,15.33333333,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
17,17,AC,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,14,18,19,NA,NA,NA,HESR23,NA,NA,17,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
18,18,AC,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,14,5,4,NA,NA,NA,HESR24,NA,NA,7.666666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
