"","Match","Species","Sample_location","Sample_location_full","Date_sampled","Date_propagated","Date_planted","Year_planted","Mother_height","Mother_CW_1","Mother_CW_2","Mother_LS","Mother_LL1","Mother_LL2","Mother_LL3","Mother_SE1","Mother_SE2","Mother_SE3","Mother_Sex","Cutting_length","Cutting_diameter","Cutting_age","Year_dead","Survived_2014","Survived_2015","Survived_2016","Survived_2017","Survived_2018","Survived_2019","Survived_2020","Survived_2021","Bed","Row","Column","Notes","Field_notes","Data_notes","SampleID","SampleID_standard","population","Survived_2023","Survived_2022"
"1","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"2","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"3","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"4","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"5","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"6","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"7","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"8","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"9","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
"10","HE16SA8","Salix arctica","Qikiqtaruk","Qikiqtaruk","16/07/2023","16/07/2024","16/08/2006",2016,7,"86","41",6.8,NA,NA,NA,NA,NA,NA,"Unknown",26.3,"7",NA,"2018",NA,NA,NA,1,1,NA,NA,NA,15,3,2,NA,"Not Salix arctica in 2021, removed.","Marked as ""not dead"" in 2018.","HE16Sa8","HE16SA8","Northern","0","0"
