"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","max_biovol","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"1","H15SA10",37,42,47,7,23,2023,"Common_garden","Northern","Salix arctica",42,"JB",2015,NA,6.3,34.6,36.4,15,42,19,31,7934.472,30.6666666666667,35.5,NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa10","20% yellow, 60% yellowing",8
"2","H15SA11",20,17,13,8,11,2021,"Common_garden","Northern","Salix arctica",16.6666666666667,"JB",2015,NA,3.5,3.1,3.2,10,6,7,8,34.72,7,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","H15SA12",52,48,41,7,23,2023,"Common_garden","Northern","Salix arctica",47,"JB",2015,NA,4.9,27.5,19.8,23,14,17,9,2668.05,13.3333333333333,23.65,NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa12","15% yellow, 30% yellowing",8
"4","H15SA14",31,30,27,7,23,2023,"Common_garden","Northern","Salix arctica",29.3333333333333,"JB",2015,NA,3.6,16.1,10.6,11,7,15,12,614.376,11.3333333333333,13.35,NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa14","30% yellowing",8
"5","H15SA15",24,27,29,7,23,2023,"Common_garden","Northern","Salix arctica",26.6666666666667,"JB",2015,NA,3.4,12.2,9.9,5,4,6,8,410.652,6,11.05,NA,NA,NA,NA,NA,NA,NA,NA,"H15sa15","100% yellowing",8
"6","H15SA18",16,14,8,8,11,2021,"Common_garden","Northern","Salix arctica",12.6666666666667,"JB",2015,NA,5.2,7.1,5.6,6,11,4,11,206.752,8.66666666666667,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","H15SA19",35,43,42,7,23,2023,"Common_garden","Northern","Salix arctica",40,"JB",2015,NA,6.7,25.2,20.2,12,18,20,28,3410.568,22,22.7,NA,NA,NA,NA,NA,NA,NA,NA,"H15sa19","15% yellow, 30% yellowing and redding",8
"8","H15SA20",32,30,28,7,23,2023,"Common_garden","Northern","Salix arctica",30,"JB",2015,NA,3.9,10.4,9.1,6,12,7,1,369.096,6.66666666666667,9.75,NA,NA,NA,NA,NA,NA,NA,NA,"H15sa20","30% yellow, 20% yellowing",8
"9","H15SA3",25,19,52,8,17,2022,"Common_garden","Northern","Salix arctica",32,"JB",2015,"2022-08-17",4.5,16,19,8,12,5,25,1368,14,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"10","H15SA7",20,21,36,8,17,2022,"Common_garden","Northern","Salix arctica",25.6666666666667,"JB",2015,"2022-08-17",4,19,13,10,22,19,7,988,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"11","H15SA9",33,NA,NA,8,11,2021,"Common_garden","Northern","Salix arctica",NA,"JB",2015,NA,2.2,14.1,7.2,10,11,24,22,223.344,19,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"12","H15SP1",27,22,20,8,9,2021,"Common_garden","Northern","Salix pulchra",23,"IMS",2015,NA,5.4,4.5,4.8,8,12,3,17,116.64,10.6666666666667,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"13","H15SP10",17,16,16,8,11,2021,"Common_garden","Northern","Salix pulchra",16.3333333333333,"CF",2015,NA,6.5,15,7.5,16,10,9,4,731.25,7.66666666666667,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"14","H15SP13",16,23,24,8,11,2021,"Common_garden","Northern","Salix pulchra",21,"CF",2015,NA,11,16,8.9,13,9,11,10,1566.4,10,12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"15","H15SP15",25,23,24,8,11,2021,"Common_garden","Northern","Salix pulchra",24,"CF",2015,NA,14.5,23,21,12,11,13,14,7003.5,12.6666666666667,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"16","H15SP19",NA,NA,NA,8,11,2021,"Common_garden","Northern","Salix pulchra",NA,"CF",2015,NA,7.8,7.9,10.2,11,6,7,NA,628.524,NA,9.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
