"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","mean_width","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"1","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,6.3,34.6,36.4,15,37,42,47,42,19,31,"H15SA10",7934.472,30.66666667,42,35.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa10","20% yellow, 60% yellowing",8
"2","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,3.5,3.1,3.2,10,20,17,13,6,7,8,"H15SA11",34.72,7,16.66666667,3.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,4.9,27.5,19.8,23,52,48,41,14,17,9,"H15SA12",2668.05,13.33333333,47,23.65,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa12","15% yellow, 30% yellowing",8
"4","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,3.6,16.1,10.6,11,31,30,27,7,15,12,"H15SA14",614.376,11.33333333,29.33333333,13.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa14","30% yellowing",8
"5","JB",2015,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2,9.5,6,9,23,24,16,19,22,8,"H15SA15",114,16.33333333,21,7.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"6","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,8.666666667,12.66666667,6.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,6.7,25.2,20.2,12,35,43,42,18,20,28,"H15SA19",3410.568,22,40,22.7,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15sa19","15% yellow, 30% yellowing and redding",8
"8","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,2.8,5.7,4.5,6,21,24,26,9,11,13,"H15SA20",71.82,11,23.66666667,5.1,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"9","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,3.1,13.2,10.9,15,NA,NA,NA,14,21,31,"H15SA3",446.028,22,NA,12.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"10","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,4.7,16.1,12.4,11,28,26,29,7,3,6,"H15SA7",938.308,5.333333333,27.66666667,14.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa7","15% yellow, 85% brown patches",8
"11","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,19,NA,10.65,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"12","IMS",2015,"Salix pulchra","Common_garden",NA,7,23,2023,3.7,4.9,5.5,9,28,18,19,12,15,4,"H15SP1",99.715,10.33333333,21.66666667,5.2,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp1","100% browning or yellowing",8
"13","CF",2015,"Salix pulchra","Common_garden",NA,7,23,2023,5.7,8.8,8.8,18,39,33,32,59,5,6,"H15SP10",441.408,23.33333333,34.66666667,8.8,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp10","50% yellowing, only six leaves",8
"14","CF",2015,"Salix pulchra","Common_garden",NA,7,23,2023,10,13.2,9.6,17,35,36,30,26,23,21,"H15SP13",1267.2,23.33333333,33.66666667,11.4,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp13","60% yellowing, it has rallied",8
"15","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,14.5,23,21,12,25,23,24,11,13,14,"H15SP15",7003.5,12.66666667,24,22,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"16","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,7.8,7.9,10.2,11,NA,NA,NA,6,7,NA,"H15SP19",628.524,NA,NA,9.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17","IMS",2015,"Salix pulchra","Common_garden",NA,8,9,2021,4.8,5.6,3.9,8,NA,NA,NA,10,7,6,"H15SP2",104.832,7.666666667,NA,4.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"18","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,8.7,9,5.5,10,21,NA,NA,7,6,11,"H15SP20",430.65,8,NA,7.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"19","MG",2015,"Salix pulchra","Common_garden",NA,7,23,2023,5.1,11.3,8.4,7,20,22,14,15,11,21,"H15SP23",484.092,15.66666667,18.66666667,9.85,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp23","Yellow leaves 35%",8
"20","MG",2015,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,9.2,7.8,6.5,7,19,17,12,8,3,NA,"H15SP24",466.44,NA,16,7.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"21","AB",2015,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,9,14,10,15,19,18,23,14,13,19,"H15SP25",1260,15.33333333,20,12,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"22","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2021,7.9,18.4,15.7,16,23,21,20,9,13,12,"H15SP27",2282.152,11.33333333,21.33333333,17.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"23","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2021,5.6,4.3,4.3,8,24,22,NA,6,3,NA,"H15SP29",103.544,NA,NA,4.3,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"24","IMS",2015,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,7,18,14,12,21,19,26,11,12,12,"H15SP5",1764,11.66666667,22,16,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"25","IMS",2015,"Salix pulchra","Common_garden",NA,8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,8,NA,4.6,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"26","IMS",2015,"Salix pulchra","Common_garden",NA,7,23,2023,9.8,17.5,10.8,10,25,20,19,3,2,12,"H15SP8",1852.2,5.666666667,21.33333333,14.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp8","30% yellowing, 40% yellowing",8
"27","CF",2015,"Salix pulchra","Common_garden",NA,7,23,2023,13.9,18.3,10.6,12,26,19,23,7,4,9,"H15SP9",2696.322,6.666666667,22.66666667,14.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp9","95% yellow, 5% yellowing, looking quite sad",8
"28","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2021,7.5,12,9.4,9,18,21,19,17,21,10,"H15SR19",846,16,19.33333333,10.7,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"29","SW",2015,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,3,9,4,13,19,24,17,8,5,NA,"H15SR20",108,NA,20,6.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"30","AC",2015,"Salix richardsonii","Common_garden","2022-07-23",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",374.4,15.66666667,22.33333333,7.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"31","LB",2015,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",4284,NA,22.33333333,15.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"32","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,19.66666667,36.66666667,17.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"33","SAB",2017,"Salix arctica","Common_garden",NA,7,23,2023,5.4,11,7.5,9,36,33,32,9,4,3,"H17SA12",445.5,5.333333333,33.66666667,9.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17Sa12","30% browning and crunchy",6
"34","SAB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,21.66666667,34.33333333,16.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"35","JB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,3,18,11.5,10,23,30,30,9,35,24,"H17SA17",621,22.66666667,27.66666667,14.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"36","JB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,31.33333333,39,36,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"37","JB",2017,"Salix arctica","Common_garden",NA,8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4376.75,16,36.33333333,32.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"38","JA",2017,"Salix arctica","Common_garden",NA,7,23,2023,7.7,24.9,22.3,11,48,47,48,32,19,55,"H17SA6",4275.579,35.33333333,47.66666667,23.6,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17Sa6","20% brown patches, doing well",6
"39","JA",2017,"Salix arctica","Common_garden",NA,8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,7,23.66666667,14.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"40","JA",2017,"Salix arctica","Common_garden",NA,7,23,2023,10,34.5,29.4,15,32,34,28,8,22,18,"H17SA9",10143,16,31.33333333,31.95,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17Sa9","85% brown patches",6
