"","max_stem_elong","SampleID_standard","Year","Site","population","Species"
"1",40.3333333333333,"H15SA10",2022,"Common_garden","Northern","Salix arctica"
"2",8.6,"H15SA11",2019,"Common_garden","Northern","Salix arctica"
"3",21,"H15SA12",2022,"Common_garden","Northern","Salix arctica"
"4",16,"H15SA14",2021,"Common_garden","Northern","Salix arctica"
"5",16.3333333333333,"H15SA15",2022,"Common_garden","Northern","Salix arctica"
"6",10,"H15SA18",2017,"Common_garden","Northern","Salix arctica"
"7",32.3333333333333,"H15SA19",2022,"Common_garden","Northern","Salix arctica"
"8",11,"H15SA20",2021,"Common_garden","Northern","Salix arctica"
"9",22,"H15SA3",2021,"Common_garden","Northern","Salix arctica"
"10",21.5966666666667,"H15SA7",2019,"Common_garden","Northern","Salix arctica"
"11",19,"H15SA9",2021,"Common_garden","Northern","Salix arctica"
"12",15,"H15SP1",2020,"Common_garden","Northern","Salix pulchra"
"13",23.3333333333333,"H15SP10",2023,"Common_garden","Northern","Salix pulchra"
"14",9.66666666666667,"H15SP12",2017,"Common_garden","Northern","Salix pulchra"
"15",36.6666666666667,"H15SP13",2016,"Common_garden","Northern","Salix pulchra"
"16",14.6666666666667,"H15SP14",2017,"Common_garden","Northern","Salix pulchra"
"17",34.6666666666667,"H15SP15",2020,"Common_garden","Northern","Salix pulchra"
"18",12,"H15SP16",2016,"Common_garden","Northern","Salix pulchra"
"19",24.1466666666667,"H15SP17",2019,"Common_garden","Northern","Salix pulchra"
"20",25.2366666666667,"H15SP18",2019,"Common_garden","Northern","Salix pulchra"
"21",34,"H15SP19",2017,"Common_garden","Northern","Salix pulchra"
"22",21,"H15SP2",2016,"Common_garden","Northern","Salix pulchra"
"23",26.3333333333333,"H15SP20",2022,"Common_garden","Northern","Salix pulchra"
"24",15.6666666666667,"H15SP23",2023,"Common_garden","Northern","Salix pulchra"
"25",20.99,"H15SP24",2018,"Common_garden","Northern","Salix pulchra"
"26",32.5733333333333,"H15SP25",2020,"Common_garden","Northern","Salix pulchra"
"27",29.7266666666667,"H15SP27",2019,"Common_garden","Northern","Salix pulchra"
"28",20.8933333333333,"H15SP29",2020,"Common_garden","Northern","Salix pulchra"
"29",30.65,"H15SP5",2019,"Common_garden","Northern","Salix pulchra"
"30",28.8733333333333,"H15SP6",2019,"Common_garden","Northern","Salix pulchra"
"31",27.6666666666667,"H15SP8",2017,"Common_garden","Northern","Salix pulchra"
"32",27.6666666666667,"H15SP9",2020,"Common_garden","Northern","Salix pulchra"
"33",21.6666666666667,"H15SR19",2017,"Common_garden","Northern","Salix richardsonii"
"34",10,"H15SR20",2017,"Common_garden","Northern","Salix richardsonii"
"35",23.11,"H15SR29",2018,"Common_garden","Northern","Salix richardsonii"
"36",45,"H15SR5",2020,"Common_garden","Northern","Salix richardsonii"
"37",19.6666666666667,"H17SA10",2022,"Common_garden","Northern","Salix arctica"
"38",6.33333333333333,"H17SA12",2021,"Common_garden","Northern","Salix arctica"
"39",6.12666666666667,"H17SA14",2018,"Common_garden","Northern","Salix arctica"
"40",21.6666666666667,"H17SA15",2022,"Common_garden","Northern","Salix arctica"
"41",22.6666666666667,"H17SA17",2022,"Common_garden","Northern","Salix arctica"
"42",31.3333333333333,"H17SA18",2022,"Common_garden","Northern","Salix arctica"
"43",41,"H17SA20",2022,"Common_garden","Northern","Salix arctica"
"44",50.3333333333333,"H17SA6",2022,"Common_garden","Northern","Salix arctica"
"45",10,"H17SA8",2023,"Common_garden","Northern","Salix arctica"
"46",52,"H17SA9",2022,"Common_garden","Northern","Salix arctica"
"47",19,"H17SP10",2021,"Common_garden","Northern","Salix pulchra"
