"","max_canopy_height_cm","SampleID_standard","Year","Site","population","Species"
"1",6.3,"H15SA10",2023,"Common_garden","Northern","Salix arctica"
"2",3.5,"H15SA11",2021,"Common_garden","Northern","Salix arctica"
"3",5,"H15SA12",2019,"Common_garden","Northern","Salix arctica"
"4",4.1,"H15SA14",2018,"Common_garden","Northern","Salix arctica"
"5",3.4,"H15SA15",2023,"Common_garden","Northern","Salix arctica"
"6",5.2,"H15SA18",2021,"Common_garden","Northern","Salix arctica"
"7",6.7,"H15SA19",2023,"Common_garden","Northern","Salix arctica"
"8",5.8,"H15SA20",2018,"Common_garden","Northern","Salix arctica"
"9",4.9,"H15SA3",2023,"Common_garden","Northern","Salix arctica"
"10",0.3,"H15SA4",2017,"Common_garden","Northern","Salix arctica"
"11",0.7,"H15SA5",2017,"Common_garden","Northern","Salix arctica"
"12",5.6,"H15SA7",2019,"Common_garden","Northern","Salix arctica"
"13",2.2,"H15SA9",2021,"Common_garden","Northern","Salix arctica"
"14",6.2,"H15SP1",2018,"Common_garden","Northern","Salix pulchra"
"15",7.1,"H15SP10",2020,"Common_garden","Northern","Salix pulchra"
"16",2.6,"H15SP11",2017,"Common_garden","Northern","Salix pulchra"
"17",1.5,"H15SP12",2018,"Common_garden","Northern","Salix pulchra"
"18",13.8,"H15SP13",2016,"Common_garden","Northern","Salix pulchra"
"19",16.3,"H15SP14",2016,"Common_garden","Northern","Salix pulchra"
"20",21.3,"H15SP15",2016,"Common_garden","Northern","Salix pulchra"
"21",17.8,"H15SP16",2016,"Common_garden","Northern","Salix pulchra"
"22",19,"H15SP17",2016,"Common_garden","Northern","Salix pulchra"
"23",17.1,"H15SP18",2018,"Common_garden","Northern","Salix pulchra"
"24",11.1,"H15SP19",2019,"Common_garden","Northern","Salix pulchra"
"25",31,"H15SP2",2016,"Common_garden","Northern","Salix pulchra"
"26",8.7,"H15SP20",2021,"Common_garden","Northern","Salix pulchra"
"27",9.5,"H15SP23",2016,"Common_garden","Northern","Salix pulchra"
"28",11.3,"H15SP24",2018,"Common_garden","Northern","Salix pulchra"
"29",9,"H15SP25",2022,"Common_garden","Northern","Salix pulchra"
"30",4.3,"H15SP26",2017,"Common_garden","Northern","Salix pulchra"
"31",19,"H15SP27",2016,"Common_garden","Northern","Salix pulchra"
"32",9.6,"H15SP29",2018,"Common_garden","Northern","Salix pulchra"
"33",2.1,"H15SP3",2017,"Common_garden","Northern","Salix pulchra"
