"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","max_mean_width_cm","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"1","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,6.3,34.6,36.4,15,37,42,47,42,19,31,"H15SA10",7934.472,30.66666667,42,35.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa10","20% yellow, 60% yellowing",8
"2","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,2.6,4.4,3,7,25,16,18,10,12,NA,"H15SA11",34.32,NA,19.66666667,3.7,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa11","50% brown patches, eight leaves, small but mighty",8
"3","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,4.9,27.5,19.8,23,52,48,41,14,17,9,"H15SA12",2668.05,13.33333333,47,23.65,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa12","15% yellow, 30% yellowing",8
"4","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,3.6,16.1,10.6,11,31,30,27,7,15,12,"H15SA14",614.376,11.33333333,29.33333333,13.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sa14","30% yellowing",8
"5","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,3.4,12.2,9.9,5,24,27,29,4,6,8,"H15SA15",410.652,6,26.66666667,11.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15sa15","100% yellowing",8
"6","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,5.2,7.1,5.6,6,16,14,8,11,4,11,"H15SA18",206.752,8.666666667,12.66666667,6.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,6.7,25.2,20.2,12,35,43,42,18,20,28,"H15SA19",3410.568,22,40,22.7,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15sa19","15% yellow, 30% yellowing and redding",8
"8","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,3.9,10.4,9.1,6,32,30,28,12,7,1,"H15SA20",369.096,6.666666667,30,9.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15sa20","30% yellow, 20% yellowing",8
"9","JB",2015,"Salix arctica","Common_garden","2022-08-17",8,17,2022,4.5,16,19,8,25,19,52,12,5,25,"H15SA3",1368,14,32,17.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"10","JB",2015,"Salix arctica","Common_garden","2022-08-17",8,17,2022,4,19,13,10,20,21,36,22,19,7,"H15SA7",988,16,25.66666667,16,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"11","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,2.2,14.1,7.2,10,33,NA,NA,11,24,22,"H15SA9",223.344,19,NA,10.65,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"12","IMS",2015,"Salix pulchra","Common_garden",NA,7,23,2023,3.7,4.9,5.5,9,28,18,19,12,15,4,"H15SP1",99.715,10.33333333,21.66666667,5.2,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp1","100% browning or yellowing",8
"13","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,6.5,15,7.5,16,17,16,16,10,9,4,"H15SP10",731.25,7.666666667,16.33333333,11.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"14","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,11,16,8.9,13,16,23,24,9,11,10,"H15SP13",1566.4,10,21,12.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"15","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,14.5,23,21,12,25,23,24,11,13,14,"H15SP15",7003.5,12.66666667,24,22,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"16","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2021,7.8,7.9,10.2,11,NA,NA,NA,6,7,NA,"H15SP19",628.524,NA,NA,9.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"17","IMS",2015,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,4,7,7.5,7,13,10,15,4,5,3,"H15SP2",210,4,12.66666667,7.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"18","CF",2015,"Salix pulchra","Common_garden",NA,7,23,2023,5.6,9.8,9.9,10,23,26,25,15,23,17,"H15SP20",543.312,18.33333333,24.66666667,9.85,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp20","40% yellowing",8
"19","MG",2015,"Salix pulchra","Common_garden",NA,7,23,2023,5.1,11.3,8.4,7,20,22,14,15,11,21,"H15SP23",484.092,15.66666667,18.66666667,9.85,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp23","Yellow leaves 35%",8
"20","MG",2015,"Salix pulchra","Common_garden",NA,8,11,2021,11.1,9.9,4.8,6,21,17,15,4,5,5,"H15SP24",527.472,4.666666667,17.66666667,7.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"21","AB",2015,"Salix pulchra","Common_garden",NA,7,23,2023,8.3,18.4,16.5,11,21,24,25,20,9,24,"H15SP25",2519.88,17.66666667,23.33333333,17.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15SP25","10% yellow, 100% are brown at tips, 40% yellowing",8
"22","AB",2015,"Salix pulchra","Common_garden",NA,7,23,2023,9.8,22.9,23,11,24,29,31,20,9,15,"H15SP27",5161.66,14.66666667,28,22.95,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15SP27","100% leaves turning brown at the tip",8
"23","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2021,5.6,4.3,4.3,8,24,22,NA,6,3,NA,"H15SP29",103.544,NA,NA,4.3,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"24","IMS",2015,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,7,18,14,12,21,19,26,11,12,12,"H15SP5",1764,11.66666667,22,16,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"25","IMS",2015,"Salix pulchra","Common_garden",NA,8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,8,NA,4.6,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"26","IMS",2015,"Salix pulchra","Common_garden",NA,7,23,2023,9.8,17.5,10.8,10,25,20,19,3,2,12,"H15SP8",1852.2,5.666666667,21.33333333,14.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp8","30% yellowing, 40% yellowing",8
"27","CF",2015,"Salix pulchra","Common_garden",NA,7,23,2023,13.9,18.3,10.6,12,26,19,23,7,4,9,"H15SP9",2696.322,6.666666667,22.66666667,14.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sp9","95% yellow, 5% yellowing, looking quite sad",8
"28","SW",2015,"Salix richardsonii","Common_garden",NA,7,23,2023,5.3,15.6,10.9,9,25,12,19,20,4,3,"H15SR19",901.212,9,18.66666667,13.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sr19","3% yellowing, quite green",8
"29","SW",2015,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,3,9,4,13,19,24,17,8,5,NA,"H15SR20",108,NA,20,6.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"30","AC",2015,"Salix richardsonii","Common_garden",NA,7,23,2023,6.2,5.8,11.2,5,23,21,25,17,8,15,"H15SR29",402.752,13.33333333,23,8.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15SR29","Tiny but happy",8
"31","LB",2015,"Salix richardsonii","Common_garden",NA,7,23,2023,20.6,22.8,13.5,12,37,34,30,24,18,35,"H15SR5",6340.68,25.66666667,33.66666667,18.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H15Sr5","60% yellowing",8
"32","JA",2017,"Salix arctica","Common_garden",NA,7,23,2023,7.6,27.9,18.6,11,45,48,41,12,8,7,"H17SA10",3943.944,9,44.66666667,23.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17Sa10","85% brown and yellow patches",6
"33","SAB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2,9,10,7,35,32,23,9,12,NA,"H17SA12",180,NA,30,9.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"34","SAB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,21.66666667,34.33333333,16.25,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"35","JB",2017,"Salix arctica","Common_garden",NA,7,23,2023,5.1,21.2,14.8,7,37,52,39,26,15,19,"H17SA17",1600.176,20,42.66666667,18,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sa17","90% red and yellowish purple patches",6
"36","JB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,31.33333333,39,36,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"37","JB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2.5,40,39,12,39,33,50,54,46,23,"H17SA20",3900,41,40.66666667,39.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"38","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,5,26,23,9,49,64,66,93,33,25,"H17SA6",2990,50.33333333,59.66666667,24.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"39","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2,14,21,7,25,20,23,7,8,5,"H17SA8",588,6.666666667,22.66666667,17.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"40","JA",2017,"Salix arctica","Common_garden",NA,7,23,2023,10,34.5,29.4,15,32,34,28,8,22,18,"H17SA9",10143,16,31.33333333,31.95,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17Sa9","85% brown patches",6
"41","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,6.8,14.7,11.3,10,17,19,16,10,15,3,"H17SP10",1129.548,9.333333333,17.33333333,13,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sp10","70% yellowing",6
"42","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,9.2,21.3,18.2,7,18,20,19,5,7,15,"H17SP12",3566.472,9,19,19.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sp12","10% yellow, 90% yellowing",6
"43","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,20.7,13.8,10.9,8,18,21,21,4,6,2,"H17SP13",3113.694,4,20,12.35,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sp13","70% yellow, 30% yellowing",6
"44","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,9.9,10.5,11.6,10,24,26,27,7,18,15,"H17SP14",1205.82,13.33333333,25.66666667,11.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sp14","50% yellow, 50% yellowing",6
"45","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,10.2,8.3,9.1,6,30,27,25,18,31,16,"H17SP15",770.406,21.66666667,27.33333333,8.7,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"H17sp15","40% yellowing",6
"46","AB",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,4.5,11,9.9,9,20,19,23,11,18,18,"H17SP18",490.05,15.66666667,20.66666667,10.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
