"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
1,07/27/17 03:00:00  AM,6.712,6.382,3.009,4.714,Logged,,
2,07/27/17 04:00:00  AM,6.585,6.230,2.664,4.636,,,
3,07/27/17 05:00:00  AM,6.661,6.128,2.584,4.532,,,
4,07/27/17 06:00:00  AM,6.712,6.230,2.557,4.454,,,
5,07/27/17 07:00:00  AM,6.788,6.484,2.530,4.376,,,
6,07/27/17 08:00:00  AM,7.670,7.569,2.503,4.376,,,
7,07/27/17 09:00:00  AM,8.070,7.995,2.477,4.402,,,
8,07/27/17 10:00:00  AM,8.767,8.891,2.477,4.480,,,
9,07/27/17 11:00:00  AM,8.916,9.558,2.503,4.662,,,
10,07/27/17 12:00:00  PM,10.541,11.248,2.503,4.844,,,
11,07/27/17 01:00:00  PM,12.122,14.242,2.530,5.154,,,
12,07/27/17 02:00:00  PM,11.589,13.137,2.557,5.437,,,
13,07/27/17 03:00:00  PM,11.321,12.823,2.610,5.719,,,
14,07/27/17 04:00:00  PM,11.467,12.871,2.664,5.898,,,
15,07/27/17 05:00:00  PM,10.858,12.001,2.717,5.924,,,
16,07/27/17 06:00:00  PM,10.663,11.273,2.770,5.949,,,
17,07/27/17 07:00:00  PM,10.320,10.541,2.797,5.949,,,
18,07/27/17 08:00:00  PM,11.102,11.589,2.823,5.872,,,
19,07/27/17 09:00:00  PM,10.345,11.151,2.850,5.821,,,
20,07/27/17 10:00:00  PM,10.149,10.124,2.850,5.719,,,
21,07/27/17 11:00:00  PM,9.731,8.668,2.877,5.591,,,
