#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 10742709, SEN S/N: 10736285, LBL: Soil moisture)","Temp, °C (LGR S/N: 10742709, SEN S/N: 10736449, LBL: Soil temperature)","Temp, °C (LGR S/N: 10742709, SEN S/N: 10736451, LBL: Surface temperature)","Temp, °C (LGR S/N: 10742709, SEN S/N: 10736454, LBL: Air temperature)",Plot Title: Herschel - Haydn
1,08/13/16 08:00:01 PM,0.4281,3.485,8.593,9.262,
2,08/13/16 08:30:01 PM,0.4281,3.512,8.543,9.262,
3,08/13/16 09:00:01 PM,0.4295,3.591,8.12,8.817,
4,08/13/16 09:30:01 PM,0.4303,3.617,7.67,7.92,
5,08/13/16 10:00:01 PM,0.431,3.67,7.444,7.67,
6,08/13/16 10:30:01 PM,0.4317,3.696,7.091,7.217,
7,08/13/16 11:00:01 PM,0.4317,3.722,6.611,6.864,
8,08/13/16 11:30:01 PM,0.4325,3.722,6.128,6.23,
9,08/14/16 12:00:01 AM,0.4325,3.749,5.77,5.796,
10,08/14/16 12:30:01 AM,0.4332,3.749,5.668,5.668,
11,08/14/16 01:00:01 AM,0.4339,3.749,5.539,5.462,
12,08/14/16 01:30:01 AM,0.4339,3.749,5.334,5.205,
13,08/14/16 02:00:01 AM,0.4346,3.722,5.411,5.334,
14,08/14/16 02:30:01 AM,0.4346,3.696,5.591,5.565,
15,08/14/16 03:00:01 AM,0.4354,3.696,5.616,5.591,
16,08/14/16 03:30:01 AM,0.4354,3.67,5.591,5.565,
17,08/14/16 04:00:01 AM,0.4354,3.643,5.514,5.488,
18,08/14/16 04:30:01 AM,0.4354,3.617,5.847,5.821,
19,08/14/16 05:00:01 AM,0.4361,3.591,6,5.975,
20,08/14/16 05:30:01 AM,0.4361,3.591,6.204,6.179,
21,08/14/16 06:00:01 AM,0.4361,3.564,6.509,6.509,
22,08/14/16 06:30:01 AM,0.4361,3.538,6.737,6.712,
23,08/14/16 07:00:01 AM,0.4361,3.512,6.914,6.889,
24,08/14/16 07:30:01 AM,0.4368,3.485,7.091,7.091,
25,08/14/16 08:00:01 AM,0.4368,3.485,7.268,7.368,
26,08/14/16 08:30:01 AM,0.4375,3.459,7.393,7.619,
27,08/14/16 09:00:01 AM,0.4368,3.459,7.67,8.12,
28,08/14/16 09:30:01 AM,0.4368,3.433,7.494,8.195,
29,08/14/16 10:00:01 AM,0.4375,3.433,7.192,7.82,
30,08/14/16 10:30:01 AM,0.4375,3.406,7.192,7.845,
31,08/14/16 11:00:01 AM,0.4375,3.406,7.217,7.92,
32,08/14/16 11:30:01 AM,0.4375,3.406,7.469,8.319,
33,08/14/16 12:00:01 PM,0.4375,3.406,7.845,8.891,
34,08/14/16 12:30:01 PM,0.4375,3.406,7.97,9.336,
35,08/14/16 01:00:01 PM,0.4375,3.433,8.27,9.583,
36,08/14/16 01:30:01 PM,0.4375,3.433,8.095,9.262,
37,08/14/16 02:00:01 PM,0.4375,3.433,8.12,9.361,
38,08/14/16 02:30:01 PM,0.4375,3.459,7.845,8.99,
39,08/14/16 03:00:01 PM,0.4375,3.485,7.745,8.618,
40,08/14/16 03:30:01 PM,0.4375,3.512,7.77,8.643,
41,08/14/16 04:00:01 PM,0.4375,3.512,7.895,8.742,
42,08/14/16 04:30:01 PM,0.4375,3.538,8.17,9.188,
43,08/14/16 05:00:01 PM,0.4375,3.564,8.22,9.287,
44,08/14/16 05:30:01 PM,0.4375,3.591,8.543,9.682,
45,08/14/16 06:00:01 PM,0.4368,3.591,8.469,9.632,
46,08/14/16 06:30:01 PM,0.4368,3.617,8.344,9.509,
47,08/14/16 07:00:01 PM,0.4368,3.643,8.742,10.001,
48,08/14/16 07:30:01 PM,0.4368,3.67,8.593,9.558,
49,08/14/16 08:00:01 PM,0.4368,3.696,8.369,9.163,
50,08/14/16 08:30:01 PM,0.4368,3.722,8.27,8.941,
51,08/14/16 09:00:01 PM,0.4368,3.749,8.12,8.693,
52,08/14/16 09:30:01 PM,0.4368,3.775,7.82,8.295,
53,08/14/16 10:00:01 PM,0.4368,3.801,7.82,8.22,
54,08/14/16 10:30:01 PM,0.4368,3.801,7.569,7.895,
55,08/14/16 11:00:01 PM,0.4368,3.827,7.293,7.494,
56,08/14/16 11:30:01 PM,0.4368,3.827,7.217,7.368,
57,08/15/16 12:00:01 AM,0.4368,3.827,7.142,7.242,
58,08/15/16 12:30:01 AM,0.4368,3.827,7.015,7.066,
59,08/15/16 01:00:01 AM,0.4375,3.827,6.864,6.914,
60,08/15/16 01:30:01 AM,0.4375,3.827,6.712,6.687,
61,08/15/16 02:00:01 AM,0.4375,3.827,6.636,6.56,
62,08/15/16 02:30:01 AM,0.4375,3.801,6.585,6.535,
63,08/15/16 03:00:01 AM,0.4375,3.801,6.484,6.458,
64,08/15/16 03:30:01 AM,0.4375,3.801,6.737,6.737,
65,08/15/16 04:00:01 AM,0.4375,3.775,6.813,6.813,
66,08/15/16 04:30:01 AM,0.4375,3.749,6.737,6.763,
67,08/15/16 05:00:01 AM,0.4375,3.749,6.712,6.737,
68,08/15/16 05:30:01 AM,0.4383,3.722,6.763,6.788,
69,08/15/16 06:00:01 AM,0.4383,3.696,6.763,6.788,
70,08/15/16 06:30:01 AM,0.4383,3.696,6.788,6.813,
71,08/15/16 07:00:01 AM,0.4383,3.67,6.788,6.839,
72,08/15/16 07:30:01 AM,0.4383,3.67,6.839,6.914,
73,08/15/16 08:00:01 AM,0.4383,3.643,6.99,7.091,
74,08/15/16 08:30:01 AM,0.4383,3.617,7.142,7.318,
75,08/15/16 09:00:01 AM,0.4383,3.617,7.318,7.569,
76,08/15/16 09:30:01 AM,0.4383,3.591,7.393,7.695,
77,08/15/16 10:00:01 AM,0.4383,3.591,7.569,7.945,
78,08/15/16 10:30:01 AM,0.439,3.591,7.795,8.245,
79,08/15/16 11:00:01 AM,0.439,3.564,8.045,8.543,
80,08/15/16 11:30:01 AM,0.4383,3.564,8.12,8.668,
81,08/15/16 12:00:01 PM,0.439,3.564,8.369,9.163,
82,08/15/16 12:30:01 PM,0.439,3.564,8.469,9.41,
83,08/15/16 01:00:01 PM,0.4383,3.591,8.668,9.829,
84,08/15/16 01:30:01 PM,0.4383,3.591,8.841,10.271,
85,08/15/16 02:00:01 PM,0.4383,3.591,9.312,11.078,
86,08/15/16 02:30:01 PM,0.4383,3.617,9.46,11.321,
87,08/15/16 03:00:01 PM,0.4383,3.643,9.361,11.029,
88,08/15/16 03:30:01 PM,0.4383,3.67,9.089,10.614,
89,08/15/16 04:00:01 PM,0.4383,3.696,8.916,10.222,
90,08/15/16 04:30:01 PM,0.4383,3.722,9.262,10.932,
91,08/15/16 05:00:01 PM,0.4383,3.775,9.312,10.907,
92,08/15/16 05:30:01 PM,0.4375,3.801,9.558,10.956,
93,08/15/16 06:00:01 PM,0.4375,3.827,10.026,11.565,
94,08/15/16 06:30:01 PM,0.4375,3.854,9.558,10.834,
95,08/15/16 07:00:01 PM,0.4375,3.906,8.916,10.1,
96,08/15/16 07:30:01 PM,0.4375,3.932,9.188,10.541,
97,08/15/16 08:00:01 PM,0.4375,3.958,9.583,11.078,
98,08/15/16 08:30:01 PM,0.4375,3.985,9.361,10.345,
99,08/15/16 09:00:01 PM,0.4375,4.011,8.394,8.965,
100,08/15/16 09:30:01 PM,0.4375,4.037,8.245,8.792,
101,08/15/16 10:00:01 PM,0.4368,4.063,7.82,8.543,
102,08/15/16 10:30:01 PM,0.4368,4.089,8.045,8.568,
103,08/15/16 11:00:01 PM,0.4375,4.089,7.945,8.543,
104,08/15/16 11:30:01 PM,0.4375,4.089,7.92,8.419,
105,08/16/16 12:00:01 AM,0.4375,4.115,7.519,7.77,
106,08/16/16 12:30:01 AM,0.4375,4.115,7.015,7.167,
107,08/16/16 01:00:01 AM,0.4375,4.115,6.382,6.433,
108,08/16/16 01:30:01 AM,0.4375,4.089,6.23,6.179,
109,08/16/16 02:00:01 AM,0.4375,4.089,6.179,6.153,
110,08/16/16 02:30:01 AM,0.4375,4.089,6.281,6.255,
111,08/16/16 03:00:01 AM,0.4375,4.063,6.408,6.331,
112,08/16/16 03:30:01 AM,0.4383,4.037,6.611,6.509,
113,08/16/16 04:00:01 AM,0.4383,4.011,6.636,6.535,
114,08/16/16 04:30:01 AM,0.4383,4.011,6.737,6.611,
115,08/16/16 05:00:01 AM,0.4383,3.985,6.636,6.56,
116,08/16/16 05:30:01 AM,0.4383,3.958,6.331,6.281,
117,08/16/16 06:00:01 AM,0.439,3.932,5.745,5.77,
118,08/16/16 06:30:01 AM,0.439,3.906,5.514,5.514,
119,08/16/16 07:00:01 AM,0.439,3.906,5.488,5.488,
120,08/16/16 07:30:01 AM,0.439,3.88,5.411,5.411,
121,08/16/16 08:00:01 AM,0.4397,3.854,5.231,5.282,
122,08/16/16 08:30:01 AM,0.4397,3.854,5.128,5.231,
