"","Species","DOY","population","stage","group_color","group_shape","shape_stage"
"1","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"2","Salix richardsonii",126,"N. Garden","bud_burst","north","garden","garden bud_burst"
"3","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"4","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"5","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"6","Salix richardsonii",139,"S. Garden","bud_burst","south","garden","garden bud_burst"
"7","Salix richardsonii",140,"S. Garden","bud_burst","south","garden","garden bud_burst"
"8","Salix richardsonii",139,"S. Garden","bud_burst","south","garden","garden bud_burst"
"9","Salix richardsonii",141,"S. Garden","bud_burst","south","garden","garden bud_burst"
"10","Salix richardsonii",138,"S. Garden","bud_burst","south","garden","garden bud_burst"
"11","Salix richardsonii",131,"S. Garden","bud_burst","south","garden","garden bud_burst"
"12","Salix richardsonii",129,"S. Garden","bud_burst","south","garden","garden bud_burst"
"13","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"14","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"15","Salix richardsonii",139,"N. Garden","bud_burst","north","garden","garden bud_burst"
"16","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"17","Salix richardsonii",137,"S. Garden","bud_burst","south","garden","garden bud_burst"
"18","Salix richardsonii",138,"S. Garden","bud_burst","south","garden","garden bud_burst"
"19","Salix richardsonii",131,"S. Garden","bud_burst","south","garden","garden bud_burst"
"20","Salix richardsonii",139,"N. Garden","bud_burst","north","garden","garden bud_burst"
"21","Salix richardsonii",139,"N. Garden","bud_burst","north","garden","garden bud_burst"
"22","Salix richardsonii",142,"N. Garden","bud_burst","north","garden","garden bud_burst"
"23","Salix richardsonii",140,"N. Garden","bud_burst","north","garden","garden bud_burst"
"24","Salix richardsonii",141,"S. Garden","bud_burst","south","garden","garden bud_burst"
"25","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"26","Salix richardsonii",136,"S. Garden","bud_burst","south","garden","garden bud_burst"
"27","Salix richardsonii",138,"N. Garden","bud_burst","north","garden","garden bud_burst"
"28","Salix richardsonii",138,"N. Garden","bud_burst","north","garden","garden bud_burst"
"29","Salix richardsonii",137,"N. Garden","bud_burst","north","garden","garden bud_burst"
"30","Salix richardsonii",139,"N. Garden","bud_burst","north","garden","garden bud_burst"
"31","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"32","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"33","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"34","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"35","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"36","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"37","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"38","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"39","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"40","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"41","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"42","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"43","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"44","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"45","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"46","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"47","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"48","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"49","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"50","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"51","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"52","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"53","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"54","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"55","Salix richardsonii",142,"S. Garden","bud_burst","south","garden","garden bud_burst"
"56","Salix richardsonii",140,"S. Garden","bud_burst","south","garden","garden bud_burst"
"57","Salix richardsonii",141,"S. Garden","bud_burst","south","garden","garden bud_burst"
"58","Salix richardsonii",140,"S. Garden","bud_burst","south","garden","garden bud_burst"
"59","Salix richardsonii",142,"S. Garden","bud_burst","south","garden","garden bud_burst"
"60","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"61","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"62","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"63","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"64","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"65","Salix richardsonii",143,"S. Garden","bud_burst","south","garden","garden bud_burst"
"66","Salix richardsonii",140,"S. Garden","bud_burst","south","garden","garden bud_burst"
"67","Salix richardsonii",143,"S. Garden","bud_burst","south","garden","garden bud_burst"
"68","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"69","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"70","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"71","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"72","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"73","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"74","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"75","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"76","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"77","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"78","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
"79","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"80","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"81","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"82","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"83","Salix richardsonii",NA,"S. Garden","bud_burst","south","garden","garden bud_burst"
"84","Salix richardsonii",NA,"N. Garden","bud_burst","north","garden","garden bud_burst"
