PhenocamID,ShrubID_Standard,Shrub,Year,Observer,Notes,Plants first visible through snow,Snow Free Melt Date (>90% plot free of snow),First 100% snow-free day,First snow return day - end of season,50% snow coverge - end of season,100% snow coverage - end of season,First leaf bud burst,Certainty Index ,First yellowing of leaves,Certainty Index (1-5),Last leaf starts turning yellow,Certainty Index (1-5),,,,,,,,,,,,,,,,
CG1-2021,PC17SA1,PC17Sa1,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,15/08/2021,3,31/08/2021,3,,,,,,,,,,,,,,,,
CG1-2021,PC16CESA2,PC16CESa2,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,12/08/2021,3,26/08/2021,4,,,,,,,,,,,,,,,,
CG1-2021,KP18SA2,KP18Sa2,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,11/08/2021,3,17/08/2021,4,,,,,,,,,,,,,,,,
CG1-2021,H17SA8,H17sa8,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,NA,Yellowing before 27/06/2022 but no photos. ,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,HE16SA3,HE16SA3,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,14/07/2021,4,31/07/2021,3,,,,,,,,,,,,,,,,
CG1-2021,H17SA6,H17sa6,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,22/07/2021,3,09/08/2021,4,,,,,,,,,,,,,,,,
CG1-2021,H17SA10,H17sa10,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,05/08/2021,3,19/08/2021,3,,,,,,,,,,,,,,,,
CG1-2021,H17SA9,H17SA9,2021,JS,,NA,NA,NA,27/09/2021,NA,10/10/2021,NA,NA,25/07/2021,4,10/08/2021,3,,,,,,,,,,,,,,,,
CG1-2021,PC17SA1,PC17Sa1,2022,JS,Camera knocked downwards at some point during winter; no plants visible in viewshed during spring. No more data from April 2022 onwards... why?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,PC16CESA2,PC16CESa2,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,KP18SA2,KP18Sa2,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,H17SA8,H17sa8,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,HE16SA3,HE16SA3,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,H17SA6,H17sa6,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,H17SA10,H17sa10,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
CG1-2021,H17SA9,H17SA9,2022,JS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
