"","PhenocamID","ShrubID_Standard","Year","Plants_first_visible_through_snow","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","First_leaf_yellow","Last_leaves_yellow","Species","population","Snow_melt_DOY","Plants_first_visible_through_snow_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","Full_snow_cover_EoS_DOY","First_leaf_bud_burst_DOY","First_leaf_yellow_DOY","Last_leaves_yellow_DOY"
"1","CG1-2021","PC17SA1",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-08-15,2021-08-31,"Salix arctica","Kluane",NA,NA,NA,270,283,NA,227,243
"2","CG1-2021","PC16CESA2",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-08-12,2021-08-26,"Salix arctica","Kluane",NA,NA,NA,270,283,NA,224,238
"3","CG1-2021","KP18SA2",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-08-11,2021-08-17,"Salix arctica","Kluane",NA,NA,NA,270,283,NA,223,229
"4","CG1-2021","H17SA8",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,270,283,NA,NA,NA
"5","CG1-2021","HE16SA3",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-07-14,2021-07-31,"Salix arctica","QHI",NA,NA,NA,270,283,NA,195,212
"6","CG1-2021","H17SA6",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-07-22,2021-08-09,"Salix arctica","QHI",NA,NA,NA,270,283,NA,203,221
"7","CG1-2021","H17SA10",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-08-05,2021-08-19,"Salix arctica","QHI",NA,NA,NA,270,283,NA,217,231
"8","CG1-2021","H17SA9",2021,NA,NA,NA,2021-09-27,NA,2021-10-10,NA,2021-07-25,2021-08-10,"Salix arctica","QHI",NA,NA,NA,270,283,NA,206,222
"9","CG1-2021","PC17SA1",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"10","CG1-2021","PC16CESA2",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"11","CG1-2021","KP18SA2",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,NA,NA,NA,NA,NA
"12","CG1-2021","H17SA8",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"13","CG1-2021","HE16SA3",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"14","CG1-2021","H17SA6",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"15","CG1-2021","H17SA10",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"16","CG1-2021","H17SA9",2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,NA,NA,NA,NA,NA
"17","CG2-2021","H17SR9",2021,NA,NA,NA,2021-10-03,NA,2021-10-03,NA,2021-06-29,2021-07-27,"Salix richardsonii","QHI",NA,NA,NA,276,276,NA,180,208
"18","CG2-2021","H17SR9",2022,2022-04-23,2022-04-24,2022-04-24,NA,NA,NA,2022-05-06,2022-06-19,2022-08-12,"Salix richardsonii","QHI",114,113,114,NA,NA,126,170,224
"19","CG3-2021","H15SA14",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-18,NA,"Salix arctica","QHI",NA,NA,NA,270,285,NA,199,NA
"20","CG3-2021","H17SA20",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-11,2021-08-15,"Salix arctica","QHI",NA,NA,NA,270,285,NA,192,227
"21","CG3-2021","K15PSA8",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-31,2021-08-30,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,212,242
"22","CG3-2021","H15SA7",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-05,2021-07-28,"Salix arctica","QHI",NA,NA,NA,270,285,NA,186,209
"23","CG3-2021","K15PSA7",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-06-27,2021-08-11,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,178,223
"24","CG3-2021","K15PSA2",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,NA,NA
"25","CG3-2021","H17SA17",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix arctica","QHI",NA,NA,NA,270,285,NA,NA,NA
"26","CG3-2021","KP17SA9",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,NA,NA
"27","CG3-2021","K15PSA6",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-30,NA,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,211,NA
"28","CG3-2021","H15SA12",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-07,2021-08-05,"Salix arctica","QHI",NA,NA,NA,270,285,NA,188,217
"29","CG3-2021","K15PSA12",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix arctica","Kluane",NA,NA,NA,270,285,NA,NA,NA
"30","CG3-2021","H15SA14",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-09,2022-07-15,NA,"Salix arctica","QHI",114,97,115,NA,NA,129,196,NA
"31","CG3-2021","H17SA20",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-12,2022-07-01,2022-08-10,"Salix arctica","QHI",114,97,115,NA,NA,132,182,222
"32","CG3-2021","K15PSA8",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-18,2023-08-01,NA,"Salix arctica","Kluane",114,97,115,NA,NA,138,213,NA
"33","CG3-2021","H15SA7",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-09,2022-07-21,NA,"Salix arctica","QHI",114,97,115,NA,NA,129,202,NA
"34","CG3-2021","K15PSA7",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-13,2022-07-16,NA,"Salix arctica","Kluane",114,97,115,NA,NA,133,197,NA
"35","CG3-2021","K15PSA2",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-19,2022-08-14,NA,"Salix arctica","Kluane",114,97,115,NA,NA,139,226,NA
"36","CG3-2021","H17SA17",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,NA,NA,NA,"Salix arctica","QHI",114,97,115,NA,NA,NA,NA,NA
"37","CG3-2021","KP17SA9",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-20,2022-08-06,NA,"Salix arctica","Kluane",114,97,115,NA,NA,140,218,NA
"38","CG3-2021","K15PSA6",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-18,2022-07-30,NA,"Salix arctica","Kluane",114,97,115,NA,NA,138,211,NA
"39","CG3-2021","H15SA12",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-09,2022-06-21,2022-08-11,"Salix arctica","QHI",114,97,115,NA,NA,129,172,223
"40","CG3-2021","K15PSA12",2022,2022-04-07,2022-04-24,2022-04-25,NA,NA,NA,2022-05-19,2022-07-29,2022-08-14,"Salix arctica","Kluane",114,97,115,NA,NA,139,210,226
"41","CG4-2021","H15SP15",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-07-01,2021-07-15,"Salix pulchra","QHI",NA,NA,NA,270,285,NA,182,196
"42","CG4-2021","H15SP15",2022,2022-04-19,2022-04-22,2022-04-25,NA,NA,NA,2022-05-09,2022-06-24,2022-06-29,"Salix pulchra","QHI",112,109,115,NA,NA,129,175,180
"43","CG5-2021","KP16SR57",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-16,2021-09-13,"Salix richardsonii","Kluane",NA,NA,NA,270,285,NA,228,256
"44","CG5-2021","PP17SR16",2021,NA,NA,NA,2021-09-27,NA,2021-10-12,NA,2021-08-16,2021-09-12,"Salix richardsonii","Kluane",NA,NA,NA,270,285,NA,228,255
"45","CG5-2021","KP16SR57",2022,2022-04-08,2022-04-23,2022-04-25,NA,NA,NA,2022-05-19,2022-08-09,NA,"Salix richardsonii","Kluane",113,98,115,NA,NA,139,221,NA
"46","CG5-2021","PP17SR16",2022,2022-04-08,2022-04-23,2022-04-25,NA,NA,NA,2022-05-20,2022-08-03,NA,"Salix richardsonii","Kluane",113,98,115,NA,NA,140,215,NA
"47","KLUANECAM2","KLSRE9",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,2021-05-18,2021-07-20,2021-09-02,"Salix richardsonii","Kluane",113,NA,115,270,285,138,201,245
"48","KLUANECAM2","KLSRE7",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,2021-05-11,NA,2021-09-03,"Salix richardsonii","Kluane",113,NA,115,270,285,131,NA,246
"49","KLUANECAM2","KLSRE6",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,2021-05-09,NA,2021-09-01,"Salix richardsonii","Kluane",113,NA,115,270,285,129,NA,244
"50","KLUANECAM2","HESR7",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix richardsonii","QHI",113,NA,115,270,285,NA,NA,NA
"51","KLUANECAM2","H15SR20",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,NA,NA,NA,"Salix richardsonii","QHI",113,NA,115,270,285,NA,NA,NA
"52","KLUANECAM2","H15SR19",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,2021-05-19,2021-07-12,2021-07-23,"Salix richardsonii","QHI",113,NA,115,270,285,139,193,204
"53","KLUANECAM2","HESR8",2021,NA,2021-04-23,2021-04-25,2021-09-27,NA,2021-10-12,NA,2021-07-05,2021-07-16,"Salix richardsonii","QHI",113,NA,115,270,285,NA,186,197
"54","KLUANECAM2","KLSRE9",2022,2022-03-24,2022-04-23,2022-04-24,NA,NA,NA,2022-05-17,2022-08-13,NA,"Salix richardsonii","Kluane",113,83,114,NA,NA,137,225,NA
