Field of View,,,,,"For snow observations, use the whole frame of the phenocam!",,,,,,"Community level - any species, only look at bottom half of frame",,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,
PLOT,Year,Observer,Viewshed,NOTES,Plants first visible through snow,Snow Free Melt Date (>90% plot free of snow),First 100% snow-free day,First snow return day - end of season,50% snow coverge - end of season,100% snow coverage - end of season,First leaf bud burst,50% Leaves Green,100% Leaves Green,First leaf yellow,50% Leaves Yellow,100% Leaves Yellow,Salix pulchra First Leaf Bud Burst,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix pulchra First Yellowing of Leaves,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix pulchra Last Leaf Turns Yellow,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Male Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Female Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Apperance of White Colour on Buds,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Open Flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas Last Petal Shed,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First twisting of filaments on seed heads,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First 'floofing' of plume,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident","% Cover of Dryas in plot, to nearest 10%","Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Flowers (15th July),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Eriophorum appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Mature eriophorum flower heads (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Lupine flowers (15th July OR nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Pedicularis flowers (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii First Leaf Bud Burst,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii First Yellowing of Leaves,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix richardsonii Last Leaf Turns Yellow,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Male Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Female Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident"
KP1-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Bottom half of image : plateau, top half : mountains in distance, thin strip of sky at the top. Gradually more sky in image until camera gets covered in snow in Nov. 2021. Between December 7 and 20 viewshed shows 2/3 plateau and a branch blocking the rest of the image. From Dec. 20 on, camera blocked by snow.","photos start 24 June 2021. Early photos (in late June) show Dryas flowers in bottom right corner, but disappear from view by June 27. Unclear if viewshed moved. Gap in photos July 6 to 20? Camera knocked askew sometime between November 17 and December 7",NA,NA,NA,August 28,NA,August 29,NA,NA,NA,July 20,Aug 18,September 14,NA,NA,July 20,,Sep 12,,,,,,NA,NA,NA,NA,29 June 2021,,,,,,10,,,,,,,,NA,NA,29 June 2021,3,NA,NA,28 June 2021,3,01 July 2021,3,,NA,NA,NA,,,,,,,,
KP2-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Lens very cloud after 7 August 2021, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,August 28,NA,August 28,NA,NA,NA,July 19,Aug 23,September 19,,,July 19,,Aug 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP7-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Shows shrub in foreground with a bit of lake at the top. Starting August 29, shows only ground and a bit of a shrub. Covered in snow intermittently Oct.-Dec.",did not take photos at initial set up. Photos start 6 July 2021. ,NA,NA,NA,August 28,NA,August 29,NA,NA,July 8,July 18,Aug 20,September 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 21,,Aug 27,,,,,
KP3-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","24 June-22 July : 3/4 of image is plateau ground, top 1/4 is lake in distance. 23-28 July : image mostly shows mountain and sky in distance. From 28 July : most of image is plateau ground with a thin strip at the top showing mountain in distance.","photos start 24 June 2021. Camera covered in snow Nov. 17-Dec 7, then from Dec. 21.",NA,NA,NA,August 28,NA,September 27,NA,NA,July 7,July 28,Aug 21,September 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July 18,,Sep 12,,,,,
KP5-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Starts out with plateau beign 2/3 of image and mountains in distance+sky filling the remaining 1/3. Camera angle pushed downwards 29 August, only showing plateau ground. Blocked by snow starting Oct. 1st.",Photos start July 28,NA,NA,NA,August 28,NA,August 29,NA,NA,NA,Aug 2,Aug 21,September 19,,,August 11,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP9-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Shows shrub in foreground, a few shrubs in the background and a strip of ground in between.","from 10-20 July 2021 camera is facing the sky, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,NA,August 28,NA,September 22,NA,NA,July 7,Aug 2,Aug 26,September 12,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,July 12,NA,Sep 8,,,,,
KP4-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois",Image consistently shows mostly plateau with a thin strip at the top showing lake and valley in distance.,did not take photos at initial set up. Photos start 6 July 2021,NA,NA,NA,August 28,NA,September 28,NA,NA,NA,Aug 4,Aug 27,September 9,NA,NA,August 13,NA,Sep 3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,,,
KP6-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Until July 6, shows mostly a shrub with plateau ground. From July 6, shows a shrub in the foreground and top 1/3 of image is mountain/lake/sky. From 28 Sept., image shows ground and a lower plateau ridge. Camera under snow Nov. 15-Dec. 1 and intermittently in December.",photos start 24 June 2021,NA,NA,26 June 2021,August 28,NA,October 3,NA,June 27,July 6,Aug 10,Aug 25,September 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27-Jun,4,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,Aug 3,,Sep 3,,,,,
KP8-2021,2021,"Madelaine Anderson, Clara Surprenant and Erica Zaja & Elise Gallois","Image shows 2 shrubs with some ground in between and top quarter of image is lake and valley. July 8-20 camera is pointed at the ground. July 21 on the camera shows one bush in the middle, ground around and a bit of the valley at the top of the image",did not take photos at initial set up. Photos start 6 July 2021,NA,NA,NA,August 28,NA,September 21,NA,NA,July 9,August 8,Aug 24,September 8,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,Aug 4,,Sep 3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
