"","...1","Plot","Year","Viewshed","NOTES","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","Half_leaves_green","All_leaves_green","First_leaf_yellow","Half_leaves_yellow","All_leaves_yellow","Species","Salix_bud_burst","Salix_first_yellow","Salix_last_yellow","First_greening","Greening_notes","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_leaf_bud_burst_DOY","Half_leaves_green_DOY","All_leaves_green_DOY","First_leaf_yellow_DOY","Half_leaves_yellow_DOY","All_leaves_yellow_DOY","Salixbud_burst_DOY","Salix_first_yellow_DOY","Salix_last_yellow_DOY","First_greening_DOY"
"1",1,"KP1-2021",2021,"Bottom half of image : plateau, top half : mountains in distance, thin strip of sky at the top. Gradually more sky in image until camera gets covered in snow in Nov. 2021. Between December 7 and 20 viewshed shows 2/3 plateau and a branch blocking the rest of the image. From Dec. 20 on, camera blocked by snow.","photos start 24 June 2021. Early photos (in late June) show Dryas flowers in bottom right corner, but disappear from view by June 27. Unclear if viewshed moved. Gap in photos July 6 to 20? Camera knocked askew sometime between November 17 and December 7",NA,NA,2021-08-28,"NA",2021-08-29,NA,NA,NA,2021-07-20,2021-08-18,2021-09-14,"Salix pulchra",NA,2021-07-20,2021-09-12,NA,NA,NA,NA,240,NA,NA,NA,201,230,257,NA,201,255,NA
"2",2,"KP2-2021",2021,"Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Lens very cloud after 7 August 2021, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,2021-08-28,"NA",2021-08-28,NA,NA,NA,2021-07-19,2021-08-23,2021-09-19,"Salix pulchra",NA,2021-07-19,2021-08-11,NA,NA,NA,NA,240,NA,NA,NA,200,235,262,NA,200,223,NA
"3",3,"KP7-2021",2021,"Shows shrub in foreground with a bit of lake at the top. Starting August 29, shows only ground and a bit of a shrub. Covered in snow intermittently Oct.-Dec.","did not take photos at initial set up. Photos start 6 July 2021.",NA,NA,2021-08-28,"NA",2021-08-29,NA,NA,2021-07-08,2021-07-18,2021-08-20,2021-09-20,"Salix richardsonii",NA,2021-07-21,2021-08-27,NA,NA,NA,NA,240,NA,NA,189,199,232,263,NA,202,239,NA
"4",4,"KP3-2021",2021,"24 June-22 July : 3/4 of image is plateau ground, top 1/4 is lake in distance. 23-28 July : image mostly shows mountain and sky in distance. From 28 July : most of image is plateau ground with a thin strip at the top showing mountain in distance.","photos start 24 June 2021. Camera covered in snow Nov. 17-Dec 7, then from Dec. 21.",NA,NA,2021-08-28,"NA",2021-09-27,NA,NA,2021-07-07,2021-07-28,2021-08-21,2021-09-11,"Salix richardsonii",NA,2021-07-18,2021-09-12,NA,NA,NA,NA,240,NA,NA,188,209,233,254,NA,199,255,NA
"5",5,"KP5-2021",2021,"Starts out with plateau beign 2/3 of image and mountains in distance+sky filling the remaining 1/3. Camera angle pushed downwards 29 August, only showing plateau ground. Blocked by snow starting Oct. 1st.","Photos start July 28",NA,NA,2021-08-28,"NA",2021-08-29,NA,NA,NA,2021-08-02,2021-08-21,2021-09-19,"Salix pulchra",NA,2021-08-11,NA,NA,NA,NA,NA,240,NA,NA,NA,214,233,262,NA,223,NA,NA
"6",6,"KP9-2021",2021,"Shows shrub in foreground, a few shrubs in the background and a strip of ground in between.","from 10-20 July 2021 camera is facing the sky, did not take photos at initial set up. Photos start 6 July 2021",NA,NA,2021-08-28,"NA",2021-09-21,NA,NA,2021-07-07,2021-08-02,2021-08-26,2021-09-12,"Salix richardsonii",NA,2021-07-12,2021-09-08,NA,NA,NA,NA,240,NA,NA,188,214,238,255,NA,193,251,NA
"7",7,"KP4-2021",2021,"Image consistently shows mostly plateau with a thin strip at the top showing lake and valley in distance.","did not take photos at initial set up. Photos start 6 July 2021",NA,NA,2021-08-28,"NA",2021-09-28,NA,NA,NA,2021-08-04,2021-08-27,2021-09-09,"Salix pulchra",NA,2021-08-13,2021-09-13,NA,NA,NA,NA,240,NA,NA,NA,216,239,252,NA,225,256,NA
"8",8,"KP6-2021",2021,"Until July 6, shows mostly a shrub with plateau ground. From July 6, shows a shrub in the foreground and top 1/3 of image is mountain/lake/sky. From 28 Sept., image shows ground and a lower plateau ridge. Camera under snow Nov. 15-Dec. 1 and intermittently in December.","photos start 24 June 2021",NA,2021-06-26,2021-08-28,"NA",2021-10-03,NA,2021-06-27,2021-07-06,2021-08-10,2021-08-25,2021-09-05,"Salix richardsonii",NA,2021-08-03,2021-09-03,NA,NA,NA,177,240,NA,178,187,222,237,248,NA,215,246,NA
"9",9,"KP8-2021",2021,"Image shows 2 shrubs with some ground in between and top quarter of image is lake and valley. July 8-20 camera is pointed at the ground. July 21 on the camera shows one bush in the middle, ground around and a bit of the valley at the top of the image","did not take photos at initial set up. Photos start 6 July 2021",NA,NA,2021-08-28,"NA",2021-09-21,NA,NA,2021-07-09,2021-08-08,2021-08-24,2021-09-08,"Salix richardsonii",NA,2021-08-04,2021-09-03,NA,NA,NA,NA,240,NA,NA,190,220,236,251,NA,216,246,NA
"10",10,"KP1-2021",2022,"Blocked by snow until June 1st. Shows only ground until June 22. Then 3/4 of image is the plateau and the top 1/4 is the valley in the distance.","Frame very crooked until June 22. Pictures end August 15th so no info on snow at end of season",2022-06-18,2022-06-23,NA,"NA",NA,2022-06-22,2022-06-27,2022-07-07,2022-08-13,NA,NA,"Salix pulchra",2022-06-23,NA,NA,2022-06-22,"(green lower on the plateau in the distance)",169,174,NA,173,178,188,225,NA,NA,174,NA,NA,173
"11",11,"KP2-2021",2022,"Bottom 2/3 of image is plateau, top 1/3 is lake in distance.","Did not record Nov. 13 2021 to June 22 2022, so snowmelt data NA.",NA,NA,NA,"NA",NA,NA,2022-06-23,2022-07-05,2022-08-14,NA,NA,"Salix pulchra",2022-06-22,2022-08-14,NA,NA,"(First picture on June 22 already shows much green)",NA,NA,NA,NA,174,186,226,NA,NA,173,226,NA,NA
