Field of View,,,,,"For snow observations, use the whole frame of the phenocam!",,,,,,"Community level - any species, only look at bottom half of frame",,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,,,,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,"For species observations, use only the bottom half of the frame (mid-point down). Anything above this may be too difficult to reliably observe.",,,,,,,,,
PLOT,Year,Observer,Viewshed,NOTES,Plants first visible through snow,Snow Free Melt Date (>90% plot free of snow),First 100% snow-free day,First snow return day - end of season,50% snow coverge - end of season,100% snow coverage - end of season,First leaf bud burst,50% Leaves Green,100% Leaves Green,50% Leaves Yellow,100% Leaves Yellow,SALIX SPP,Salix First Leaf Bud Burst,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix First Yellowing of Leaves,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Salix Last Leaf Turns Yellow,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Male Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",# Female Catkins (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Apperance of White Colour on Buds,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Open Flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First Petal Shed,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas Last Petal Shed,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First twisting of filaments on seed heads,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Dryas First 'floofing' of plume,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident","% Cover of Dryas in plot, to nearest 10%","Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Flowers (15th July),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Eriophorum appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Mature eriophorum flower heads (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Lupines first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Lupine flowers (15th July OR nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis SPP,Pedicularis appearance of first flower bud,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",Pedicularis first open flower,"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",#Pedicularis flowers (15th July or nearest date),"Certainty Index (1-5). 1= Very uncertain, 2 = Fairly Uncertain, 3 = Neutral, 4 = Confident, 5 = Very Confident",,,,,,,,,,
QHI_1,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA,NA,July 22,4,NA,NA,0,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July 30,4,20,3,48,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertisicolor,NA,NA,NA,NA,4,5,,,,,,,,,,
QHI_2,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA,NA,July 26,3,NA,NA,2,2,0,4,NA,NA,NA,NA,NA,NA,July 21,4,NA,NA,July 30,5,30,4,26,5,NA,NA,NA,NA,NA,NA,NA,NA,3,5,Vertisicolor,NA,NA,NA,NA,1,5,,,,,,,,,,
QHI_3,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Pulchra,NA,NA,July 23,4,NA,NA,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_4,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Richardsonii,NA,NA,July 26,4,NA,NA,0,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 3,3,10,4,6,5,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_5,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA,NA,July 31,4,NA,NA,2,3,1,4,NA,NA,NA,NA,NA,NA,July 22,5,NA,NA,Aug 3,5,20,4,51,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Vertisicolor,NA,NA,NA,NA,9,5,,,,,,,,,,
QHI_6,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Pulchra,NA,NA,July 20,4,NA,NA,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_7,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Richardsonii,NA,NA,July 28,3,NA,NA,0,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July 30,5,10,3,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_8,2022,Elise Gallois,"Facing northward, upslope",Sal ret stays green the entire time; Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Reticulata,NA,NA,NA,NA,NA,NA,2,3,14,4,NA,NA,NA,NA,22 July,5,Aug 2,5,Aug 4,4,Aug 10,3,40,4,37,5,NA,NA,NA,NA,NA,NA,NA,NA,3,5,Hirsuta,NA,NA,NA,NA,1,5,,,,,,,,,,
QHI_9,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Richardsonii,NA,NA,July 22,4,NA,NA,1,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_10,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA,NA,July 26,5,NA,NA,0,4,2,4,NA,NA,NA,NA,NA,NA,July 29,3,NA,NA,Aug 9,3,10,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_11,2022,Elise Gallois,"Facing northward, upslope",Yellow leaves before phenocam set up; Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Richarsonii,NA ,NA,NA,NA,NA,NA,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hirsuta,NA,NA,NA,NA,3,5,,,,,,,,,,
QHI_12,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Pulchra,NA ,NA,July 27,5,NA,NA,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 7,4,10,3,4,4,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_13,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA ,NA ,Aug 3,4,NA,NA,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July 26,5,10,4,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_14,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Richardsonii,NA ,NA ,July 29,4,NA,NA,0,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,Vertisicolor,NA,NA,NA,NA,2,5,,,,,,,,,,
QHI_15,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Pulchra,NA ,NA ,Aug 3,4,NA,NA,0,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July 31,4,10,4,12,4,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_16,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Reticulata,NA ,NA ,Aug 5,3,NA,NA,0,3,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 3,5,10,4,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_17,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Reticulata,NA ,NA ,July 29,4,NA,NA,0,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 5,5,20,3,17,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_18,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA ,NA ,July 27,4,NA,NA,5,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July 30,5,30,4,34,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,,,,,,,,,,
QHI_19,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA ,NA ,July 31,4,NA,NA,0,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 4,5,20,3,16,3,NA,NA,3,4,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
QHI_20,2022,Elise Gallois,"Facing northward, upslope",Only established cams in July/Aug. No snow!,NA,NA,NA,NA,NA,NA,,,,,,Arctica,NA ,NA ,NA ,NA ,NA ,NA ,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug 5,5,10,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertisicolor,NA,NA,NA,NA,18,5,,,,,,,,,,
