"","PhenocamID","Year","plant_first_vis","Snow_melt","All_snow_free","Snow_return_EoS","Half_snow_cover_EoS","Full_snow_cover_EoS","First_leaf_bud_burst","Half_leaves_green","All_leaves_green","First_leaf_yellow","Half_leaves_yellow","All_leaves_yellow","Species","Salix_bud_burst","Salix_first_yellow","Salix_last_yellow","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_leaf_bud_burst_DOY","Half_leaves_green_DOY","All_leaves_green_DOY","First_leaf_yellow_DOY","Half_leaves_yellow_DOY","All_leaves_yellow_DOY","Salix_first_bud_burst_DOY","Salix_first_yellow_DOY","Half_snow_cover_EoS_DOY","Full_snow_cover_EoS_DOY","Salix_last_yellow_DOY"
"1","QHI_1",2019,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-04,2019-07-16,NA,NA,"Salix arctica",NA,2019-07-25,NA,NA,NA,NA,NA,NA,185,197,NA,NA,NA,206,NA,NA,NA
"2","QHI_2",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-24,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA
"3","QHI_3",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-31,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,NA,NA,NA,NA
"4","QHI_6",2019,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-02,2019-07-28,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,183,209,NA,NA,NA,NA,NA,NA,NA
"5","QHI_14",2019,NA,NA,NA,NA,NA,NA,2019-06-14,NA,2019-07-03,2019-07-27,NA,NA,"Salix richardsonii",NA,NA,NA,NA,NA,NA,165,NA,184,208,NA,NA,NA,NA,NA,NA,NA
"6","QHI_1",2018,2018-06-03,2018-06-07,2018-06-11,NA,NA,NA,NA,2018-06-29,2018-07-12,NA,NA,NA,"Salix arctica",2018-06-24,NA,NA,158,162,NA,NA,180,193,NA,NA,NA,175,NA,NA,NA,NA
"7","QHI_2",2018,NA,NA,NA,NA,NA,NA,2018-06-16,2018-06-28,2018-07-08,2018-08-03,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,167,179,189,215,NA,NA,NA,NA,NA,NA,NA
"8","QHI_3",2018,2018-06-04,2018-06-12,2018-06-14,NA,NA,NA,2018-06-17,2018-07-02,2019-07-19,2018-08-01,NA,NA,"Salix pulchra",2018-06-25,NA,NA,163,165,NA,168,183,200,213,NA,NA,176,NA,NA,NA,NA
"9","QHI_14",2018,NA,2018-07-02,NA,2018-08-30,2018-10-07,NA,2018-06-24,2018-07-01,NA,NA,2018-08-24,2018-09-18,"Salix richardsonii",2018-06-26,NA,NA,183,NA,242,175,182,NA,NA,236,261,177,NA,280,NA,NA
"10","QHI_5",2018,NA,NA,NA,NA,NA,NA,2018-06-16,2018-07-02,2018-07-12,NA,NA,NA,"Salix arctica",NA,NA,NA,NA,NA,NA,167,183,193,NA,NA,NA,NA,NA,NA,NA,NA
"11","QHI_6",2018,2018-06-02,2018-06-12,2018-06-14,2018-09-02,2018-10-04,2018-10-11,2018-06-15,2018-07-18,2018-07-09,NA,2018-09-02,2018-09-22,"Salix pulchra",2018-06-24,2018-08-16,2018-09-11,163,165,245,166,199,190,NA,245,265,175,228,277,284,254
"12","QHI_1",2017,NA,2017-05-27,2017-05-30,NA,NA,NA,2017-06-13,2017-06-21,2017-07-05,2017-08-01,2017-08-20,NA,"Salix arctica",2017-06-17,2017-07-30,2017-09-04,147,150,NA,164,172,186,213,232,NA,168,211,NA,NA,247
"13","QHI_2",2017,NA,NA,NA,NA,NA,NA,2017-06-07,2017-06-22,NA,2017-08-01,NA,NA,"Salix arctica",2017-06-11,2017-08-09,NA,NA,NA,NA,158,173,NA,213,NA,NA,162,221,NA,NA,NA
"14","QHI_3",2017,2017-05-03,2017-05-16,2017-05-19,NA,NA,NA,NA,NA,NA,2017-07-21,2017-08-14,2017-09-11,"Salix pulchra",2017-06-18,2017-08-09,2017-09-03,136,139,NA,NA,NA,NA,202,226,254,169,221,NA,NA,246
"15","QHI_14",2017,NA,2017-06-04,2017-06-16,NA,NA,NA,2017-06-11,2017-06-25,2017-07-06,2017-08-03,2017-08-25,NA,"Salix richardsonii",NA,2017-08-05,NA,155,167,NA,162,176,187,215,237,NA,NA,217,NA,NA,NA
"16","QHI_5",2017,2017-05-04,2017-05-15,2017-05-28,NA,NA,NA,2017-06-06,2017-06-23,2017-07-05,2017-08-01,2017-08-24,NA,"Salix arctica",2017-06-16,2017-08-09,NA,135,148,NA,157,174,186,213,236,NA,167,221,NA,NA,NA
"17","QHI_6",2017,2017-05-04,2017-05-17,2017-05-19,NA,NA,NA,2017-06-07,2017-06-19,2017-07-05,2017-07-23,2017-08-24,NA,"Salix pulchra",2017-06-10,2017-07-26,2017-08-24,137,139,NA,158,170,186,204,236,NA,161,207,NA,NA,236
