Species,SLA_mm2_mg,Plant_height_veg_m,Plant_height_repro_m,Seed_mass_dry_mg,LDMC_g_g,Wood_density_mg_mm3,Leaf_area_mm2,Leaf_fresh_mass_g,Leaf_dry_mass_mg,Species_sex,Lat,Lon,Elevation_m,Site,Subsite_name,Treatment,date,DOY,Year_measured,Data_contributor,Data_coPIs,ValueKindName
Salix arctica,,0.023,0.051,,,,,,,f,61.10549,-138.6618,1693,Kluane,,none,07-Jul,188,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.03,0.049,,,,,,,f,61.10549,-138.6618,1693,Kluane,,none,07-Jul,188,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.04,0.058,,,,,,,f,61.10549,-138.6618,1693,Kluane,,none,07-Jul,188,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.019,0.035,,,,,,,f,61.10549,-138.6618,1693,Kluane,,none,07-Jul,188,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.026,0.055,,,,,,10,f,61.10549,-138.6618,1693,Kluane,,none,07-Jul,188,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.045,0.09,,,,,,25,f,61.10549,-138.6618,1693,Kluane,,none,08-Jul,189,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.029,0.061,,,,,,30,f,61.10549,-138.6618,1693,Kluane,,none,08-Jul,189,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.041,0.074,,,,,,25,f,61.10549,-138.6618,1693,Kluane,,none,08-Jul,189,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.058,0.113,,,,,,30,f,61.10549,-138.6618,1693,Kluane,,none,08-Jul,189,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,,0.064,0.055,,,,,,5,m,61.10549,-138.6618,1693,Kluane,,none,08-Jul,189,2014,Isla Myers-Smith,,Individual Mean
Salix arctica,13.93,,,,,,96,,7,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,14.67,,,,,,127,,9,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.8,,,,,,54,,5,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.85,,,,,,85,,6.5,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.3,,,,,,134,,11.5,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,13.05,,,,,,480,,31,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,14.22,,,,,,414,,32,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.97,,,,,,485,,31,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,13.64,,,,,,406,,29,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,14.05,,,,,,109,,9.5,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.18,,,,,,648,,51.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,11.54,,,,,,909,,73.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.7,,,,,,885,,72.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,10.12,,,,,,1215,,108.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,12.25,,,,,,804,,67.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,10.06,,,,,,2245,,205.5,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,10.21,,,,,,1511,,132,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
