"","Species","Latitude","Longitude","Elevation","Site","SampleDate","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear"
"1","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-07,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"2","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-07,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"3","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-07,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"4","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-07,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"5","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-07,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"6","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-08,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"7","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-08,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"8","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-08,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"9","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-08,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"10","Salix arctica",61.10549,-138.6618,1693,"Kluane",2014-07-08,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
"11","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2015-07-22,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"12","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2015-07-22,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"13","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2015-07-22,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"14","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2015-07-22,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"15","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2015-07-22,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"16","Salix arctica",69.57677,138.90984,29,"Qikiqtaruk",2015-07-25,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"17","Salix arctica",69.57677,138.90984,29,"Qikiqtaruk",2015-07-25,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"18","Salix arctica",69.57677,138.90984,29,"Qikiqtaruk",2015-07-25,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"19","Salix arctica",69.57677,138.90984,29,"Qikiqtaruk",2015-07-25,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"20","Salix arctica",69.57677,138.90984,29,"Qikiqtaruk",2015-07-25,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"21","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2015-07-25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"22","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2015-07-25,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"23","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2015-07-25,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
