,Latitude,Longitude,Elevation,Canopy_Height_cm,SampleYear,Site,Species,SampleDate
1,61.10549,-138.6618,1693,2.3,2014,Kluane,Salix arctica,07/07/2014
2,61.10549,-138.6618,1693,3,2014,Kluane,Salix arctica,07/07/2014
3,61.10549,-138.6618,1693,4,2014,Kluane,Salix arctica,07/07/2014
4,61.10549,-138.6618,1693,1.9,2014,Kluane,Salix arctica,07/07/2014
5,61.10549,-138.6618,1693,2.6,2014,Kluane,Salix arctica,07/07/2014
6,61.10549,-138.6618,1693,4.5,2014,Kluane,Salix arctica,08/07/2014
7,61.10549,-138.6618,1693,2.9,2014,Kluane,Salix arctica,08/07/2014
8,61.10549,-138.6618,1693,4.1,2014,Kluane,Salix arctica,08/07/2014
9,61.10549,-138.6618,1693,5.8,2014,Kluane,Salix arctica,08/07/2014
10,61.10549,-138.6618,1693,6.4,2014,Kluane,Salix arctica,08/07/2014
77,69.57645,-138.994435,49,8,2015,Qikiqtaruk,Salix arctica,22/07/2015
78,69.57645,-138.994435,49,9.8,2015,Qikiqtaruk,Salix arctica,22/07/2015
79,69.57645,-138.994435,49,6.1,2015,Qikiqtaruk,Salix arctica,22/07/2015
80,69.57645,-138.994435,49,4.4,2015,Qikiqtaruk,Salix arctica,22/07/2015
81,69.57645,-138.994435,49,16.2,2015,Qikiqtaruk,Salix arctica,22/07/2015
82,69.57677,138.90984,29,8.1,2015,Qikiqtaruk,Salix arctica,25/07/2015
83,69.57677,138.90984,29,16.4,2015,Qikiqtaruk,Salix arctica,25/07/2015
84,69.57677,138.90984,29,9.2,2015,Qikiqtaruk,Salix arctica,25/07/2015
85,69.57677,138.90984,29,11.6,2015,Qikiqtaruk,Salix arctica,25/07/2015
86,69.57677,138.90984,29,18.8,2015,Qikiqtaruk,Salix arctica,25/07/2015
87,69.56985,138.89821,-4,14,2015,Qikiqtaruk,Salix arctica,25/07/2015
88,69.56985,138.89821,-4,18.3,2015,Qikiqtaruk,Salix arctica,25/07/2015
89,69.56985,138.89821,-4,15.2,2015,Qikiqtaruk,Salix arctica,25/07/2015
90,69.56985,138.89821,-4,17.6,2015,Qikiqtaruk,Salix arctica,25/07/2015
91,69.56985,138.89821,-4,19.8,2015,Qikiqtaruk,Salix arctica,25/07/2015
92,69.57632,138.86952,59,6,2015,Qikiqtaruk,Salix arctica,28/07/2015
93,69.57632,138.86952,59,10.3,2015,Qikiqtaruk,Salix arctica,28/07/2015
94,69.57632,138.86952,59,7.4,2015,Qikiqtaruk,Salix arctica,28/07/2015
95,69.57632,138.86952,59,2.5,2015,Qikiqtaruk,Salix arctica,28/07/2015
96,69.57632,138.86952,59,5.8,2015,Qikiqtaruk,Salix arctica,28/07/2015
117,69.57645,-138.994435,49,5.6,2016,Qikiqtaruk,Salix arctica,24/07/2016
118,69.57645,-138.994435,49,3.2,2016,Qikiqtaruk,Salix arctica,24/07/2016
119,69.57645,-138.994435,49,7.2,2016,Qikiqtaruk,Salix arctica,24/07/2016
120,69.57645,-138.994435,49,5,2016,Qikiqtaruk,Salix arctica,24/07/2016
121,69.57645,-138.994435,49,4.6,2016,Qikiqtaruk,Salix arctica,24/07/2016
122,69.56985,138.89821,-4,11.6,2016,Qikiqtaruk,Salix arctica,26/07/2016
123,69.56985,138.89821,-4,14.1,2016,Qikiqtaruk,Salix arctica,26/07/2016
124,69.56985,138.89821,-4,14.3,2016,Qikiqtaruk,Salix arctica,26/07/2016
125,69.56985,138.89821,-4,18,2016,Qikiqtaruk,Salix arctica,26/07/2016
126,69.56985,138.89821,-4,13.9,2016,Qikiqtaruk,Salix arctica,26/07/2016
127,61.21649,-138.28606,1631,8.5,2016,Kluane,Salix arctica,28/06/2016
128,61.21649,-138.28606,1631,6.7,2016,Kluane,Salix arctica,28/06/2016
129,61.21649,-138.28606,1631,2.8,2016,Kluane,Salix arctica,28/06/2016
130,61.21649,-138.28606,1631,5.9,2016,Kluane,Salix arctica,28/06/2016
131,61.21649,-138.28606,1631,4.1,2016,Kluane,Salix arctica,28/06/2016
132,61.219,-138.28477,1577,6.7,2016,Kluane,Salix arctica,29/06/2016
133,61.219,-138.28477,1577,6.5,2016,Kluane,Salix arctica,29/06/2016
134,61.219,-138.28477,1577,12.8,2016,Kluane,Salix arctica,29/06/2016
135,61.219,-138.28477,1577,4.9,2016,Kluane,Salix arctica,29/06/2016
136,61.219,-138.28477,1577,5.7,2016,Kluane,Salix arctica,29/06/2016
137,60.95528,-138.41401,1875,3.8,2016,Kluane,Salix arctica,08/07/2016
138,60.95528,-138.41401,1875,7,2016,Kluane,Salix arctica,08/07/2016
139,60.95528,-138.41401,1875,5,2016,Kluane,Salix arctica,08/07/2016
140,60.95528,-138.41401,1875,5.4,2016,Kluane,Salix arctica,08/07/2016
141,60.95528,-138.41401,1875,6,2016,Kluane,Salix arctica,08/07/2016
142,60.96206,-138.41288,1716,4.8,2017,Kluane,Salix arctica,07/08/2017
143,60.96206,-138.41288,1716,5,2017,Kluane,Salix arctica,07/08/2017
144,60.96206,-138.41288,1716,3,2017,Kluane,Salix arctica,07/08/2017
145,60.96206,-138.41288,1716,5,2017,Kluane,Salix arctica,07/08/2017
146,60.96206,-138.41288,1716,5,2017,Kluane,Salix arctica,07/08/2017
147,61.21222,-138.27775,1649,9.8,2017,Kluane,Salix arctica,13/08/2017
148,61.21222,-138.27775,1649,2.8,2017,Kluane,Salix arctica,13/08/2017
149,61.21222,-138.27775,1649,3.5,2017,Kluane,Salix arctica,13/08/2017
150,61.21222,-138.27775,1649,6.6,2017,Kluane,Salix arctica,13/08/2017
151,61.21222,-138.27775,1649,5.5,2017,Kluane,Salix arctica,13/08/2017
157,61.10549,-138.6618,1693,54.8,2014,Kluane,Salix pulchra,07/07/2014
158,61.10549,-138.6618,1693,37.4,2014,Kluane,Salix pulchra,07/07/2014
159,61.10549,-138.6618,1693,53,2014,Kluane,Salix pulchra,07/07/2014
160,61.10549,-138.6618,1693,66.3,2014,Kluane,Salix pulchra,07/07/2014
161,61.10549,-138.6618,1693,32.5,2014,Kluane,Salix pulchra,07/07/2014
162,61.10549,-138.6618,1693,50.5,2014,Kluane,Salix pulchra,07/07/2014
163,61.10549,-138.6618,1693,37.3,2014,Kluane,Salix pulchra,07/07/2014
164,61.10549,-138.6618,1693,21.1,2014,Kluane,Salix pulchra,07/07/2014
165,61.10549,-138.6618,1693,44.5,2014,Kluane,Salix pulchra,07/07/2014
166,61.10549,-138.6618,1693,67.6,2014,Kluane,Salix pulchra,07/07/2014
227,69.57751,138.91127,67,21.1,2015,Qikiqtaruk,Salix pulchra,26/07/2015
228,69.57751,138.91127,67,21.5,2015,Qikiqtaruk,Salix pulchra,26/07/2015
229,69.57751,138.91127,67,30.1,2015,Qikiqtaruk,Salix pulchra,26/07/2015
230,69.57751,138.91127,67,24.5,2015,Qikiqtaruk,Salix pulchra,26/07/2015
231,69.57751,138.91127,67,21.1,2015,Qikiqtaruk,Salix pulchra,26/07/2015
232,69.57794,138.94218,40,41.3,2015,Qikiqtaruk,Salix pulchra,26/07/2015
233,69.57794,138.94218,40,32.1,2015,Qikiqtaruk,Salix pulchra,26/07/2015
234,69.57794,138.94218,40,25.3,2015,Qikiqtaruk,Salix pulchra,26/07/2015
235,69.57794,138.94218,40,50.6,2015,Qikiqtaruk,Salix pulchra,26/07/2015
236,69.57794,138.94218,40,47.8,2015,Qikiqtaruk,Salix pulchra,26/07/2015
237,69.57891,138.94557,56,21.3,2015,Qikiqtaruk,Salix pulchra,26/07/2015
238,69.57891,138.94557,56,23.3,2015,Qikiqtaruk,Salix pulchra,26/07/2015
239,69.57891,138.94557,56,21.4,2015,Qikiqtaruk,Salix pulchra,26/07/2015
240,69.57891,138.94557,56,12,2015,Qikiqtaruk,Salix pulchra,26/07/2015
241,69.57891,138.94557,56,33.6,2015,Qikiqtaruk,Salix pulchra,26/07/2015
242,69.57536,138.86479,63,27.5,2015,Qikiqtaruk,Salix pulchra,04/08/2015
243,69.57536,138.86479,63,22.1,2015,Qikiqtaruk,Salix pulchra,04/08/2015
244,69.57536,138.86479,63,29.4,2015,Qikiqtaruk,Salix pulchra,04/08/2015
245,69.57536,138.86479,63,20.1,2015,Qikiqtaruk,Salix pulchra,04/08/2015
246,69.57536,138.86479,63,28.5,2015,Qikiqtaruk,Salix pulchra,04/08/2015
267,69.57751,138.91127,67,20.1,2016,Qikiqtaruk,Salix pulchra,26/07/2016
268,69.57751,138.91127,67,24.8,2016,Qikiqtaruk,Salix pulchra,26/07/2016
269,69.57751,138.91127,67,23.5,2016,Qikiqtaruk,Salix pulchra,26/07/2016
270,69.57751,138.91127,67,29,2016,Qikiqtaruk,Salix pulchra,26/07/2016
271,69.57751,138.91127,67,31.5,2016,Qikiqtaruk,Salix pulchra,26/07/2016
272,69.57794,138.94218,40,44,2016,Qikiqtaruk,Salix pulchra,24/07/2016
273,69.57794,138.94218,40,20.5,2016,Qikiqtaruk,Salix pulchra,24/07/2016
274,69.57794,138.94218,40,20,2016,Qikiqtaruk,Salix pulchra,24/07/2016
275,69.57794,138.94218,40,36.4,2016,Qikiqtaruk,Salix pulchra,24/07/2016
276,69.57794,138.94218,40,32.9,2016,Qikiqtaruk,Salix pulchra,24/07/2016
277,61.21649,-138.28606,1631,32.2,2016,Kluane,Salix pulchra,28/06/2016
278,61.21649,-138.28606,1631,27,2016,Kluane,Salix pulchra,28/06/2016
279,61.21649,-138.28606,1631,28.8,2016,Kluane,Salix pulchra,28/06/2016
280,61.21649,-138.28606,1631,16.2,2016,Kluane,Salix pulchra,28/06/2016
281,61.21649,-138.28606,1631,61.3,2016,Kluane,Salix pulchra,28/06/2016
282,61.219,-138.28477,1577,70.1,2016,Kluane,Salix pulchra,29/06/2016
283,61.219,-138.28477,1577,26.6,2016,Kluane,Salix pulchra,29/06/2016
284,61.219,-138.28477,1577,102.8,2016,Kluane,Salix pulchra,29/06/2016
285,61.219,-138.28477,1577,282,2016,Kluane,Salix pulchra,29/06/2016
286,61.219,-138.28477,1577,40.8,2016,Kluane,Salix pulchra,29/06/2016
287,60.97682,138.41019,1472,107,2017,Kluane,Salix pulchra,06/08/2017
288,60.97682,138.41019,1472,146,2017,Kluane,Salix pulchra,06/08/2017
289,60.97682,138.41019,1472,106,2017,Kluane,Salix pulchra,06/08/2017
290,60.97682,138.41019,1472,183,2017,Kluane,Salix pulchra,06/08/2017
291,60.97682,138.41019,1472,126,2017,Kluane,Salix pulchra,06/08/2017
292,60.96206,-138.41288,1716,84,2017,Kluane,Salix pulchra,07/08/2017
293,60.96206,-138.41288,1716,62,2017,Kluane,Salix pulchra,07/08/2017
294,60.96206,-138.41288,1716,49,2017,Kluane,Salix pulchra,07/08/2017
295,60.96206,-138.41288,1716,84,2017,Kluane,Salix pulchra,07/08/2017
296,60.96206,-138.41288,1716,68,2017,Kluane,Salix pulchra,07/08/2017
297,61.21222,-138.27775,1649,81,2017,Kluane,Salix pulchra,13/08/2017
298,61.21222,-138.27775,1649,28,2017,Kluane,Salix pulchra,13/08/2017
299,61.21222,-138.27775,1649,40,2017,Kluane,Salix pulchra,13/08/2017
300,61.21222,-138.27775,1649,89,2017,Kluane,Salix pulchra,13/08/2017
301,61.21222,-138.27775,1649,33,2017,Kluane,Salix pulchra,13/08/2017
302,61.10549,-138.6618,1693,73.1,2014,Kluane,Salix richardsonii,07/07/2014
303,61.10549,-138.6618,1693,80.3,2014,Kluane,Salix richardsonii,07/07/2014
304,61.10549,-138.6618,1693,61,2014,Kluane,Salix richardsonii,07/07/2014
305,61.10549,-138.6618,1693,56.6,2014,Kluane,Salix richardsonii,07/07/2014
306,61.10549,-138.6618,1693,57.5,2014,Kluane,Salix richardsonii,07/07/2014
307,61.1726,-138.3824,980,69,2014,Kluane,Salix richardsonii,08/07/2014
308,61.1726,-138.3824,980,69,2014,Kluane,Salix richardsonii,08/07/2014
309,61.1726,-138.3824,980,72,2014,Kluane,Salix richardsonii,08/07/2014
310,61.1726,-138.3824,980,61,2014,Kluane,Salix richardsonii,08/07/2014
311,61.1726,-138.3824,980,74,2014,Kluane,Salix richardsonii,08/07/2014
370,69.57645,-138.994435,49,32.1,2015,Qikiqtaruk,Salix richardsonii,22/07/2015
371,69.57645,-138.994435,49,37.4,2015,Qikiqtaruk,Salix richardsonii,22/07/2015
372,69.57677,138.90984,29,35,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
373,69.57677,138.90984,29,49.5,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
374,69.57677,138.90984,29,31,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
375,69.56985,138.89821,-4,41.2,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
376,69.56985,138.89821,-4,42.3,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
377,69.56985,138.89821,-4,43.1,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
378,69.56985,138.89821,-4,37.2,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
379,69.56985,138.89821,-4,43,2015,Qikiqtaruk,Salix richardsonii,25/07/2015
380,69.57794,138.94218,40,49.5,2015,Qikiqtaruk,Salix richardsonii,26/07/2015
381,69.57794,138.94218,40,54.4,2015,Qikiqtaruk,Salix richardsonii,26/07/2015
382,69.57794,138.94218,40,35.7,2015,Qikiqtaruk,Salix richardsonii,26/07/2015
383,69.57794,138.94218,40,26.3,2015,Qikiqtaruk,Salix richardsonii,26/07/2015
384,69.57794,138.94218,40,41.4,2015,Qikiqtaruk,Salix richardsonii,26/07/2015
385,69.58015,138.92355,74,25.3,2015,Qikiqtaruk,Salix richardsonii,01/08/2015
386,69.58015,138.92355,74,42.8,2015,Qikiqtaruk,Salix richardsonii,01/08/2015
387,69.58015,138.92355,74,31.2,2015,Qikiqtaruk,Salix richardsonii,01/08/2015
388,69.58015,138.92355,74,41,2015,Qikiqtaruk,Salix richardsonii,01/08/2015
389,69.58015,138.92355,74,31,2015,Qikiqtaruk,Salix richardsonii,01/08/2015
410,69.57645,-138.994435,49,16.8,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
411,69.57645,-138.994435,49,20.5,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
412,69.57645,-138.994435,49,15.5,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
413,69.57645,-138.994435,49,24,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
414,69.57645,-138.994435,49,18.5,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
415,69.57794,138.94218,40,44.5,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
416,69.57794,138.94218,40,51.2,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
417,69.57794,138.94218,40,38.2,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
418,69.57794,138.94218,40,45.4,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
419,69.57794,138.94218,40,54.5,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
420,69.58015,138.92355,74,29.6,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
421,69.58015,138.92355,74,20.4,2016,Qikiqtaruk,Salix richardsonii,24/07/2016
