"","Species","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","date"
"1","Salix pulchra",60.975735,-138.40954,1491.53833,193,"2021","Kluane",NA
"2","Salic pulchra",60.975735,-138.40954,1491.53833,144,"2021","Kluane",NA
"3","Salix richardsonii ",60.975506,-138.41125,1499.96008,98,"2021","Kluane",NA
"4","Salix pulchra",60.975506,-138.41125,1499.96008,42,"2021","Kluane",NA
"5","Salix pulchra",60.975506,-138.41125,1499.96008,NA,"2021","Kluane",NA
"6","Salix richardsonii ",60.975678,-138.41045,1494.2981,119,"2021","Kluane",NA
"7","Salix richardsonii",60.975678,-138.41045,1494.2981,95,"2021","Kluane",NA
"8","Salix pulchra",60.971991,-138.41205,1544.61121,136,"2021","Kluane",NA
"9","Salix richardsonii",60.971991,-138.41205,1544.61121,159,"2021","Kluane",NA
"10","Salix pulchra",60.971827,-138.41133,1548.37317,183,"2021","Kluane",NA
"11","Salix richardsonii",60.971827,-138.41133,1548.37317,156,"2021","Kluane",NA
"12","Salix pulchra",60.971533,-138.41106,1548.13977,74,"2021","Kluane",NA
"13","Salix richardsonii",60.971533,-138.41106,1548.13977,103,"2021","Kluane",NA
"14","Salix richardsonii",60.967378,-138.41262,1613.66736,110,"2021","Kluane",NA
"15","Salix pulchra ",60.967378,-138.41262,1613.66736,92,"2021","Kluane",NA
"16","Salix richardsonii",60.967791,-138.41507,1617.96118,130,"2021","Kluane",NA
"17","Salix richardsonii",60.967791,-138.41507,1617.96118,104,"2021","Kluane",NA
"18","Salix pulchra",60.967791,-138.41507,1617.96118,119,"2021","Kluane",NA
"19","Salix richardsonii",60.968283,-138.41532,1610.35791,93,"2021","Kluane",NA
"20","Salix richardsonii",60.968283,-138.41532,1610.35791,102,"2021","Kluane",NA
"21","Salix arctica",60.95577797,-138.417823,1857.953247,8.5,"2021","Kluane",NA
"22","Salix richardsonii",60.95577797,-138.417823,1857.953247,18.5,"2021","Kluane",NA
"23","Salix arctica",60.95746399,-138.422919,1828.307861,6.7,"2021","Kluane",NA
"24","Salix richardsonii",60.95746399,-138.422919,1828.307861,58,"2021","Kluane",NA
"25","Salix arctica",60.96269396,-138.418073,1719.637207,6.8,"2021","Kluane",NA
"26","Salix richardsonii",60.96269396,-138.418073,1719.637207,69,"2021","Kluane",NA
