"","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","Species","...8","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","biovolume","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard"
"1",60.9702,138.41289,1580,195,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP01",285,168,47,23,44,74,54,57,122,38,61.6666666666667,226.5,9336600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",60.9701,138.4128,1581,152,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP02",118,98,132,111,124,77,70,55,43,122.333333333333,67.3333333333333,108,1757728,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",60.97008,138.4127,1582,155,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP03",125,220,66,104,160,50,48,46,41,110,48,172.5,4262500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",60.97015,138.41316,1580,174,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP04",179,130,86,106,85,58,62,45,46,92.3333333333333,55,154.5,4048980,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",60.96988,138.41269,1583,176,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP05",286,255,102,76,107,58,53,65,48,95,58.6666666666667,270.5,12835680,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",60.97185,138.41124,1552,177,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP06",153,190,95,70,77,63,47,63,52,80.6666666666667,57.6666666666667,171.5,5145390,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",60.97206,138.41098,1549,83,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP07",99,123,33,105,104,55,62,55,20,80.6666666666667,57.3333333333333,111,1010691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",60.97199,138.41196,1547,123,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP08",167,175,50,28,57,51,40,43,34,45,44.6666666666667,171,3594675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",60.972,138.41205,1548,157,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP09",203,145,55,124,141,68,62,67,56,106.666666666667,65.6666666666667,174,4621295,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",60.97153,138.41092,1553,66,2022,"Kluane","Salix pulchra",NA,2022-07-16,"KPSP10",96,107,34,35,19,49,60,48,16,29.3333333333333,52.3333333333333,101.5,677952,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",60.97015,138.41283,1581,143,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR01",154,109,46,54,86,44,55,48,52,62,49,131.5,2400398,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",60.9701,138.41283,1581,125.5,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR02",110,164,51,82,75,38,61,49,40,69.3333333333333,49.3333333333333,137,2264020,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",60.97012,138.41273,1581,145,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR03",200,154,75,60,46,53,45,53,65,60.3333333333333,50.3333333333333,177,4466000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",60.97005,138.41264,1582,140,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR04",139,144,108,160,155,43,41,38,57,141,40.6666666666667,141.5,2802240,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",60.97005,138.41322,1582,155.2,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR05",171,184,80,137,170,55,50,48,46,129,51,177.5,4883212.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",60.97198,138.41141,1550,132,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR06",236,242,120,138,160,51,56,38,67,139.333333333333,48.3333333333333,239,7538784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",60.97199,138.41205,1547,159,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR07",163,173,141,124,75,43,53,55,46,113.333333333333,50.3333333333333,168,4483641,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",60.97193,138.412,1550,171,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR08",245,221,80,45,100,45,48,58,46,75,50.3333333333333,233,9258795,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",60.97213,138.41197,1546,84.5,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR09",81,73,37,47,31,42,44,37,24,38.3333333333333,41,77,499648.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",60.97151,138.411,1555,113,2022,"Kluane","Salix richardsonii",NA,2022-07-16,"KPSR10",210,147,94,136,95,52,56,53,33,108.333333333333,53.6666666666667,178.5,3488310,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,19,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-19,"HESP01",29.5,23,9,14,8,32,27,28,19,10.3333333333333,29,26.25,12891.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,14.5,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-19,"HESP02",16,11.5,21,11,16,36,31,30,18,16,32.3333333333333,13.75,2668,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,24,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-19,"HESP03",36,18,24,14,23,35,41,32,NA,20.3333333333333,36,27,15552,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,16.4,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-20,"HESP04",21,12.6,26,19,43,26,24,17,7,29.3333333333333,22.3333333333333,16.8,4339.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,16.2,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-20,"HESP05",27.5,9.4,54,31,27,34,25,29,8,37.3333333333333,29.3333333333333,18.45,4187.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,16.1,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-20,"HESP06",18.5,5.2,13,34,20,34,31,18,5,22.3333333333333,27.6666666666667,11.85,1548.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,26.5,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-19,"HESR01",93.7,78.1,88,34,38,45,40,36,13,53.3333333333333,40.3333333333333,85.9,193926.205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,23.2,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-19,"HESR02",88.2,93.4,27,32,34,34,33,34,12,31,33.6666666666667,90.8,191118.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,23.8,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-19,"HESR03",58.3,60.9,84,59,86,31,39,39,8,76.3333333333333,36.3333333333333,59.6,84501.186,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,31.3,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR04",130.3,92.1,35,28,41,37,38,22,34,34.6666666666667,32.3333333333333,111.2,375619.719,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,27.2,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR05",63,61.5,32,31,24,34,44,29,26,29,35.6666666666667,62.25,105386.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,61,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR06",157,105,66,78,72,44,41,38,35,72,41,131,1005585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,36.7,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR07",284,314,39,28,37,51,36,41,12,34.6666666666667,42.6666666666667,299,3272759.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,19.4,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR08",44,15,44,18,7,41,41,42,10,23,41.3333333333333,29.5,12804,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,23.2,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR09",207,114,22,23,32,29,34,36,11,25.6666666666667,33,160.5,547473.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,24.5,2022,"Qikiqtaruk","Salix richardsonii",NA,2022-07-21,"HESR10",84,79,16,22,15,30,25,30,15,17.6666666666667,28.3333333333333,81.5,162582,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,4.5,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-19,"HESA01",3.9,2,14,21,11,33,36,44,NA,15.3333333333333,37.6666666666667,2.95,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,6.4,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-19,"HESA02",5,3.4,38,43,31,47,52,50,NA,37.3333333333333,49.6666666666667,4.2,108.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,4.2,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-19,"HESA03",1.5,1.4,12,13,15,38,43,40,NA,13.3333333333333,40.3333333333333,1.45,8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,5.6,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA04",8,4.1,24,22,11,32,36,26,5,19,31.3333333333333,6.05,183.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,4,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA05",4.4,2.7,10,7,18,29,14,25,NA,11.6666666666667,22.6666666666667,3.55,47.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,6.4,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA06",3.1,2.6,14,16,9,32,29,18,4,13,26.3333333333333,2.85,51.584,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,7.4,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA07",6.5,4.9,10,14,9,41,32,17,6,11,30,5.7,235.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,10.2,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA08",33,6.4,27,19,22,42,27,57,33,22.6666666666667,42,19.7,2154.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,9.1,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA09",6.9,4.1,14,5,12,49,18,22,NA,10.3333333333333,29.6666666666667,5.5,257.439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,6.5,2022,"Qikiqtaruk","Salix arctica",NA,2022-07-20,"HESA10",15,7.2,18,12,15,32,51,18,NA,15,33.6666666666667,11.1,702,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,24.5,2022,"Qikiqtaruk","Salix pulchra",NA,2022-07-25,"HESP07",29,23.5,47,22,18,34,38,41,7,29,37.6666666666667,26.25,16696.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
