"","...1","...2","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","...9","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","max_mean_width_cm","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard","Species"
"1",82,69,NA,NA,NA,29.5,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP1",152,79,31,27,26,46,47,41,NA,28,44.6666666666667,115.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,5,23.2,6.1,"H17SP1","Salix pulchra"
"2",90,77,NA,NA,NA,29,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP10",225,107,18,30,30,38,35,33,NA,26,35.3333333333333,166,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,10,27,9.4,"H17SP10","Salix pulchra"
"3",91,78,NA,NA,NA,24,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP11",197,144,26,19,33,44,45,38,NA,26,42.3333333333333,170.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,36.8,12.2,"H17SP11","Salix pulchra"
"4",92,79,NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP12",118,68,17,17,18,38,26,27,NA,17.3333333333333,30.3333333333333,93,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,29.8,6.7,"H17SP12","Salix pulchra"
"5",93,80,NA,NA,NA,25,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP13",138,108,30,21,19,29,32,27,NA,23.3333333333333,29.3333333333333,123,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,37.2,8.3,"H17SP13","Salix pulchra"
"6",94,81,NA,NA,NA,30,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP14",289,185,27,27,25,35,39,34,NA,26.3333333333333,36,237,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,33.3,8.1,"H17SP14","Salix pulchra"
"7",95,82,NA,NA,NA,29,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP15",175,175,25,33,36,42,36,40,NA,31.3333333333333,39.3333333333333,175,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,7,26.8,8,"H17SP15","Salix pulchra"
"8",96,83,NA,NA,NA,28,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP16",52,93,40,22,37,37,37,33,NA,33,35.6666666666667,72.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,35.9,9,"H17SP16","Salix pulchra"
"9",97,84,NA,NA,NA,28,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP17",112,88,53,64,63,37,38,41,NA,60,38.6666666666667,100,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,40.2,9.6,"H17SP17","Salix pulchra"
"10",98,85,NA,NA,NA,23,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP18",162,128,109,53,32,38,36,34,NA,64.6666666666667,36,145,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,6,28.5,7.6,"H17SP18","Salix pulchra"
"11",99,86,NA,NA,NA,18,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP19",215,143,32,41,33,58,47,44,NA,35.3333333333333,49.6666666666667,179,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,46.5,8.8,"H17SP19","Salix pulchra"
"12",83,70,NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP2",131,164,38,19,16,38,44,38,NA,24.3333333333333,40,147.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,5,26.7,6.3,"H17SP2","Salix pulchra"
"13",100,87,NA,NA,NA,29,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP20",195,122,22,17,20,37,29,38,NA,19.6666666666667,34.6666666666667,158.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,30,9,"H17SP20","Salix pulchra"
"14",84,71,NA,NA,NA,28,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP3",213,126,49,40,29,43,46,41,NA,39.3333333333333,43.3333333333333,169.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,25.9,11,"H17SP3","Salix pulchra"
"15",85,72,NA,NA,NA,30.4,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP4",204,118,50,38,35,46,51,52,NA,41,49.6666666666667,161,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,29.8,10,"H17SP4","Salix pulchra"
"16",86,73,NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP6",283,112,26,26,27,48,42,46,NA,26.3333333333333,45.3333333333333,197.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,40.7,6.8,"H17SP6","Salix pulchra"
"17",87,74,NA,NA,NA,22,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP7",164,77,23,35,24,35,36,38,NA,27.3333333333333,36.3333333333333,120.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,6,28.5,7.4,"H17SP7","Salix pulchra"
"18",88,75,NA,NA,NA,36,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP8",262,190,35,38,29,45,40,36,NA,34,40.3333333333333,226,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,41.9,11.9,"H17SP8","Salix pulchra"
"19",89,76,NA,NA,NA,29,2017,"Qikiqtaruk",NA,2017-08-13,"H17SP9",184,143,57,31,56,51,54,53,NA,48,52.6666666666667,163.5,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,28.9,10.8,"H17SP9","Salix pulchra"
"20",101,88,NA,NA,NA,38,2017,"Qikiqtaruk",NA,2017-08-13,"H17SR1",245,169,24,30,23,41,44,36,NA,25.6666666666667,40.3333333333333,207,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,18,35.5,11.5,"H17SR1","Salix richardsonii"
"21",110,97,NA,NA,NA,42,2017,"Qikiqtaruk",NA,2017-08-13,"H17SR10",186,154,22,17,36,43,39,40,NA,25,40.6666666666667,170,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,13,39.2,14,"H17SR10","Salix richardsonii"
"22",112,99,NA,NA,NA,54,2017,"Qikiqtaruk",NA,2017-08-13,"H17SR12",208,176,20,17,35,41,43,40,NA,24,41.3333333333333,192,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,25,29.3,11.5,"H17SR12","Salix richardsonii"
