"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"1","KP17SP1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,84,113,123,33,59,62,61,51,97,86,37.8,9.9,"Kluane",2017,78,60.6666666666667,118,"KP17SP1"
"2","KP17SP2","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,62,93,84,25,50,48,60,72,41,30,25.4,11.24,"Kluane",2017,47.6666666666667,52.6666666666667,88.5,"KP17SP2"
"3","KP17SP3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,49,55,42,12,53,59,55,59,59,45,38.9,10.15,"Kluane",2017,54.3333333333333,55.6666666666667,48.5,"KP17SP3"
"4","KP17SP4","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,54,184,202,15,56,61,55,48,22,45,42.7,15.18,"Kluane",2017,38.3333333333333,57.3333333333333,193,"KP17SP4"
"5","KP17SP5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,68,115,84,20,56,56,56,90,58,102,32.7,10.6,"Kluane",2017,83.3333333333333,56,99.5,"KP17SP5"
"6","KP17SR1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,108,233,182,55,61,55,55,68,52,66,36.3,22.49,"Kluane",2017,62,57,207.5,"KP17SR1"
"7","KP17SR2","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,60,94,77,18,41,45,46,31,60,53,38.6,12.2,"Kluane",2017,48,44,85.5,"KP17SR2"
"8","KP17SR3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,44,113,115,21,52,44,44,51,62,89,34.1,13.24,"Kluane",2017,67.3333333333333,46.6666666666667,114,"KP17SR3"
"9","KP17SR4","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,38,72,65,21,46,48,47,99,63,66,33.7,14.83,"Kluane",2017,76,47,68.5,"KP17SR4"
"10","KP17SR5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,106,182,154,45,45,47,51,57,71,82,39.7,12.87,"Kluane",2017,70,47.6666666666667,168,"KP17SR5"
"11","KP17SA1","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4.8,16,16,4,NA,NA,NA,NA,NA,NA,19,7.67,"Kluane",2017,NA,NA,16,"KP17SA1"
"12","KP17SA2","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,35,41,3,NA,NA,NA,NA,NA,NA,17.6,6.85,"Kluane",2017,NA,NA,38,"KP17SA2"
"13","KP17SA3","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,3,28,19,10,NA,NA,NA,NA,NA,NA,12.1,7.66,"Kluane",2017,NA,NA,23.5,"KP17SA3"
"14","KP17SA4","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,57,42,11,NA,NA,NA,NA,NA,NA,14.9,8.47,"Kluane",2017,NA,NA,49.5,"KP17SA4"
