"","Lat","Lon","Elevation_m","Site","date","Canopy_Height_cm","...8","SampleID","Latitude","Longitude","Elevation","SampleDate","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear","SampleID_standard","...1","Year_measured","Species"
"1",NA,NA,NA,"Kluane",NA,195,177,"KPSP01",60.9702,138.41289,1580,2022-07-16,285,168,47,23,44,74,54,57,122,38,61.6666666666667,226.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP01",NA,NA,"Salix pulchra"
"2",NA,NA,NA,"Kluane",NA,152,178,"KPSP02",60.9701,138.4128,1581,2022-07-16,118,98,132,111,124,77,70,55,43,122.333333333333,67.3333333333333,108,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP02",NA,NA,"Salix pulchra"
"3",NA,NA,NA,"Kluane",NA,155,179,"KPSP03",60.97008,138.4127,1582,2022-07-16,125,220,66,104,160,50,48,46,41,110,48,172.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP03",NA,NA,"Salix pulchra"
"4",NA,NA,NA,"Kluane",NA,174,180,"KPSP04",60.97015,138.41316,1580,2022-07-16,179,130,86,106,85,58,62,45,46,92.3333333333333,55,154.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP04",NA,NA,"Salix pulchra"
"5",NA,NA,NA,"Kluane",NA,176,181,"KPSP05",60.96988,138.41269,1583,2022-07-16,286,255,102,76,107,58,53,65,48,95,58.6666666666667,270.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP05",NA,NA,"Salix pulchra"
"6",NA,NA,NA,"Kluane",NA,177,182,"KPSP06",60.97185,138.41124,1552,2022-07-16,153,190,95,70,77,63,47,63,52,80.6666666666667,57.6666666666667,171.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP06",NA,NA,"Salix pulchra"
"7",NA,NA,NA,"Kluane",NA,83,183,"KPSP07",60.97206,138.41098,1549,2022-07-16,99,123,33,105,104,55,62,55,20,80.6666666666667,57.3333333333333,111,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP07",NA,NA,"Salix pulchra"
"8",NA,NA,NA,"Kluane",NA,123,184,"KPSP08",60.97199,138.41196,1547,2022-07-16,167,175,50,28,57,51,40,43,34,45,44.6666666666667,171,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP08",NA,NA,"Salix pulchra"
"9",NA,NA,NA,"Kluane",NA,157,185,"KPSP09",60.972,138.41205,1548,2022-07-16,203,145,55,124,141,68,62,67,56,106.666666666667,65.6666666666667,174,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP09",NA,NA,"Salix pulchra"
"10",NA,NA,NA,"Kluane",NA,66,186,"KPSP10",60.97153,138.41092,1553,2022-07-16,96,107,34,35,19,49,60,48,16,29.3333333333333,52.3333333333333,101.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSP10",NA,NA,"Salix pulchra"
"11",NA,NA,NA,"Kluane",NA,143,187,"KPSR01",60.97015,138.41283,1581,2022-07-16,154,109,46,54,86,44,55,48,52,62,49,131.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR01",NA,NA,"Salix richardsonii"
"12",NA,NA,NA,"Kluane",NA,125.5,188,"KPSR02",60.9701,138.41283,1581,2022-07-16,110,164,51,82,75,38,61,49,40,69.3333333333333,49.3333333333333,137,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR02",NA,NA,"Salix richardsonii"
"13",NA,NA,NA,"Kluane",NA,145,189,"KPSR03",60.97012,138.41273,1581,2022-07-16,200,154,75,60,46,53,45,53,65,60.3333333333333,50.3333333333333,177,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR03",NA,NA,"Salix richardsonii"
"14",NA,NA,NA,"Kluane",NA,140,190,"KPSR04",60.97005,138.41264,1582,2022-07-16,139,144,108,160,155,43,41,38,57,141,40.6666666666667,141.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR04",NA,NA,"Salix richardsonii"
"15",NA,NA,NA,"Kluane",NA,155.2,191,"KPSR05",60.97005,138.41322,1582,2022-07-16,171,184,80,137,170,55,50,48,46,129,51,177.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR05",NA,NA,"Salix richardsonii"
"16",NA,NA,NA,"Kluane",NA,132,192,"KPSR06",60.97198,138.41141,1550,2022-07-16,236,242,120,138,160,51,56,38,67,139.333333333333,48.3333333333333,239,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR06",NA,NA,"Salix richardsonii"
"17",NA,NA,NA,"Kluane",NA,159,193,"KPSR07",60.97199,138.41205,1547,2022-07-16,163,173,141,124,75,43,53,55,46,113.333333333333,50.3333333333333,168,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR07",NA,NA,"Salix richardsonii"
"18",NA,NA,NA,"Kluane",NA,171,194,"KPSR08",60.97193,138.412,1550,2022-07-16,245,221,80,45,100,45,48,58,46,75,50.3333333333333,233,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR08",NA,NA,"Salix richardsonii"
"19",NA,NA,NA,"Kluane",NA,84.5,195,"KPSR09",60.97213,138.41197,1546,2022-07-16,81,73,37,47,31,42,44,37,24,38.3333333333333,41,77,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR09",NA,NA,"Salix richardsonii"
"20",NA,NA,NA,"Kluane",NA,113,196,"KPSR10",60.97151,138.411,1555,2022-07-16,210,147,94,136,95,52,56,53,33,108.333333333333,53.6666666666667,178.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"KPSR10",NA,NA,"Salix richardsonii"
