"month","year","Variable","mean_temp"
"01",2023,"SoilMoistureCount",948.421762992832
"01",2023,"T1: Soil sensor",-10.8116424451165
"01",2023,"T2: Surface sensor",-11.9806449279421
"01",2023,"T3: Top sensor",-14.9959304062127
"02",2023,"SoilMoistureCount",931.211144179894
"02",2023,"T1: Soil sensor",-13.9328664951224
"02",2023,"T2: Surface sensor",-15.4311846374835
"02",2023,"T3: Top sensor",-19.1930299789187
"03",2023,"SoilMoistureCount",932.421296296296
"03",2023,"T1: Soil sensor",-13.0051709976105
"03",2023,"T2: Surface sensor",-13.7067208968041
"03",2023,"T3: Top sensor",-15.3576482228196
"04",2023,"SoilMoistureCount",941.450906635802
"04",2023,"T1: Soil sensor",-11.3951774691358
"04",2023,"T2: Surface sensor",-11.8707682291667
"04",2023,"T3: Top sensor",-13.0536868248457
"05",2023,"SoilMoistureCount",1207.53248207885
"05",2023,"T1: Soil sensor",-3.84434620482378
"05",2023,"T2: Surface sensor",-2.84704254405615
"05",2023,"T3: Top sensor",-1.80745617719534
"06",2023,"SoilMoistureCount",1796.17490250859
"06",2023,"T1: Soil sensor",2.90601779097065
"06",2023,"T2: Surface sensor",6.67496071241488
"06",2023,"T3: Top sensor",6.90342529538444
"07",2022,"SoilMoistureCount",2140.55169270833
"07",2022,"T1: Soil sensor",3.20015462239583
"07",2022,"T2: Surface sensor",5.23095703125
"07",2022,"T3: Top sensor",5.17401529947917
"07",2023,"SoilMoistureCount",2028.49504563488
"07",2023,"T1: Soil sensor",8.51784841792562
"07",2023,"T2: Surface sensor",13.2091655754686
"07",2023,"T3: Top sensor",14.3324432739852
"08",2022,"SoilMoistureCount",2088.97108451241
"08",2022,"T1: Soil sensor",4.57615176090234
"08",2022,"T2: Surface sensor",7.17214091759449
"08",2022,"T3: Top sensor",7.93228381495541
"08",2023,"SoilMoistureCount",2409.02499655378
"08",2023,"T1: Soil sensor",8.74112024996554
"08",2023,"T2: Surface sensor",11.93729035519
"08",2023,"T3: Top sensor",13.0013267931811
"09",2022,"SoilMoistureCount",1895.59594907407
"09",2022,"T1: Soil sensor",2.37486255787037
"09",2022,"T2: Surface sensor",3.08019507137346
"09",2022,"T3: Top sensor",3.25970654899691
"10",2022,"SoilMoistureCount",1244.31306003584
"10",2022,"T1: Soil sensor",-1.07775864321983
"10",2022,"T2: Surface sensor",-2.69582936641278
"10",2022,"T3: Top sensor",-4.27122302494026
"11",2022,"SoilMoistureCount",992.82924382716
"11",2022,"T1: Soil sensor",-3.56349103009259
"11",2022,"T2: Surface sensor",-5.29723789544753
"11",2022,"T3: Top sensor",-8.51281225887346
"12",2022,"SoilMoistureCount",979.709248058542
"12",2022,"T1: Soil sensor",-8.7031891707736
"12",2022,"T2: Surface sensor",-10.6631186062575
"12",2022,"T3: Top sensor",-15.348957166592
