"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"1","HESP1",14,15,15,8,15,2015,"Common_garden","Northern","Salix pulchra",14.6666666666667,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2","HESP12",13,13,11,8,15,2015,"Common_garden","Northern","Salix pulchra",12.3333333333333,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","HESP17",10,10,9,8,15,2015,"Common_garden","Northern","Salix pulchra",9.66666666666667,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4","HESP18",19,15,17,8,15,2015,"Common_garden","Northern","Salix pulchra",17,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"5","HESP2",11,10,10,8,15,2015,"Common_garden","Northern","Salix pulchra",10.3333333333333,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6","HESP20",20,24,19,8,15,2015,"Common_garden","Northern","Salix pulchra",21,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"7","HESP23",17,25,17,8,15,2015,"Common_garden","Northern","Salix pulchra",19.6666666666667,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"8","HESP30",16,15,10,8,15,2015,"Common_garden","Northern","Salix pulchra",13.6666666666667,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"9","HESP4",10,10,9,8,15,2015,"Common_garden","Northern","Salix pulchra",9.66666666666667,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"10","HESP6",18,18,15,8,15,2015,"Common_garden","Northern","Salix pulchra",17,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
