"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"1","CG1-2021",2021,"PC17SA1","Salix arctica","Southern Garden",NA,270,NA,227,NA,NA
"2","CG1-2021",2021,"PC16CESA2","Salix arctica","Southern Garden",NA,270,NA,224,NA,NA
"3","CG1-2021",2021,"KP18SA2","Salix arctica","Southern Garden",NA,270,NA,223,NA,NA
"4","CG1-2021",2021,"H17SA8","Salix arctica","Northern Garden",NA,270,NA,NA,NA,NA
"5","CG1-2021",2021,"HE16SA3","Salix arctica","Northern Garden",NA,270,NA,195,NA,NA
"6","CG1-2021",2021,"H17SA6","Salix arctica","Northern Garden",NA,270,NA,203,NA,NA
"7","CG1-2021",2021,"H17SA10","Salix arctica","Northern Garden",NA,270,NA,217,NA,NA
"8","CG1-2021",2021,"H17SA9","Salix arctica","Northern Garden",NA,270,NA,206,NA,NA
"9","CG1-2021",2022,"PC17SA1","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA
"10","CG1-2021",2022,"PC16CESA2","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA
"11","CG1-2021",2022,"KP18SA2","Salix arctica","Southern Garden",NA,NA,NA,NA,NA,NA
"12","CG1-2021",2022,"H17SA8","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA
"13","CG1-2021",2022,"HE16SA3","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA
"14","CG1-2021",2022,"H17SA6","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA
"15","CG1-2021",2022,"H17SA10","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA
"16","CG1-2021",2022,"H17SA9","Salix arctica","Northern Garden",NA,NA,NA,NA,NA,NA
"17","CG1-2021",2023,"PC17SA1
","Salix arctica","Southern Garden",121,NA,131,215,84,NA
"18","CG1-2021",2023,"KP18SA2
","Salix arctica","Southern Garden",121,NA,137,207,70,NA
"19","CG1-2021",2023,"PC16CESA2","Salix arctica","Southern Garden",121,NA,NA,204,NA,NA
"20","CG1-2021",2023,"H17SA8","Salix arctica","Northern Garden",121,NA,133,182,49,NA
"21","CG2-2021",2021,"H17SR9","Salix richardsonii","Northern Garden",NA,276,NA,180,NA,NA
"22","CG2-2021",2022,"H17SR9","Salix richardsonii","Northern Garden",114,270,126,170,44,NA
"23","CG2-2021",2023,"H17SR9","Salix richardsonii","Northern Garden",121,NA,NA,186,NA,NA
"24","CG3-2021",2021,"H15SA14","Salix arctica","Northern Garden",NA,270,NA,199,NA,NA
"25","CG3-2021",2021,"H17SA20","Salix arctica","Northern Garden",NA,270,NA,192,NA,NA
"26","CG3-2021",2021,"K15PSA8","Salix arctica","Southern Garden",NA,270,NA,212,NA,NA
"27","CG3-2021",2021,"H15SA7","Salix arctica","Northern Garden",NA,270,NA,186,NA,NA
"28","CG3-2021",2021,"K15PSA7","Salix arctica","Southern Garden",NA,270,NA,178,NA,NA
"29","CG3-2021",2021,"K15PSA2","Salix arctica","Southern Garden",NA,270,NA,NA,NA,NA
"30","CG3-2021",2021,"H17SA17","Salix arctica","Northern Garden",NA,270,NA,NA,NA,NA
"31","CG3-2021",2021,"KP17SA9","Salix arctica","Southern Garden",NA,270,NA,NA,NA,NA
"32","CG3-2021",2021,"K15PSA6","Salix arctica","Southern Garden",NA,270,NA,211,NA,NA
"33","CG3-2021",2021,"H15SA12","Salix arctica","Northern Garden",NA,270,NA,188,NA,NA
"34","CG3-2021",2021,"K15PSA12","Salix arctica","Southern Garden",NA,270,NA,NA,NA,NA
"35","CG3-2021",2022,"H15SA14","Salix arctica","Northern Garden",115,269,129,196,67,NA
"36","CG3-2021",2022,"H17SA20","Salix arctica","Northern Garden",115,269,132,182,50,NA
"37","CG3-2021",2022,"K15PSA8","Salix arctica","Southern Garden",115,269,138,213,75,NA
"38","CG3-2021",2022,"H15SA7","Salix arctica","Northern Garden",115,269,129,198,69,NA
"39","CG3-2021",2022,"K15PSA7","Salix arctica","Southern Garden",115,269,133,197,64,NA
"40","CG3-2021",2022,"K15PSA2","Salix arctica","Southern Garden",115,269,139,226,87,NA
"41","CG3-2021",2022,"H17SA17","Salix arctica","Northern Garden",115,269,NA,NA,NA,NA
"42","CG3-2021",2022,"KP17SA9","Salix arctica","Southern Garden",115,269,140,218,78,NA
"43","CG3-2021",2022,"K15PSA6","Salix arctica","Southern Garden",115,269,138,211,73,NA
"44","CG3-2021",2022,"H15SA12","Salix arctica","Northern Garden",115,269,129,172,43,NA
"45","CG3-2021",2022,"K15PSA12","Salix arctica","Southern Garden",115,269,139,210,71,NA
"46","CG4-2021",2021,"H15SP15","Salix pulchra","Northern Garden",NA,270,NA,182,NA,NA
"47","CG4-2021",2022,"H15SP15","Salix pulchra","Northern Garden",115,269,129,175,46,NA
"48","CG4-2021",2023,"H15SP15","Salix pulchra","Northern Garden",123,NA,NA,NA,NA,NA
"49","CG5-2021",2021,"KP16SR57","Salix richardsonii","Southern Garden",NA,270,NA,228,NA,NA
"50","CG5-2021",2021,"PP17SR16","Salix richardsonii","Southern Garden",NA,270,NA,228,NA,NA
"51","CG5-2021",2022,"KP16SR57","Salix richardsonii","Southern Garden",115,269,139,221,82,NA
"52","CG5-2021",2022,"PP17SR16","Salix richardsonii","Southern Garden",115,269,140,215,75,NA
"53","CG5-2021",2023,"KP16SR57","Salix richardsonii","Southern Garden",123,NA,139,220,81,NA
"54","CG5-2021",2023,"PP17SR16","Salix richardsonii","Southern Garden",123,NA,141,215,74,NA
"55","KLUANECAM2",2021,"KLSRE9","Salix richardsonii","Southern Garden",115,270,138,201,63,NA
"56","KLUANECAM2",2021,"KLSRE7","Salix richardsonii","Southern Garden",115,270,131,NA,NA,NA
"57","KLUANECAM2",2021,"KLSRE6","Salix richardsonii","Southern Garden",115,270,129,NA,NA,NA
"58","KLUANECAM2",2021,"HESR7","Salix richardsonii","Northern Garden",115,270,NA,NA,NA,NA
"59","KLUANECAM2",2021,"H15SR20","Salix richardsonii","Northern Garden",115,270,NA,NA,NA,NA
"60","KLUANECAM2",2021,"H15SR19","Salix richardsonii","Northern Garden",115,270,139,193,54,NA
"61","KLUANECAM2",2021,"HESR8","Salix richardsonii","Northern Garden",115,270,NA,186,NA,NA
"62","KLUANECAM2",2022,"KLSRE9","Salix richardsonii","Southern Garden",114,269,137,225,88,NA
"63","KLUANECAM2",2022,"KLSRE7","Salix richardsonii","Southern Garden",114,269,138,NA,NA,NA
"64","KLUANECAM2",2022,"KLSRE6","Salix richardsonii","Southern Garden",114,269,131,NA,NA,NA
"65","KLUANECAM2",2022,"HESR7","Salix richardsonii","Northern Garden",114,269,139,205,66,NA
"66","KLUANECAM2",2022,"H15SR20","Salix richardsonii","Northern Garden",114,269,139,187,48,NA
"67","KLUANECAM2",2022,"H15SR19","Salix richardsonii","Northern Garden",114,269,142,138,-4,NA
"68","KLUANECAM2",2022,"HESR8","Salix richardsonii","Northern Garden",114,269,140,197,57,NA
"69","KLUANECAM2",2023,"KLSRE9","Salix richardsonii","Southern Garden",122,NA,141,217,76,NA
"70","KLUANECAM2",2023,"KLSRE7","Salix richardsonii","Southern Garden",122,NA,NA,NA,NA,NA
"71","KLUANECAM2",2023,"KLSRE6","Salix richardsonii","Southern Garden",122,NA,136,226,90,NA
"72","KLUANECAM2",2023,"HESR7","Salix richardsonii","Northern Garden",122,NA,138,197,59,NA
"73","KLUANECAM2",2023,"H15SR20","Salix richardsonii","Northern Garden",122,NA,138,NA,NA,NA
"74","KLUANECAM2",2023,"H15SR19","Salix richardsonii","Northern Garden",122,NA,137,204,67,NA
"75","KLUANECAM2",2023,"HESR8","Salix richardsonii","Northern Garden",122,NA,139,171,32,NA
"76","KLUANECAM10",2021,"HERSP12","Salix pulchra","Northern Garden",114,270,128,175,47,NA
"77","KLUANECAM10",2021,"KLSPE12","Salix pulchra","Southern Garden",114,270,NA,NA,NA,NA
"78","KLUANECAM10",2021,"KLSPE11","Salix pulchra","Southern Garden",115,270,140,224,84,NA
"79","KLUANECAM10",2021,"KLSPE14","Salix pulchra","Southern Garden",116,270,139,222,83,NA
"80","KLUANECAM10",2021,"HERSP11","Salix pulchra","Northern Garden",117,270,NA,NA,NA,NA
"81","KLUANECAM10",2022,"HERSP12","Salix pulchra","Northern Garden",114,269,138,NA,NA,NA
"82","KLUANECAM10",2022,"KLSPE12","Salix pulchra","Southern Garden",114,269,147,240,93,NA
"83","KLUANECAM10",2022,"KLSPE11","Salix pulchra","Southern Garden",114,269,145,NA,NA,NA
"84","KLUANECAM10",2022,"KLSPE14","Salix pulchra","Southern Garden",114,269,143,236,93,NA
"85","KLUANECAM10",2022,"HERSP11","Salix pulchra","Northern Garden",114,269,140,NA,NA,NA
"86","KLUANECAM10",2022,"HESP17","Salix pulchra","Northern Garden",114,269,NA,215,NA,NA
"87","KLUANECAM10",2023,"HERSP12","Salix pulchra","Northern Garden",123,NA,139,193,54,NA
"88","KLUANECAM10",2023,"KLSPE14","Salix pulchra","Southern Garden",123,NA,137,199,62,NA
"89","KLUANECAM10",2023,"KLSPE12","Salix pulchra","Southern Garden",123,NA,141,226,85,NA
"90","KLUANECAM10",2023,"KLSPE11","Salix pulchra","Southern Garden",123,NA,140,227,87,NA
"91","KLUANECAM10",2023,"HESP17","Salix pulchra","Northern Garden",NA,NA,NA,NA,NA,NA
"92","CG6-2021",2021,"KP16SR37","Salix richardsonii","Southern Garden",NA,270,NA,191,NA,NA
"93","CG6-2021",2021,"PC17SR4","Salix richardsonii","Southern Garden",NA,270,NA,234,NA,NA
"94","CG6-2021",2021,"PC17SR5
","Salix richardsonii","Southern Garden",NA,270,NA,242,NA,NA
"95","CG6-2021",2021,"KP16SR52","Salix richardsonii","Southern Garden",NA,270,NA,195,NA,NA
"96","CG6-2021",2021,"KP16SR53
","Salix richardsonii","Southern Garden",NA,270,NA,234,NA,NA
"97","CG6-2021",2021,"PC17SR6
","Salix richardsonii","Southern Garden",NA,270,NA,242,NA,NA
"98","CG6-2021",2021,"H17SR15
","Salix richardsonii","Northern Garden",NA,270,NA,182,NA,NA
"99","CG6-2021",2021,"H18SR10","Salix richardsonii","Northern Garden",NA,270,NA,179,NA,NA
"100","CG6-2021",2022,"KP16SR37","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"101","CG6-2021",2022,"PC17SR4","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"102","CG6-2021",2022,"PC17SR5
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"103","CG6-2021",2022,"KP16SR52","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"104","CG6-2021",2022,"KP16SR53
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"105","CG6-2021",2022,"PC17SR6
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"106","CG6-2021",2022,"H17SR15
","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA
"107","CG6-2021",2022,"H18SR10","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA
"108","CG6-2021",2023,"KP16SR37","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"109","CG6-2021",2023,"PC17SR4","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"110","CG6-2021",2023,"PC17SR5
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"111","CG6-2021",2023,"KP16SR52","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"112","CG6-2021",2023,"KP16SR53
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"113","CG6-2021",2023,"PC17SR6
","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA
"114","CG6-2021",2023,"H17SR15
","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA
"115","CG6-2021",2023,"H18SR10","Salix richardsonii","Northern Garden",NA,NA,NA,NA,NA,NA
"116","KLUANECAM3",2021,"KLSRC13","Salix richardsonii","Southern Garden",116,270,142,217,75,NA
