"","Year_planted","Cutting_length","SampleID_standard","Species","Site","max_mean_width_cm","max_canopy_height_cm"
"1",2017,37.8,"KP17SP1","Salix pulchra","Kluane",18.8,25.8
"2",2017,38.9,"KP17SP3","Salix pulchra","Kluane",NA,NA
"3",2017,42.7,"KP17SP4","Salix pulchra","Kluane",NA,NA
"4",2017,32.7,"KP17SP5","Salix pulchra","Kluane",65.85,36.2
"5",2017,36.3,"KP17SR1","Salix richardsonii","Kluane",39,29.8
"6",2017,34.1,"KP17SR3","Salix richardsonii","Kluane",42.5,38
"7",2017,39.7,"KP17SR5","Salix richardsonii","Kluane",NA,NA
"8",2017,19,"KP17SA1","Salix arctica","Kluane",NA,NA
"9",2017,17.6,"KP17SA2","Salix arctica","Kluane",16.8,4.8
"10",2017,12.1,"KP17SA3","Salix arctica","Kluane",NA,NA
"11",2017,14.9,"KP17SA4","Salix arctica","Kluane",10.95,4.4
"12",2017,16.4,"KP17SA5","Salix arctica","Kluane",NA,NA
"13",2017,9.7,"KP17SA6","Salix arctica","Kluane",19.25,5.5
"14",2017,14.8,"KP17SA7","Salix arctica","Kluane",NA,NA
"15",2017,17.4,"KP17SA8","Salix arctica","Kluane",NA,2.4
"16",2017,13,"KP17SA9","Salix arctica","Kluane",21.5,6.8
"17",2017,12.7,"KP17SA10","Salix arctica","Kluane",NA,3.4
"18",2017,32.4,"PC17SR1","Salix richardsonii","Kluane",35.25,40
"19",2017,38.2,"PC17SR3","Salix richardsonii","Kluane",NA,NA
"20",2017,35.5,"PC17SR4","Salix richardsonii","Kluane",54,74
"21",2017,33.8,"PC17SR5","Salix richardsonii","Kluane",73.15,121
"22",2017,28.3,"PC17SR6","Salix richardsonii","Kluane",57.75,41
"23",2017,34.7,"PC17SR7","Salix richardsonii","Kluane",NA,NA
"24",2017,41.4,"PC17SR8","Salix richardsonii","Kluane",NA,NA
"25",2017,33.4,"PC17SR9","Salix richardsonii","Kluane",12.5,25.9
"26",2017,35.3,"PC17SR10","Salix richardsonii","Kluane",28,36
"27",2017,38.6,"PC17SR11","Salix richardsonii","Kluane",NA,3.2
"28",2017,38,"PC17SR12","Salix richardsonii","Kluane",9,10.2
"29",2017,29.3,"PC17SR13","Salix richardsonii","Kluane",20.05,16.1
"30",2017,41.3,"PC17SR14","Salix richardsonii","Kluane",NA,NA
"31",2017,36.2,"PC17SR15","Salix richardsonii","Kluane",NA,13.7
"32",2017,35.6,"PP17SR16","Salix richardsonii","Kluane",51.7,44
"33",2017,37.7,"PP17SR17","Salix richardsonii","Kluane",NA,NA
"34",2017,36.5,"PP17SR18","Salix richardsonii","Kluane",NA,1.2
"35",2017,24.2,"PP17SR19","Salix richardsonii","Kluane",42.2,42.3
"36",2017,23.6,"PP17SR20","Salix richardsonii","Kluane",65.2,45.7
"37",2017,26.9,"PC17SP2","Salix pulchra","Kluane",NA,NA
"38",2017,33.6,"PC17SP4","Salix pulchra","Kluane",NA,34.7
"39",2017,26.9,"PC17SP5","Salix pulchra","Kluane",25.5,16.5
"40",2017,35.6,"PC17SP6","Salix pulchra","Kluane",14.75,17.3
"41",2017,36.1,"PC17SP7","Salix pulchra","Kluane",24.5,26.4
"42",2017,34.5,"PC17SP9","Salix pulchra","Kluane",24.95,16
"43",2017,26.6,"PC17SP10","Salix pulchra","Kluane",19.5,8.8
"44",2017,41.7,"PP17SP11","Salix pulchra","Kluane",NA,11
"45",2017,31.6,"PP17SP13","Salix pulchra","Kluane",13.15,16.5
"46",2017,37,"PP17SP14","Salix pulchra","Kluane",NA,NA
"47",2017,34.6,"PP17SP15","Salix pulchra","Kluane",66.2,29
"48",2017,12.1,"PC17SA1","Salix arctica","Kluane",33.75,10.2
"49",2017,18.1,"PC17SA3","Salix arctica","Kluane",NA,NA
"50",2017,17.1,"PC17SA5","Salix arctica","Kluane",NA,0.8
"51",2017,29.9,"PC17SA6","Salix arctica","Kluane",12,6.7
"52",2017,18.9,"PC17SA7","Salix arctica","Kluane",26.6,8.1
"53",2017,17.5,"PC17SA8","Salix arctica","Kluane",NA,1.7
"54",2017,16.3,"PC17SA10","Salix arctica","Kluane",NA,NA
"55",2017,30.3,"KP17SR8","Salix richardsonii","Kluane",NA,NA
"56",2017,30.6,"KP17SR9","Salix richardsonii","Kluane",NA,NA
"57",2017,29.1,"KP17SR10","Salix richardsonii","Kluane",NA,NA
"58",2017,35.5,"KP17SR11","Salix richardsonii","Kluane",NA,NA
"59",2017,34.6,"KP17SR12","Salix richardsonii","Kluane",NA,NA
"60",2017,24.9,"KP17SR14","Salix richardsonii","Kluane",NA,NA
"61",2017,42.5,"KP17SR15","Salix richardsonii","Kluane",NA,NA
"62",2017,32.6,"KP17SP6","Salix pulchra","Kluane",NA,NA
"63",2017,33,"KP17SP7","Salix pulchra","Kluane",NA,NA
"64",2017,28.1,"KP17SP8","Salix pulchra","Kluane",NA,NA
"65",2017,30.7,"KP17SP10","Salix pulchra","Kluane",NA,NA
"66",2017,33.2,"KP17SP11","Salix pulchra","Kluane",NA,NA
"67",2017,33.6,"KP17SP12","Salix pulchra","Kluane",41.45,32.2
"68",2017,34.8,"KP17SP15","Salix pulchra","Kluane",NA,NA
"69",2017,23.2,"H17SP1","Salix pulchra","Qikiqtaruk",NA,NA
"70",2017,26.7,"H17SP2","Salix pulchra","Qikiqtaruk",NA,NA
"71",2017,25.9,"H17SP3","Salix pulchra","Qikiqtaruk",5.75,42
"72",2017,29.8,"H17SP4","Salix pulchra","Qikiqtaruk",NA,NA
"73",2017,40.7,"H17SP6","Salix pulchra","Qikiqtaruk",6.75,9.3
"74",2017,28.5,"H17SP7","Salix pulchra","Qikiqtaruk",2.75,3.6
"75",2017,41.9,"H17SP8","Salix pulchra","Qikiqtaruk",NA,NA
