"","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept",6.21916178922747,0.770089061483566,4.61067083666539,7.69573022793602,"1.00",1310.51232324265,2055.62644617478,"fixed",170,"Salix richardsonii",40801.0027464093,67243876.4892602,1656386.90809772,5.88964422874872
"Northern Source",1.50313391619966,0.147512549161886,1.21028480247908,1.78600133933238,"1.00",3571.82363030773,3869.13316124422,"fixed",170,"Salix richardsonii",16.2287399994132,62.514826459706,31.8517953139694,1.40447026588057
"SouthernSource",1.04418883932074,0.123501754354732,0.798470049713411,1.28132337217586,"1.00",3509.61828253768,3762.02023277716,"fixed",170,"Salix richardsonii",6.2873849287776,19.4942992701701,11.0710506921587,1.32892892539205
"Southern Garden",1.00098541790658,0.10379937826786,0.796338537786702,1.20254493401991,"1.00",3909.86899720886,3301.50152938184,"fixed",170,"Salix richardsonii",6.25660212418994,16.0558128776241,10.022715847301,1.26998730081422
"Year",1.70724098296782,0.707608774974648,0.844122829039192,3.53515240453494,"1.00",1551.11886782894,2352.11110814599,"random",170,"Salix richardsonii",6.98429909106603,371.842594721696,50.9613568925943,5.10045329385387
"Sigma",0.363905117122126,0.0201961467076774,0.327353957494052,0.405884148343275,"1.00",4304.72750551648,3547.17893042364,"residual",170,"Salix richardsonii",2.12497564823885,2.51452684648174,2.3115597149147,1.04760158469901
" Intercept",5.86118593541157,0.7982654258282,4.22003555794739,7.47675856474704,"1.00",1699.43842134605,2390.6307554321,"fixed",158,"Salix pulchra",16597.2279200958,31793351.5982705,726416.893264629,6.28442323770074
" Northern Source",1.36961229059438,0.173022364874006,1.03372731533236,1.71077096581575,"1.00",3596.43183796894,3943.92283127391,"fixed",158,"Salix pulchra",10.8075515405002,50.7571543552299,23.4213697665886,1.48943777735119
" SouthernSource",0.951288973531813,0.144163314800482,0.667776144252316,1.2248806610802,"1.00",3549.12987909397,3908.70990679331,"fixed",158,"Salix pulchra",4.65346170449947,17.1712457123088,8.93900074621206,1.39368079281799
" Southern Garden",0.633951472986837,0.114768721191011,0.408421237256451,0.858496188982839,"1.00",4159.32352261187,3598.16232894896,"fixed",158,"Salix pulchra",2.56106875186802,7.23571926789564,4.30478507178894,1.30247297589446
" Year",1.87280839934115,0.790082915977865,0.927171293315851,3.81290627658475,"1.00",1555.26100541577,2378.34497752452,"random",158,"Salix pulchra",8.45612303631367,658.33281812565,74.6119515152473,6.16712734092589
" Sigma",0.427226560334022,0.0243958718127704,0.381481199501165,0.477655020199271,"1.00",4629.00043014784,4133.59500502105,"residual",158,"Salix pulchra",2.40702831714461,2.97147390814277,2.67440121159036,1.05778126770936
"Intercept ",6.51745878378271,1.03637006379135,4.39342606935954,8.47921083955269,"1.00",1990.55468300657,2449.29461122772,"fixed",117,"Salix arctica",24741.5024695084,438017536.409396,3291992.09579262,10.8735176507966
"Northern Source ",1.54310253540595,0.301391014768542,0.947531206188879,2.13334711293084,"1.00",3416.72833224053,3327.70970001791,"fixed",117,"Salix arctica",8.86198899109768,137.617563553408,34.9222756015696,2.00166324563021
"SouthernSource ",-0.0923680462886849,0.287378364600287,-0.673912039688265,0.459305274787141,"1.00",3454.26823306739,3524.90723469865,"fixed",117,"Salix arctica",0.211879022330813,3.08443730509398,0.808410514926667,1.93810974218079
"Southern Garden ",0.287153654208901,0.24978302526152,-0.194292710101122,0.784906203084282,"1.00",4378.97819100381,4045.15638329824,"fixed",117,"Salix arctica",0.639303805926099,5.86948528976121,1.93710719490987,1.77739119856431
"Year ",2.13103212807285,0.936444313168763,0.99054777866779,4.52976240737555,"1.00",1956.16427669226,2674.66301347778,"random",117,"Salix arctica",9.7847059476609,1868.60057210216,135.217259000656,8.6386188604335
"Sigma ",0.62212431471952,0.0418694580191996,0.547289047244917,0.710062791318021,"1.00",4680.83347468549,3781.03458983932,"residual",117,"Salix arctica",3.52605471607938,4.97690765014887,4.18913459932943,1.10120825418613
