"","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept",-1.16484771185819,0.185733156632524,-1.53756341955571,-0.792388352568321,"1.00",1157.4257441423,1131.90866218917,"fixed",111,"Salix richardsonii",0.214904095125702,0.452878227020419,0.311970167772426,1.20410091116267
"Northern Source",-0.0181777605901425,0.0798545846616282,-0.163670742974827,0.144972742491576,"1.00",2063.67857654346,2992.50664134263,"fixed",111,"Salix richardsonii",0.849021522164661,1.13577498238754,0.981986458350223,1.08312955257229
"SouthernSource",0.0882574937763247,0.0666705587426524,-0.0447438555146386,0.216516840822363,"1.00",2115.56369889817,2744.26087610298,"fixed",111,"Salix richardsonii",0.956242386680265,1.24764633337551,1.09226933837762,1.06894326614757
"Southern Garden",0.0397818670155104,0.0438574117017542,-0.0457296461518977,0.126871702933951,"1.00",3667.49490202075,3524.47000671796,"fixed",111,"Salix richardsonii",0.955300196366021,1.13348094513817,1.04058376379205,1.04483336325525
"Year",0.279368027566644,0.25227053321335,0.0665776674608749,0.967117185883601,"1.00",1102.84114211333,1358.48837845381,"random",111,"Salix richardsonii",1.06884397524913,1.63584319608367,1.32229389493649,1.28694415133117
"Sigma",0.152001921729587,0.0108273305367635,0.132565751416659,0.174673207334121,"1.00",4370.34249465856,3176.74786575375,"residual",111,"Salix richardsonii",1.1417540855698,1.18701065505241,1.16416247363543,1.01088615820387
" Intercept",-0.968404636159807,0.287315769961529,-1.49811096580369,-0.411461747186337,"1.00",1297.60608070581,1143.21341817818,"fixed",100,"Salix pulchra",0.223552059016412,0.644875304962362,0.379688296149845,1.33284501945375
" Northern Source",-0.147662111423743,0.0913885746239322,-0.32068912023587,0.0375147687169074,"1.00",2642.3413846674,3201.5305010149,"fixed",100,"Salix pulchra",0.725648805457646,1.02568932360289,0.862722569800454,1.09569468169846
" SouthernSource",0.133546132119441,0.0805299514283406,-0.02890710101113,0.285174083248347,"1.00",2736.68155468726,3062.89618548398,"fixed",100,"Salix pulchra",0.971506712265825,1.34446930342991,1.14287398811834,1.08386130935043
" Southern Garden",0.0470517532379569,0.0586436085599654,-0.0669139873605705,0.16051130608638,"1.00",4445.89667348372,4030.27226933794,"fixed",100,"Salix pulchra",0.935275643403893,1.17470551874038,1.04817625419107,1.06039725688366
" Year",0.391700040424957,0.342097599451369,0.107000558125418,1.34437191583723,"1.00",1176.3546507632,1098.71560006009,"random",100,"Salix pulchra",1.11293487563639,1.96678360908919,1.47949385648788,1.40789770085193
" Sigma",0.207443027027072,0.0157171212162061,0.179128267015189,0.240492239028157,"1.00",4086.88079242582,3287.83771718183,"residual",100,"Salix pulchra",1.19617416401799,1.26586766347642,1.23052760802686,1.01584128481107
"Intercept ",-1.11498115850514,0.25948360200434,-1.62578102241359,-0.552786325637666,"1.00",1926.38757276703,1771.2138811422,"fixed",53,"Salix arctica",0.196757942814397,0.546521683784346,0.327921457371835,1.2962605274629
"Northern Source ",-0.0174892879015244,0.0576231314494098,-0.132701779699676,0.0976330003034631,"1.00",2616.9740197525,3157.65209065416,"fixed",53,"Salix arctica",0.87572621250523,1.10265753155587,0.982662761988968,1.05931569770197
"SouthernSource ",0.137023718842944,0.0534037726916993,0.0316058964214369,0.241497873453537,"1.00",2973.2035125649,3419.28246568954,"fixed",53,"Salix arctica",1.0321106666349,1.27435674970164,1.14685535027973,1.05485548098003
"Southern Garden ",0.0776243602663338,0.0436959239870177,-0.00914936363507413,0.165776276151653,"1.00",3966.26985916699,3475.25711390091,"fixed",53,"Salix arctica",0.99089236443366,1.17868343692656,1.08071662230899,1.04466464912613
"Year ",0.373167228961804,0.404877021307879,0.0605734571626749,1.55682578614707,"1.00",992.681346626587,1625.71378405953,"random",53,"Salix arctica",1.06244563894607,1.98528206198238,1.45232719069466,1.4991181291333
"Sigma ",0.115635995229204,0.0125189557470009,0.093949828156035,0.143617821732464,"1.00",3522.92377108644,3449.72490649302,"residual",53,"Salix arctica",1.09850463053165,1.14719767283736,1.12258717066737,1.0125976459035
