"","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept",2.70490273861435,0.0787204843023144,2.53581872713474,2.84430826970083,"1.00",1874.82908819685,1903.56522570702,"fixed",130,"Salix richardsonii",343.41457804196,748.146674929029,506.877179091985,1.19872754337001
"Northern Source",-0.240690100735865,0.0952087023683646,-0.411281254886913,-0.0378625724221643,"1.00",1959.45053513256,2598.68945585318,"fixed",130,"Salix richardsonii",0.387899076025521,0.850944143016969,0.574526280361144,1.2451128131665
"SouthernSource",0.0464344280306503,0.0701489235502705,-0.0899266919132332,0.186408248228662,"1.00",2599.64251784914,3282.83062755952,"fixed",130,"Salix richardsonii",0.812967731997738,1.52333544710274,1.11284435726784,1.17530050714178
"Southern Garden",-0.131985498115847,0.0613346621089828,-0.2520309811651,-0.0120584935553185,"1.00",4030.87389236652,4274.07131567228,"fixed",130,"Salix richardsonii",0.55971767162069,0.97288158930481,0.737928870507398,1.15168752365915
"Year",0.101639029656684,0.0949679769891981,0.00545297705887963,0.337901322911482,"1.00",1128.99902825189,1767.96690394624,"random",130,"Salix richardsonii",1.01263510049838,1.57697599420339,1.26368557971265,1.24442284998934
"Sigma",0.214294397702996,0.013712110749364,0.188654277080219,0.243165194559171,"1.00",4899.51780935769,4077.48055539029,"residual",130,"Salix richardsonii",1.54402481927672,1.73753882788559,1.63792645583138,1.03207702593183
" Intercept",2.75845261551955,0.0624012714754775,2.6247522825839,2.87301622871046,"1.00",2056.04551109608,1723.97631300098,"fixed",119,"Salix pulchra",421.456040364273,780.104796988091,573.393302025561,1.15451949698068
" Northern Source",-0.433640468750989,0.0765971041687224,-0.572745263842362,-0.274400885235049,"1.00",2612.85944868804,2466.86101859138,"fixed",119,"Salix pulchra",0.26745747249652,0.507533047721336,0.368433855871043,1.19288095302191
" SouthernSource",-0.0056602225127063,0.0695385688754216,-0.132771123818205,0.133813275338173,"1.00",2570.50496048079,3452.96874865286,"fixed",119,"Salix pulchra",0.73659518595708,1.32266748905843,0.987051419664843,1.17364990750221
" Southern Garden",-0.212989620376082,0.0581532309183916,-0.325664117387958,-0.100046521157409,"1.00",3719.93677382196,4137.93819321735,"fixed",119,"Salix pulchra",0.472428275232524,0.793752080512725,0.612365027054006,1.14328164453026
" Year",0.0618008408257491,0.06505513533701,0.00182642870776061,0.231238319225819,"1.00",1335.47197844148,1958.11998318158,"random",119,"Salix pulchra",1.00421436307232,1.32365636678363,1.15292442740027,1.16159607352138
" Sigma",0.217588901968616,0.0145896284213797,0.191202767293412,0.248649798259574,"1.00",4402.99264417062,3800.2001258597,"residual",119,"Salix pulchra",1.55311197151984,1.75377969124621,1.65039881055546,1.03416450679827
"Intercept ",2.40773548528259,0.135216187434702,2.13585214267665,2.66572829481986,"1.01",1330.21512142364,716.825610184769,"fixed",75,"Salix arctica",136.72632560094,478.210191974726,255.7028009499,1.36526258147635
"Northern Source ",0.041210339220367,0.0806290241449945,-0.113098839056086,0.204393868448574,"1.00",2378.9988278431,3203.31038111292,"fixed",75,"Salix arctica",0.770728042701504,1.56862639125998,1.0995382432029,1.20400703399599
"SouthernSource ",0.178624436602399,0.0739937625962944,0.0342396455214605,0.323578074531522,"1.00",3100.7606088044,3694.71395237078,"fixed",75,"Salix arctica",1.08203085577209,2.10382314032866,1.50877485163392,1.18575171809752
"Southern Garden ",-0.0731237607380552,0.0671697030873296,-0.205300217852151,0.0585630125506174,"1.00",3559.95322504833,3811.6482665011,"fixed",75,"Salix arctica",0.623303810838267,1.1456519440017,0.845038000678389,1.16726564377704
"Year ",0.178680441614684,0.186518085812834,0.0226842712176073,0.702039088895025,"1.00",1006.95927851317,850.599170788366,"random",75,"Salix arctica",1.0536206437075,2.16110870161143,1.5089694302118,1.53644877606119
"Sigma ",0.167181287944323,0.0146242491845512,0.141386119571461,0.199005384321944,"1.00",3279.4414363259,3559.97567137382,"residual",75,"Salix arctica",1.38479701770023,1.55946795969838,1.46953958088558,1.03424695083815
