"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",7.35397033234963,0.66773984390293,6.04559393707174,8.67948063460093,"1.00",3079.25033216319,4155.20013981548,81,"fixed",1110692.75008642,459564769.077141,22592814.2826236,4.65307276281748
"Southern Garden","Salix richardsonii",4.19621685112281,0.388373904465058,3.43772211343218,4.96834581825529,"1.00",8647.09619922911,7332.38645280847,81,"fixed",2739.82051632288,90097.2610818402,15711.4711079684,2.44553512235658
"Sample age","Salix richardsonii",1.62101348093084,0.60454873852476,0.804377466867115,3.13529535540159,"1.00",2931.78720608064,4606.83689549707,81,"random",6.37349232062351,273.936242887245,41.7843336716324,4.02298801287712
"Sigma","Salix richardsonii",1.56272213463608,0.13188289689275,1.32852424562914,1.84784575978093,"1.00",7850.84802158079,7974.54254329389,81,"residual",21.3070951667263,62.6498482869969,36.5360955718042,1.35482404851583
" Intercept","Salix pulchra",6.23840075356717,0.573169649559038,5.06414721352765,7.39435319288648,"1.00",3230.96811798155,4035.02009749452,114,"fixed",115917.021543596,25861534.6986805,1731413.31715377,3.74256756590706
" Southern Garden","Salix pulchra",3.72084605048473,0.360553656862021,3.01259323648543,4.43337219541866,"1.00",9609.59462756386,8339.64255929137,114,"fixed",1029.4215047688,26859.5581749143,5258.30835857363,2.29379000952884
" Sample age","Salix pulchra",1.3883017838547,0.546657476867839,0.611508808739864,2.70629662446188,"1.00",3054.33504604077,5718.70408308279,114,"random",4.08798043625873,146.249624256567,24.4512904111631,3.5209306969683
" Sigma","Salix pulchra",1.87160902952704,0.130993998122476,1.639004308057,2.14633469377871,"1.00",8310.81313409755,8308.08862694777,114,"residual",43.551619384012,127.119961011092,74.4061836009987,1.35205387790539
"Intercept ","Salix arctica",6.6244166972004,0.433249232994601,5.79642909610111,7.5253661190342,"1.00",4469.77836095173,3877.72466965514,53,"fixed",625790.687578574,28340290.5432492,4211305.01213537,2.71174740351766
"Southern Garden ","Salix arctica",0.4687814323831,0.413538310263259,-0.349386415115576,1.27666820416156,"1.00",9008.60214922487,7937.49814931732,53,"fixed",0.447315126780394,19.361958274883,2.9429401659643,2.59142300754009
"Sample age ","Salix arctica",0.538888735581978,0.482014335032607,0.0237073923222622,1.78381994496025,"1.00",2728.50673836884,3587.58842157329,53,"random",1.05610571392275,11.3258310492832,3.45850760965936,3.03399132741192
"Sigma ","Salix arctica",1.43927932097342,0.148659616479087,1.1828323758152,1.76400782651451,"1.00",9790.89218827126,7693.78988098232,53,"residual",15.2346463026349,49.6279420153014,27.4966205801875,1.40818468412278
