"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",2.52083416573596,0.185258135443119,2.15624419395614,2.9108963782485,"1.00",2910.03236704693,3837.98272311224,81,"fixed",143.299341254888,768.111270417378,331.767748675584,1.53199777815549
"Southern Garden","Salix richardsonii",0.752200397665394,0.111339536165207,0.533717782162954,0.970559640531594,"1.00",7469.33386819563,6710.55666132342,81,"fixed",3.41757286002538,9.34723180793557,5.65197715345405,1.29222915764987
"Sample age","Salix richardsonii",0.447581377129358,0.175895007022473,0.220751758553873,0.89346639642586,"1.00",2728.74552129151,4044.26769213982,81,"random",1.66246212028675,4.72509990794716,2.80273074188951,1.49932232261913
"Sigma","Salix richardsonii",0.405460244089288,0.0350652165645407,0.344005137715462,0.480246784971683,"1.00",8263.83593599334,7689.10474892775,81,"residual",2.20803085392909,2.9303220324236,2.54366693172269,1.08408969595926
" Intercept","Salix pulchra",2.19703780399924,0.185636197159813,1.83088682662074,2.58096719602098,"1.00",2166.51809540763,3488.83782348938,114,"fixed",67.7464943111458,365.753744797987,157.411988079806,1.53333199239306
" Southern Garden","Salix pulchra",0.630735625534245,0.0833915594638414,0.465848303928806,0.793177542247816,"1.00",7359.27334208856,6874.6477221495,114,"fixed",2.92313116991957,6.24630155708227,4.27302688714034,1.21169009978214
" Sample age","Salix pulchra",0.473768270397469,0.182035189734526,0.247536168864226,0.929253775514613,"1.00",2536.14837428166,4148.70163683734,114,"random",1.76821947225775,5.01187662845262,2.97692758510909,1.52067074067343
" Sigma","Salix pulchra",0.396149445103814,0.0279932910507244,0.345354302936757,0.455145151025499,"1.00",7051.76892380314,7270.2941497017,114,"residual",2.21490091695203,2.79862421332553,2.48971390651594,1.06657964465894
"Intercept ","Salix arctica",2.26275883313485,0.0868119430543369,2.08548897660234,2.42697797966808,"1.00",4863.26010368791,3781.39488168126,53,"fixed",121.75560880656,275.441065479893,183.129720738694,1.22127071452468
"Southern Garden ","Salix arctica",-0.0478033295816034,0.0860362073582908,-0.215789542381951,0.122705407208062,"1.00",9972.05250701871,8326.59235699445,53,"fixed",0.608429772833758,1.31881197886921,0.895770323639846,1.21909123096232
"Sample age ","Salix arctica",0.0909896113487378,0.0934259587562361,0.00273967019868783,0.34574424879418,"1.00",2837.47362053592,4131.34920330769,53,"random",1.00632826313952,1.51091332905991,1.2330753367849,1.2400122020492
"Sigma ","Salix arctica",0.311497379205098,0.0327299685192735,0.255676929045123,0.384469088302606,"1.00",10495.2922483421,8059.01406406153,53,"residual",1.80167697766826,2.32979564631475,2.04878968628725,1.07827607354408
