"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",3.30523049216778,0.16981590478009,2.95220535940562,3.62616029312099,1.00059265449023,2937.7695071197,2700.56363185924,89,"fixed",895.788245614637,4552.55944112201,2019.43785119004,1.47848153452194
"Southern Garden","Salix richardsonii",1.68436778900994,0.175161941938595,1.33712892655834,2.03797130529259,1.00051911957679,5722.47209046376,4549.3122188009,89,"fixed",21.7334627218116,107.549068058458,48.34680611389,1.49679368410101
"Sample age","Salix richardsonii",0.236546281197036,0.173195983110817,0.0139262663982669,0.666890678648379,1.00247354858932,1559.52395273655,2005.5143677855,89,"random",1.03258608059037,2.87850041229192,1.72403580551747,1.49003333006365
"Sigma","Salix richardsonii",0.802981856607498,0.0638386654227406,0.690888910211899,0.93874519935321,1.00129732394518,6806.98556005677,4372.46409903853,89,"residual",4.90782321074263,8.22384285448515,6.35304390373167,1.15834696585059
"Intercept1","Salix pulchra",3.00439805941557,0.227336846240492,2.52796723760734,3.45940107642569,1.00093139722351,2082.65809706681,2393.27455945083,134,"fixed",337.261865272164,3025.7210120933,1010.17835669339,1.68786165224034
"Southern Garden1","Salix pulchra",1.37847217800403,0.154717142116846,1.07187840906051,1.68233904905214,1.00177947827121,5624.30796572266,4277.30570796987,134,"fixed",11.7999022342577,48.4245893993995,23.9040879484449,1.42796361666784
"Sample age1","Salix pulchra",0.566688534199023,0.218213494786235,0.270438701922558,1.11353164010561,1.00044468517057,1470.88531953161,2209.53939518339,134,"random",1.86396907156099,7.29353995590787,3.68713071371311,1.65277408562418
"Sigma1","Salix pulchra",0.868039183500751,0.0548847487159313,0.76854781319437,0.982566197667749,1.00005869541254,4908.49826509657,4288.27004955649,134,"residual",5.86877977776147,9.27962772555347,7.3797080932028,1.13470965113116
"Intercept2","Salix arctica",2.78971194532283,0.325464251838875,2.12698137846171,3.42836843347768,1.00027723698042,1420.03674698387,1882.00233064055,60,"fixed",133.961924643383,2834.27843355399,616.186168243109,2.11574952399561
"Southern Garden2","Salix arctica",-0.43905915562414,0.181182257376112,-0.795933139166418,-0.0774119618763212,1.00011632392947,4212.35581964895,3698.9375589924,60,"fixed",0.159980430394279,0.827589225553931,0.363865470323561,1.51768715115365
"Sample age2","Salix arctica",0.772816436682434,0.312929887275199,0.36054599377318,1.55451369822566,1.00140691631251,1365.84274846743,1687.24001225119,60,"random",2.29374953615816,15.3139378277322,5.92674765694606,2.05555871873757
"Sigma2","Salix arctica",0.654558257453174,0.0682547172560686,0.539958647302456,0.802222894909657,0.999940637236781,3409.86950564366,3965.7778588412,60,"residual",3.46703836398519,5.8770294583794,4.5139657285443,1.17018551314046
