"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",1.44569364381313,0.145559647851007,1.14715241245353,1.72454969852632,1.00011499870523,4157.75121250012,5443.34210569798,486,"fixed",14.0330609810765,55.4925746800456,27.9057464419431,1.39816893260324
"Sample age","Salix richardsonii",0.128877426420675,0.0255602552730719,0.0782690137573979,0.178311694516564,1.00030166653797,4929.57110471423,6635.29456366394,486,"fixed",1.19748205442126,1.51177040469164,1.34548055728182,1.06062108180239
"Southern Garden","Salix richardsonii",0.542381259269357,0.136684586953394,0.270525403514723,0.805013160632721,1.00026118670547,5083.15736972152,6739.70979063425,486,"fixed",1.86434122738083,6.51984265655217,3.4864324833053,1.36988650365514
"Sample age*Southern Garden","Salix richardsonii",0.222587423153512,0.0301081389374746,0.16402117318256,0.282903820475731,0.999937020804515,4811.11493893447,6642.98900286597,486,"fixed",1.45888538366026,1.91052917102074,1.66950384325964,1.07178614580618
"Year","Salix richardsonii",0.238380035283714,0.120106067751373,0.0760347034993146,0.535526811889189,1.00055816677159,2361.92756254846,3716.15178664247,486,"random",1.19133720131138,2.51608533852489,1.73133072099436,1.31857873574928
"sigma","Salix richardsonii",0.705975799629426,0.0228128633365921,0.663581467895321,0.75280086550377,1.00085464950393,9954.58640138892,7822.54760896937,486,"residual",4.60873214295643,5.60234863272902,5.0813112697124,1.0539326609615
"Intercept1","Salix pulchra",1.46189517271494,0.212120708377967,1.03353760572277,1.8639456196562,1.00082105948298,2805.06703984991,3939.86267715794,673,"fixed",10.8028315895771,77.6698988744407,28.9664432942684,1.6297489442547
"Sample age1","Salix pulchra",0.144173317531209,0.0202617651497462,0.10457146583553,0.183920341953031,1.00041897670491,5822.94915567756,7272.54483592313,673,"fixed",1.27224708896635,1.52677545419305,1.39371289263692,1.04775988092475
"Southern Garden1","Salix pulchra",0.950085991182881,0.110999268495732,0.732688345247033,1.16427880055209,1.00035870725453,5016.38771717134,6253.16365615048,673,"fixed",5.40366410578841,14.7056300806642,8.91427425087918,1.29121709874912
"Sample age*Southern Garden1","Salix pulchra",0.0164584775934718,0.0237227052670738,-0.0298628082882291,0.0627911075688275,1.00053989825975,4849.26664510318,6032.1932632516,673,"fixed",0.933549158284978,1.15552611088277,1.03862429597565,1.05614295218918
"Year1","Salix pulchra",0.467673484810834,0.196284218273707,0.234927630831061,0.943799028726946,1.00099586520685,2711.9055896538,4428.09800445004,673,"random",1.71762214533403,5.01671395307258,2.93544187178075,1.57139084383628
"sigma1","Salix pulchra",0.672008382080897,0.0185721402266071,0.636529452476342,0.708846963837478,1.0003045114867,7873.86359510324,7283.07865774623,673,"residual",4.33041434240839,5.09902700078751,4.69903177862609,1.04369148489026
"Intercept2","Salix arctica",0.725722731777033,0.149429020645582,0.45566113663109,1.03453316884374,1.00073447590892,3969.28735921055,2409.78572631953,252,"fixed",2.85536174443653,9.90340014346117,5.31768651854227,1.41068166144367
"Sample age2","Salix arctica",0.0814046141340813,0.0338294992610928,0.0115457318833119,0.145792581496769,1.0009069498461,6102.06221417434,6866.38584004555,252,"fixed",1.02694156451607,1.41665303502966,1.2061591454571,1.08100947181211
"Southern Garden2","Salix arctica",-0.223851533151075,0.157466311516024,-0.529001262700032,0.0855810392946771,1.00095602754147,5956.09941499911,6920.58897971962,252,"fixed",0.295800386621891,1.20586362938129,0.597239422496759,1.43703157762968
"Sample age*Southern Garden2","Salix arctica",0.121894500043323,0.0402925760472322,0.042207472695302,0.201017243610848,1.00090684230427,6046.8842110418,6864.9892403272,252,"fixed",1.1020656665113,1.59067526333133,1.32401986174162,1.09721712181163
"Year2","Salix arctica",0.0988448836058542,0.110965200598192,0.003164215358163,0.375131849232915,1.00199792633357,2369.58892276439,2138.99202704462,252,"random",1.00731248168094,1.56504039616409,1.25558142921556,1.29111581418679
"sigma2","Salix arctica",0.591354255779258,0.0270179817793727,0.541022257821186,0.647394499223793,1.00016514614935,11269.2512819729,8464.48453965761,252,"residual",3.47553973311154,4.38214005560962,3.90260193708388,1.06418707952815
