"","Species","Estimate (log og)","Est.Error","l_95_CI_log_og","u_95_CI_log_og","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","CI_low_trans","CI_high_trans","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept","Salix richardsonii",2.4197355865788,0.255147407094765,1.94667018705339,2.95370203866927,2.4197355865788,1.94667018705339,2.95370203866927,11.2428861518355,7.00532228830099,19.1768157938696,1.00087061662991,3355.32936029101,4730.95671209261,105,"fixed"
"Southern Garden","Salix richardsonii",1.15315219516731,0.198536712398923,0.77429236570611,1.55070410822564,3.57288778174611,2.7209625527595,4.50440614689491,35.6193055551387,15.1949411406213,90.4146350910375,1.00022340284972,7865.01343933217,7882.91784581436,105,"fixed"
"Sample age","Salix richardsonii",0.629467344044964,0.237976855585294,0.278000040369346,1.19907272013441,0.629467344044964,0.278000040369346,1.19907272013441,1.87661072512083,1.32048625051626,3.31703967211947,1.00037887878502,2409.05372186875,4149.8562737138,105,"random"
"Sigma","Salix richardsonii",0.880925773458885,0.0646868072386542,0.766282077478924,1.0188904451347,0.880925773458885,0.766282077478924,1.0188904451347,2.41313268683496,2.15175131887571,2.77011945864702,0.999967584827511,7905.90768770043,8362.63821445009,105,"residual"
"Intercept ","Salix pulchra",2.3038383409137,0.107044165425265,2.09020477418421,2.51584400161097,2.3038383409137,2.09020477418421,2.51584400161097,10.0125403356299,8.08657091573405,12.3770506226906,1.00039236436562,6607.5924977601,6323.5346350464,148,"fixed"
"Southern Garden ","Salix pulchra",0.939466334264644,0.122442598247266,0.69540134057492,1.1803543931571,3.24330467517834,2.78560611475913,3.69619839476807,25.6182419828632,16.2096398017792,40.2938315824869,1.00003804448712,11289.7382994074,8351.95808522752,148,"fixed"
"Sample age ","Salix pulchra",0.154823607881624,0.121336303968976,0.00676732921916484,0.452622465473624,0.154823607881624,0.00676732921916484,0.452622465473624,1.16745201360812,1.00679027933266,1.57243042766223,1.00126368038823,2626.14643547706,4778.2877069557,148,"random"
"Sigma  ","Salix pulchra",0.732236393037161,0.0437615976644881,0.651356901544027,0.823145138756833,0.732236393037161,0.651356901544027,0.823145138756833,2.07972649657712,1.91814179354976,2.27765211612732,1.00006300705775,11473.1873509328,8825.97572460249,148,"residual"
"Intercept  ","Salix arctica",1.37557966453348,0.293415383602507,0.789523936586338,1.96816433663564,1.37557966453348,0.789523936586338,1.96816433663564,3.95737000522703,2.20234771947687,7.15752561420108,1.00056105914609,2699.39176170789,3214.98507539874,69,"fixed"
"Southern Garden  ","Salix arctica",0.158943320276779,0.132111966376909,-0.101500313910631,0.426976489824715,1.53452298481026,0.688023622675706,2.39514082646036,4.63911207514338,1.98977909030171,10.9697427803559,1.00000424480794,7961.60523551888,7528.85612841204,69,"fixed"
"Sample age  ","Salix arctica",0.739708731277294,0.271954882994729,0.387902481980618,1.39460754986014,0.739708731277294,0.387902481980618,1.39460754986014,2.09532512293248,1.47388604683168,4.03339135698377,1.00040361977598,2480.99540838338,3332.38501242154,69,"random"
"Sigma  1","Salix arctica",0.540143336128173,0.0509167086649395,0.452669534737432,0.650573586195082,0.540143336128173,0.452669534737432,0.650573586195082,1.71625284559314,1.57250444254675,1.91663987195733,1.00045914730055,7228.58499414582,7077.27161970893,69,"residual"
