"","Species","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept","Salix richardsonii",-0.920900195490224,1.28914917903943,-3.57256104053942,1.52368759406312,1.00067828033813,3546.38803366277,5883.80081946689,375,"fixed"
"Southern Garden","Salix richardsonii",6.04909331805372,0.85511970216364,4.40624844556792,7.72206628723344,1.00116266281791,12051.3034804525,9005.91871149185,375,"fixed"
"Sample ID","Salix richardsonii",3.04946993400656,1.11709897714626,1.40434607384101,5.73583085081355,1.00129027000703,3446.9362847227,6642.34456409844,375,"random"
"Sample age","Salix richardsonii",1.38181887532422,0.763376760560765,0.0701633532916845,2.83800466935196,1.00129602898432,2062.9496252376,2964.46403800542,375,"random"
"sigma","Salix richardsonii",7.36719065044057,0.297016301143727,6.80877267035492,7.97725276903548,1.00079189085388,7070.68394177326,8625.35957121145,375,"residual"
"Intercept1","Salix pulchra",-1.17310107926855,0.884744702647097,-2.93555691556835,0.556093631034001,0.999935500414077,7414.94020309084,7808.64958054155,521,"fixed"
"Southern Garden1","Salix pulchra",0.874260080432792,0.853090746911636,-0.752756198310455,2.57519319337927,0.999965045098523,17371.1630868316,8982.60016692789,521,"fixed"
"Sample ID1","Salix pulchra",1.77253652626936,0.779275162791107,0.53944065548097,3.58844940214285,1.00072432309144,3730.67882562656,3237.05046998081,521,"random"
"Sample age1","Salix pulchra",0.410890519503132,0.305319887434254,0.0193265476218642,1.14026472730289,1.00011680458798,8873.94992133355,6319.64154781324,521,"random"
"sigma1","Salix pulchra",9.65080491599417,0.301773669574697,9.08733232794948,10.2608142629025,1.00000268096604,17245.9054085926,8368.3908978583,521,"residual"
"Intercept2","Salix arctica",-0.0585464074592112,0.350979045134218,-0.771533873090065,0.625755771074338,1.00040580857746,9234.66357006906,7582.72592833058,130,"fixed"
"Southern Garden2","Salix arctica",0.726879213448271,0.340216510738873,0.0648895068388769,1.39554169108303,1.00039665262082,14538.5860160266,9178.84432494016,130,"fixed"
"Sample ID2","Salix arctica",0.526493971371957,0.352322237839551,0.0427297118218979,1.39109877842288,1.00058835909543,3631.03224012297,4755.78422858024,130,"random"
"Sample age2","Salix arctica",0.246142997787958,0.182207705177156,0.0103913502911403,0.676789909615646,1.00000441467049,5803.40814928535,6112.31963073527,130,"random"
"sigma2","Salix arctica",1.88203735369107,0.120514247512704,1.66593625479255,2.13524086245992,1.00003095619996,14066.4041616022,9455.53780736583,130,"residual"
