"","Species","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept","Salix richardsonii",-20876.0079110336,31763.1866284211,-81917.8067499896,40710.5490150185,1.00134907691866,20519.258397033,8391.79228003491,74,"fixed"
"Southern Garden","Salix richardsonii",44144.093295014,55573.7433876777,-66257.4640613058,153152.512541476,1.00141339084261,21216.0417859507,7886.00265429699,74,"fixed"
"Sample ID","Salix richardsonii",5408.92612155713,5376.31366584291,174.71373689207,19735.5282759216,1.00061738823059,14545.2032912515,6197.09343562263,74,"random"
"Sample age","Salix richardsonii",5933.31846595267,7052.67622230729,176.197507071864,23206.2096397061,1.00023895248758,12014.4344497598,6615.90576358915,74,"random"
"Sigma","Salix richardsonii",232857.337326959,19190.2917297456,198782.413020767,273745.420392015,1.00065674137709,21239.1929041696,8281.92186175457,74,"residual"
"Intercept1","Salix pulchra",6765.41986936507,12362.8416056052,-17683.9129567893,30846.5804174046,1.00033250919931,19141.838709091,8019.23456927667,96,"fixed"
"Southern Garden1","Salix pulchra",-13703.0839792709,25062.0134440984,-62474.8513418764,36163.2763807886,1.00043805590704,19548.0787745598,8018.21329405615,96,"fixed"
"Sample ID1","Salix pulchra",1039.53881788896,1216.26580273773,33.7207850616998,3951.72980286754,1.000322312711,14736.1966929852,5518.84902806982,96,"random"
"Sample age1","Salix pulchra",1033.1694853864,1283.85347558053,29.9903867330326,3930.32574221662,1.00059450692386,13843.145968507,5749.31417479865,96,"random"
"Sigma1","Salix pulchra",121244.78041011,8796.8958306062,105625.593419427,140230.587706249,1.00031545648763,17979.4043653878,8741.34324272257,96,"residual"
"Intercept2","Salix arctica",198.535533195576,428.787390159955,-649.218933483101,1007.36762891911,1.0005902814239,1957.12195353849,3183.89691776518,52,"fixed"
"Southern Garden2","Salix arctica",1146.71387726244,468.697422155915,210.837013443011,2057.67839525269,1.00198391895251,2496.76828821277,2073.08440624026,52,"fixed"
"Sample ID2","Salix arctica",531.106326035801,371.052034200942,29.8694484216834,1399.62233695973,1.00201735603356,2061.04707108875,3453.68158320781,52,"random"
"Sample age2","Salix arctica",846.332674047977,541.975041268709,33.406118363121,1764.97395147741,1.01785847402579,194.821556130845,855.071921750694,52,"random"
"Sigma2","Salix arctica",1275.57928029709,448.489144537772,382.867227458994,1940.00634145644,1.01936046021111,165.522856545626,190.94921201276,52,"residual"
