"","Species","Estimate (log og)","Est.Error","l_95_CI_log","u_95_CI_log","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","CI_low_trans","CI_high_trans","Rhat","Bulk_ESS","Tail_ESS","effect"
"Intercept","Salix richardsonii",2.89443874464411,0.165691842137424,2.56863384531982,3.22498809585335,2.89443874464411,2.56863384531982,3.22498809585335,18.0733548269077,13.0479866910612,25.153274725765,1.00393049604244,1486.93234822019,2160.8656685291,"fixed"
"S. Garden","Salix richardsonii",1.39675299967037,0.124047860850159,1.16392322952901,1.64568805673962,4.29119174431447,3.73255707484883,4.87067615259297,73.0534777096821,41.7858211416264,130.409063519262,1.00220525129889,1513.78001390992,2631.82561388213,"fixed"
"Year","Salix richardsonii",0.365553385830911,0.139937727826693,0.186399208054607,0.717791230990829,0.365553385830911,0.186399208054607,0.717791230990829,1.44131138879978,1.20490317143052,2.04990044999025,1.00249187934136,1606.88489605868,2404.67272127769,"random"
"Sample ID","Salix richardsonii",0.513220886949518,0.0516443070181976,0.419933204764953,0.623662124646176,0.513220886949518,0.419933204764953,0.623662124646176,1.67066355686357,1.52185989923391,1.86574814846199,1.001601642675,1600.26944149575,3427.53721958501,"random"
"Sigma","Salix richardsonii",0.617109616568291,0.0210891624380699,0.577678827009827,0.660555069776848,0.617109616568291,0.577678827009827,0.660555069776848,1.85356278459404,1.7818975343129,1.93586657726363,1.00031216073306,5546.66917595889,4810.22055946965,"residual"
"Intercept1","Salix pulchra",2.50887759553004,0.290256224876386,1.92821512731447,3.07529076937437,2.50887759553004,1.92821512731447,3.07529076937437,12.2911266999339,6.87722431060737,21.6561779494339,1.00179168485518,1280.92201734287,2255.08507908208,"fixed"
"S. Garden1","Salix pulchra",1.06614398467756,0.105676130132556,0.862397013970481,1.27443720648463,3.5750215802076,2.79061214128495,4.34972797585901,35.6953911212949,16.2909891371797,77.4573897792704,1.00149589198813,2306.787186321,3463.64594075613,"fixed"
"Year1","Salix pulchra",0.766926880642747,0.264985551196373,0.428382900408699,1.43054911259197,0.766926880642747,0.428382900408699,1.43054911259197,2.15313922234807,1.53477363392496,4.1809943983733,1.00094389022868,1755.17981074131,2530.15776373371,"random"
"Sample ID1","Salix pulchra",0.483177749251353,0.0458737922243094,0.399685595722696,0.579694390199298,0.483177749251353,0.399685595722696,0.579694390199298,1.62121804969718,1.49135573530109,1.78549268329834,1.00023143068579,2570.47467159304,3740.62229110366,"random"
"Sigma1","Salix pulchra",0.749823627370198,0.0219931095295195,0.708024519069601,0.794855863747144,0.749823627370198,0.708024519069601,0.794855863747144,2.1166266686776,2.0299771139413,2.21412183857831,1.0007579910366,7306.76466909934,4858.96565760852,"residual"
"Intercept2","Salix arctica",2.24251677957892,0.266564045005051,1.6803628682472,2.77679563398666,2.24251677957892,1.6803628682472,2.77679563398666,9.41700200630145,5.36750331430561,16.0674523715556,1.00169020339798,1833.12386964305,2252.52109927139,"fixed"
"S. Garden2","Salix arctica",-0.196956331183478,0.139651008862609,-0.472181153519385,0.0738840114692793,2.04556044839545,1.20818171472782,2.85067964545594,7.73349154651104,3.34739260101703,17.2995353966119,1.00078851004265,1832.87509545357,3031.31325417895,"fixed"
"Year2","Salix arctica",0.56315579184992,0.258076497431372,0.271924832702383,1.25767631973635,0.56315579184992,0.271924832702383,1.25767631973635,1.756205984975,1.31248834140138,3.51723904540533,1.00095402524955,2159.05634736625,2857.28979979512,"random"
"Sample ID2","Salix arctica",0.482136743130085,0.0581032881172007,0.378221712392099,0.605497809272701,0.482136743130085,0.378221712392099,0.605497809272701,1.61953122993072,1.45968653759596,1.8321640501587,1.00077698642651,1818.85616090944,2498.77886858439,"random"
"Sigma2","Salix arctica",0.476784569804871,0.0239654570466989,0.432772421922019,0.52656382336166,0.476784569804871,0.432772421922019,0.52656382336166,1.61088637310511,1.54152536339907,1.69310449554136,1.00003057372877,5905.89200458594,4203.23338485618,"residual"
