"","Species","Estimate (log og)","Est.Error","l_95_CI_log_og","u_95_CI_log_og","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","CI_low_trans","CI_high_trans","Rhat","Bulk_ESS","Tail_ESS","nobs","effect"
"Intercept","Salix richardsonii",2.63625674981914,0.289293858681093,2.05948131208612,3.2059883562782,2.63625674981914,2.05948131208612,3.2059883562782,13.9608467343674,7.84190125585143,24.6798804809975,1.00038769953589,3153.62988405325,4053.03001503506,78,"fixed"
"Southern Garden","Salix richardsonii",1.31454436203146,0.137420496267488,1.04472101800704,1.58684975022934,3.9508011118506,3.10420233009316,4.79283810650753,51.9769895426642,22.291430678192,120.64328172382,1.00024318986016,8187.70643801361,7427.79294421728,78,"fixed"
"Sample age","Salix richardsonii",0.648965136943756,0.301422363735398,0.267172202950858,1.43897002760364,0.648965136943756,0.267172202950858,1.43897002760364,1.91355953193962,1.30626536971513,4.21635085479128,1.00039181243808,2251.06035353577,4088.87164621992,78,"random"
"Sigma","Salix richardsonii",0.583370076353218,0.0507153502986403,0.494512879562138,0.694699015560757,0.583370076353218,0.494512879562138,0.694699015560757,1.79206767042413,1.63969931343882,2.00310607943968,1.00000752907942,7326.23695208601,7152.41057101866,78,"residual"
"Intercept ","Salix pulchra",2.24375500483243,0.199431814926274,1.83619909651895,2.64331261635577,2.24375500483243,1.83619909651895,2.64331261635577,9.42866959806062,6.27265115188774,14.0597009466043,1.00111363363762,3122.44571582214,4621.81592526203,109,"fixed"
"Southern Garden ","Salix pulchra",1.27766981373916,0.133442582462782,1.01683070953197,1.54079841203248,3.52142481857159,2.85302980605093,4.18411102838825,33.8325994542668,17.340239895332,65.6351272094748,1.00060368014521,9693.76435715824,8176.00021990141,109,"fixed"
"Sample age ","Salix pulchra",0.473113581663243,0.195779614723119,0.207983653746241,0.94660547924886,0.473113581663243,0.207983653746241,0.94660547924886,1.60498366933851,1.23119304399046,2.57694729464911,1.00040716946145,2862.11005064276,4324.99975616806,109,"random"
"Sigma  ","Salix pulchra",0.657177849188643,0.0485172161215785,0.569738368027296,0.75951910990005,0.657177849188643,0.569738368027296,0.75951910990005,1.92933975626354,1.7678044767516,2.13724819183564,1.00025091557642,8973.59728916141,7518.70096372469,109,"residual"
"Intercept  ","Salix arctica",2.79694696352985,0.172828859837447,2.46962227066122,3.10265046097333,2.79694696352985,2.46962227066122,3.10265046097333,16.394517227367,11.8179820099183,22.2568641236071,1.00064718064059,3837.09305460688,2160.57397868138,53,"fixed"
"Southern Garden  ","Salix arctica",0.111365839162624,0.160250953066618,-0.211789607575186,0.423033750098431,2.90831280269247,2.25783266308604,3.52568421107176,18.3258531387632,9.56234187517037,33.9770131135378,1.00002986084056,9963.32374894475,7385.28790046201,53,"fixed"
"Sample age  ","Salix arctica",0.175474737586286,0.201486961914275,0.00553450633843749,0.711240318254572,0.175474737586286,0.00553450633843749,0.711240318254572,1.19181188022617,1.00554985001214,2.0365156203168,1.00208982366996,2582.34535371455,2212.33058933392,53,"random"
"Sigma  1","Salix arctica",0.575457021190288,0.0595646049370327,0.474068989481775,0.706256418362398,0.575457021190288,0.474068989481775,0.706256418362398,1.7779428988442,1.60651781603599,2.02639108113831,1.00047073736155,11026.4391835051,7622.49870719717,53,"residual"
