"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",10.8833205932867,3.59803532812367,3.70178937067501,17.9007887075271,"1.00",3867.54689916374,3564.68190694938,"fixed",40,"Salix richardsonii"
"log(Mother Canopy Height)",0.0402501832596576,0.268353044029311,-0.483030617607622,0.572184445625234,"1.00",3858.45130203991,3521.06256720135,"fixed",40,"Salix richardsonii"
"Site:Qikiqtaruk",-12.3178756663389,14.3813186374767,-40.5389644599794,16.6604426197934,"1.00",2727.50642854871,2830.03324225043,"fixed",40,"Salix richardsonii"
"log(Mother Height) * Site",0.567582338668199,0.998045863923936,-1.42303681421452,2.52246696152016,"1.00",2705.14344606714,2843.95750145347,"fixed",40,"Salix richardsonii"
"Sigma",1.973209031646,0.239681003794763,1.5731637963121,2.50067531997899,"1.00",3443.13501963257,3232.35727664626,"residual",40,"Salix richardsonii"
" Intercept",14.7819267691104,3.32900967526768,8.23107034197482,21.327157076374,"1.00",3917.03408002216,3596.93519652656,"fixed",52,"Salix pulchra"
" log(Mother Canopy Height)",-0.322008727274236,0.23149662352716,-0.776780359933042,0.131059824997163,"1.00",3905.69921251276,3450.18893511244,"fixed",52,"Salix pulchra"
" Site:Qikiqtaruk",-5.70015118008609,12.0551854390059,-29.1299273385829,17.8316384853542,"1.00",2626.76004786292,2853.62457926182,"fixed",52,"Salix pulchra"
" log(Mother Height) * Site",0.0966151576103402,0.906873324573309,-1.67388241365621,1.86411096297044,"1.00",2627.1720825908,2905.30263349609,"fixed",52,"Salix pulchra"
" Sigma",1.97462744774316,0.204665441813873,1.62407039348838,2.41626774634432,"1.00",3030.11013260555,2911.50034811497,"residual",52,"Salix pulchra"
"Intercept ",5.57265754387045,4.55796461069653,-3.67648400115344,14.7707610919601,"1.00",2319.96043500207,2265.83567408747,"fixed",13,"Salix arctica"
"log(Mother Canopy Height) ",0.178927370092141,0.472383763881957,-0.773734777260233,1.1346347930579,"1.00",2291.14893425493,2134.74502112271,"fixed",13,"Salix arctica"
"Site:Qikiqtaruk ",-2.54754811845492,9.47566886449309,-21.3983151860932,16.0210337056155,"1.00",1785.76411772292,2320.42820463663,"fixed",13,"Salix arctica"
"log(Mother Height) * Site ",0.167447960047691,0.947094261728864,-1.68208974144563,2.07087145665419,"1.00",1765.11838449041,2282.94150010982,"fixed",13,"Salix arctica"
"Sigma ",1.51711904426447,0.420782089002371,0.924110258240197,2.50342940447345,"1.00",1892.49866841476,2124.07696588422,"residual",13,"Salix arctica"
