"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",3.0543371336806,1.18250320086969,0.7225114005274,5.41298339427776,"1.00",7159.51894967083,7286.80744333537,"fixed",45,"Salix richardsonii"
"log(Mother Canopy Width)",0.18320372698853,0.254290070839249,-0.327259014097362,0.685963803031801,"1.00",7152.69900776711,7194.79482091799,"fixed",45,"Salix richardsonii"
"Site:Qikiqtaruk",-1.45053003333263,3.03595002216729,-7.41225726212751,4.5744345455057,"1.00",4775.39753605575,5580.14737789946,"fixed",45,"Salix richardsonii"
"log(Mother Canopy Width)*Site",0.0172254184400292,0.571400105941851,-1.11467283853707,1.13737601097039,"1.00",4714.04396794032,5481.17334641552,"fixed",45,"Salix richardsonii"
"Sigma",0.685680067075863,0.0794008349801004,0.550680725964719,0.859289097884352,"1.00",6598.04707176778,6261.11298818621,"residual",45,"Salix richardsonii"
" Intercept",5.28678659305661,1.11800963753365,3.11127639388698,7.46115133271119,"1.00",3142.23396530228,3270.12330953862,"fixed",58,"Salix pulchra"
" log(Mother Canopy Width)",-0.315439933177008,0.217051020917109,-0.7402833951593,0.105738485403382,"1.00",3109.94373850508,3426.11849441193,"fixed",58,"Salix pulchra"
" Site:Qikiqtaruk",-5.51737146098585,2.61265275445828,-10.6694803929974,-0.347338387763752,"1.00",2005.93266508831,2479.42556244492,"fixed",58,"Salix pulchra"
" log(Mother Canopy Width)*Site",0.861442243556084,0.501776267734077,-0.138325712940631,1.84278102727391,"1.00",2013.13269088592,2447.42344500138,"fixed",58,"Salix pulchra"
" Sigma",0.727812276107147,0.0733381209071059,0.604221727263379,0.890387030750376,"1.00",4024.97670894796,3420.40803738061,"residual",58,"Salix pulchra"
"Intercept ",2.41374747743411,1.01546717033234,0.377070567046563,4.42947874146988,"1.00",3128.25596162401,3220.20259706307,"fixed",20,"Salix arctica"
"log(Mother Canopy Width) ",0.173337647577029,0.242172780012162,-0.316511425002739,0.653208987887116,"1.00",3125.06410964677,3050.93888634862,"fixed",20,"Salix arctica"
"Site:Qikiqtaruk ",-0.255010996985032,2.44709209879084,-5.18445508026296,4.53555678304177,"1.00",2192.3156045799,2308.61212950066,"fixed",20,"Salix arctica"
"log(Mother Canopy Width)*Site ",0.0182493649789758,0.608401652343168,-1.17005139723297,1.24829671678787,"1.00",2207.26078892592,2323.34516862925,"fixed",20,"Salix arctica"
"Sigma ",0.558187409840493,0.109857695262551,0.389181988247115,0.815839630693653,"1.00",2883.07147997417,3595.52329644334,"residual",20,"Salix arctica"
