"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",0.129417297082531,3.54462703347063,-6.70452022408256,7.05635622222819,"1.00",2507.23003301329,3150.63394655704,"fixed",54,"Salix richardsonii"
"log(Cutting length)",0.868943757731357,0.986971876887156,-1.06292668261249,2.78747920956719,"1.00",2483.90627107101,3100.70323507319,"fixed",54,"Salix richardsonii"
"Site:Qikiqtaruk",-1.35395067851924,5.35366380523186,-11.7515101594228,9.43331374574059,"1.00",1903.95920105279,2730.31381433719,"fixed",54,"Salix richardsonii"
"log(Cutting length) * Site",0.0468088211333035,1.4896754496557,-2.94368932444637,2.9406792685857,"1.00",1899.94660888626,2645.81440218494,"fixed",54,"Salix richardsonii"
"Sigma",1.0463970263021,0.109312859940821,0.861703172927835,1.28937393729395,"1.00",2900.16131270279,3117.11326398933,"residual",54,"Salix richardsonii"
" Intercept",2.19597645997774,2.86914597765021,-3.58039383966048,7.66362985995065,"1.00",1592.76551211202,1732.24716065679,"fixed",74,"Salix pulchra"
" log(Cutting length)",0.219799995794067,0.797114042805488,-1.30221480851055,1.81628245057594,"1.00",1595.62939558855,1724.00986041446,"fixed",74,"Salix pulchra"
" Site:Qikiqtaruk",-0.858933534041045,2.96785482209151,-6.50437089245914,5.12549786118895,"1.00",1549.11428452134,1668.97099703035,"fixed",74,"Salix pulchra"
" log(Cutting length) * Site",0.0319726180292096,0.82154484133281,-1.63999461711472,1.59755428825693,"1.00",1554.27736199577,1694.83673378091,"fixed",74,"Salix pulchra"
" Sigma",0.735348301170453,0.0628913795486545,0.622997319869262,0.871461612452389,"1.00",3289.84572357056,3135.66616682775,"residual",74,"Salix pulchra"
"Intercept ",-0.740012090820966,1.44547475724194,-3.53054694219388,2.06947737290856,"1.00",2744.65071182185,3410.26633791557,"fixed",31,"Salix arctica"
"log(Cutting length) ",0.759463301632872,0.486816901643854,-0.180482352372371,1.69331255378971,"1.00",2722.32811837999,3546.57137298318,"fixed",31,"Salix arctica"
"Site:Qikiqtaruk ",4.52153871347026,2.81808490719974,-1.20347236440964,10.0622220528715,"1.00",1990.58875275197,2172.7803529515,"fixed",31,"Salix arctica"
"log(Cutting length) * Site ",-1.5665263431292,0.861704369191012,-3.271679223225,0.18961261404992,"1.00",1962.35843590258,2140.64453762607,"fixed",31,"Salix arctica"
"Sigma ",0.796976013796037,0.1148280074191,0.608764388011513,1.05301499242262,"1.00",3039.54876541832,3292.12740172412,"residual",31,"Salix arctica"
