"","Estimate","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species","CI_low_trans","CI_high_trans","Estimate_trans"
"Intercept",-10.2446451818178,-17.1019578904069,-5.05228492593342,"1.00",2080.6766439852,2128.64524321181,"fixed",25,"Salix richardsonii",129.418042109593,141.467715074067,136.275354818182
"Northern Source",30.244694844076,10.7040833233692,49.6441488119681,"1.00",2780.6288135879,2366.31563836141,"fixed",25,"Salix richardsonii",157.224083323369,196.164148811968,176.764694844076
"SouthernSource",-10.4118784550153,-22.1770782817137,-0.275707237723079,"1.00",2912.64003749711,3172.64456023258,"fixed",25,"Salix richardsonii",124.342921718286,146.244292762277,136.108121544985
"Southern Garden",26.921160304708,14.3243065860609,37.8122015152684,"1.00",3155.99370764136,3640.43275876066,"fixed",25,"Salix richardsonii",160.844306586061,184.332201515268,173.441160304708
"Year",2.38624347916503,0.0592652408704649,8.42557149311169,"1.00",1568.31107002296,1761.27019041153,"random",25,"Salix richardsonii",146.57926524087,154.945571493112,148.906243479165
"Sigma",4.69608854336351,3.49536102598872,6.51721088935331,"1.00",3403.21786460671,3011.95414091322,"residual",25,"Salix richardsonii",150.015361025989,153.037210889353,151.216088543364
" Intercept",-15.9041980587028,-25.4908586388996,-7.80631789677851,"1.00",1889.59703203786,2099.39056754157,"fixed",23,"Salix pulchra",125.117837013274,142.802377755395,134.704497593471
" Northern Source",19.0942353392422,-3.95811006111608,42.6637629301285,"1.00",2142.56925561339,2106.22933764925,"fixed",23,"Salix pulchra",146.650585591058,193.272458582302,169.702930991416
" SouthernSource",-10.3481311075106,-24.4729705343863,2.29590176384632,"1.00",4024.43173347747,3651.94117796753,"fixed",23,"Salix pulchra",126.135725117788,152.90459741602,140.260564544663
" Southern Garden",21.5848398636154,5.96438543010388,35.6238458374308,"1.00",4319.26628519157,3696.46009407443,"fixed",23,"Salix pulchra",156.573081082278,186.232541489605,172.193535515789
" Year",5.52290159123585,0.443953029630929,15.9958287568063,"1.00",1200.66846620085,1498.50565367205,"random",23,"Salix pulchra",151.052648681805,166.60452440898,156.13159724341
" Sigma",4.40684869092593,3.10560568627238,6.32563943541204,"1.00",2822.43186131738,3334.64966899427,"residual",23,"Salix pulchra",153.714301338446,156.934335087586,155.0155443431
"Intercept ",-30.9541488205238,-43.1374240992787,-17.8070423057077,"1.00",1753.50693080655,2091.02742943841,"fixed",147,"Salix arctica",111.182303791878,136.512685585449,123.365579070633
"Northern Source ",1.9794371952832,-17.8354088350158,22.4701930252104,"1.00",3262.90176345296,2919.65239870916,"fixed",147,"Salix arctica",136.484319056141,176.789920916367,156.29916508644
"Southern Garden ",-22.793130916085,-43.8306249317138,-0.860035646914621,"1.00",3056.44413152193,3264.59325140193,"fixed",147,"Salix arctica",110.489102959443,153.459692244242,131.526596975071
"Year ",14.4278740261447,8.3125327931978,25.8555413790532,"1.00",1397.55470806873,2196.95292306104,"random",147,"Salix arctica",162.632260684354,180.17526927021,168.747601917301
"Sigma ",6.97478703444095,6.22090801900017,7.8563217459484,"1.00",3593.05131037282,3480.43249938954,"residual",147,"Salix arctica",160.540635910157,162.176049637105,161.294514925597
