"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-11.7766307276839,-26.9318693972626,2.75993783884273,1.00025919216911,2299.8880804825,1968.40463841583,17,"fixed",53.5174869193749,38.3622482497962,68.0540554859016
"Southern Garden","Salix richardsonii",24.3655973284956,13.9343480501252,34.6847140867203,1.00021136283044,3010.72457960419,2958.10488314726,17,"fixed",77.8830842478704,52.2965962999214,102.738769572622
"Southern Source","Salix richardsonii",-10.8573729298133,-25.1918392283164,3.46589757004114,1.00043128300424,3774.12192262115,3563.60357218144,17,"fixed",42.6601139895616,13.1704090214799,71.5199530559427
"Year","Salix richardsonii",8.44169640289034,0.255176778454867,29.8970287012142,1.00089396445402,1621.83651098029,1957.59273418359,17,"random",73.7358140499492,65.5492944255137,95.191146348273
"Sigma","Salix richardsonii",8.53798178853737,5.79539817350954,12.8271493172096,1.00032040923844,3167.64023599899,3390.0944775979,17,"residual",73.8320994355962,71.0895158205684,78.1212669642684
" Intercept","Salix pulchra",-7.52793363801049,-24.5011376156667,7.93831353777558,1.00071181554454,3016.51356413005,2859.96594754677,14,"fixed",50.6149235048467,33.6417195271904,66.0811706806327
" Northern Source","Salix pulchra",-1.13766923136359,-27.7183434888217,26.9343401772406,1.00066673184036,3101.6124472619,3027.36783297156,14,"fixed",49.4772542734831,5.92337603836872,93.0155108578734
" Southern Garden","Salix pulchra",20.9354086270625,0.935767074502646,41.424874981152,1.00034731837426,4187.50899478932,3246.20683646186,14,"fixed",71.5503321319092,34.5774866016931,107.506045661785
" Southern Source","Salix pulchra",0.710002994228759,-27.4881846724785,29.2209505281702,1.00046676900014,3987.52110278832,3583.17276768364,14,"fixed",51.3249264990754,6.15353485471194,95.302121208803
" Year","Salix pulchra",5.79079622235933,0.168366511941668,18.9686364256447,1.002014702773,2662.44152295921,2552.59002513084,14,"random",63.9336533652165,58.3112236547988,77.1114935685019
" Sigma","Salix pulchra",14.816984769627,9.92712709725122,22.7204914080021,0.999934431952363,4126.19182036946,3447.5360517968,14,"residual",72.9598419124841,68.0699842401084,80.8633485508593
"Intercept ","Salix arctica",22.1412105963961,5.47257057751338,38.8965917457466,1.00111198254682,2056.57584821593,2314.95505352854,114,"fixed",73.0096316490277,56.340991630145,89.7650127983782
"Northern Source ","Salix arctica",-25.1159645193567,-38.7107677950516,-11.3413094567722,1.00160243520282,2951.00806637843,3613.57606830553,114,"fixed",47.893667129671,12.15765325758,78.423703341606
"Southern Garden ","Salix arctica",16.2406511395598,1.09026898793068,30.9409316245951,1.00171642859136,3565.55139394492,4013.94328284268,114,"fixed",89.2502827885874,51.9586900405623,120.705944422973
"Year ","Salix arctica",13.3002423362103,7.20148254592792,24.0512073552383,1.00109677810537,1328.87825215544,2548.21831850149,114,"random",64.1686633888419,58.0699035985595,74.9196284078699
"Sigma ","Salix arctica",11.993310701598,10.4607306454465,13.7743684397324,1.00126306400622,3780.92353774117,3182.97838075157,114,"residual",62.8617317542296,61.3291516980781,64.642789492364
