"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","Est.Error","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-27.2951313828435,-36.3570780312078,-17.2807385798519,1.00219115669774,2772.53934247849,2987.2714689211,78,"fixed",185.204868617156,4.89325616579367,176.142921968792,195.219261420148
"Northern Source","Salix richardsonii",23.8851127755226,11.3987499455859,36.248574748304,0.999965376536618,4548.51793367476,4667.85778502495,78,"fixed",209.089981392679,6.40488409009261,187.541671914378,231.467836168452
"Southern Garden","Salix richardsonii",39.8330378662067,31.0032400906183,48.906575513139,1.00052077188458,3946.87475842838,4281.89552630848,78,"fixed",225.037906483363,4.48664943025618,207.14616205941,244.125836933287
"Southern Source","Salix richardsonii",33.1916147954762,22.6343097641314,43.9623062692457,1.00016307035519,4176.07646592028,3839.25508537687,78,"fixed",218.396483412633,5.42482503100597,198.777231732924,239.181567689394
"Year","Salix richardsonii",4.84891072989375,0.174015183165855,17.0128152434194,1.00300592676389,2019.53395352572,2188.04952914529,78,"random",217.348910729894,4.6123879969561,212.674015183166,229.512815243419
"Sigma","Salix richardsonii",15.4012796210126,13.1242638820882,18.2077795875886,1.0008422083839,5124.85354353025,4078.48770854044,78,"residual",227.901279621013,1.29665017175733,225.624263882088,230.707779587589
" Intercept","Salix pulchra",-13.4895853851131,-23.6711998841935,-1.91010391740892,1.00116275327094,2344.99606513186,2357.27663978652,49,"fixed",196.592047267948,5.42242828350601,186.410432768868,208.171528735652
" Northern Source","Salix pulchra",13.9529119341277,1.52076036127484,26.8181386870431,1.00159206670135,3345.83565644399,3779.91642774437,49,"fixed",210.544959202076,6.41162762109785,187.931193130143,234.989667422695
" Southern Garden","Salix pulchra",21.6987794064996,11.927474866987,32.0243947520152,1.00090406087779,3467.56331439277,3620.97744067507,49,"fixed",218.290826674448,5.04902688836791,198.337907635855,240.195923487667
" Southern Source","Salix pulchra",24.5676241812488,13.6058871475243,35.611572783144,1.00064192565055,3924.88290090592,3922.39653287705,49,"fixed",221.159671449197,5.50978523911182,200.016319916392,243.783101518796
" Year","Salix pulchra",6.56612699181835,0.314694101388916,20.2659029598439,1.0040083548662,1293.87681421757,2023.50794160313,49,"random",216.64775964488,5.41753341357251,210.39632675445,230.347535612905
" Sigma","Salix pulchra",13.2705302462836,10.7207634100195,16.6294959180667,1.00044459869254,4084.92325624045,3966.5003109195,49,"residual",223.352162899345,1.49950902790035,220.802396063081,226.711128571128
"Intercept ","Salix arctica",-12.5556356788985,-20.3622355277355,-4.71161175005787,1.00020607336069,2870.6310953442,3493.41143173091,154,"fixed",193.736572113309,3.99899612259366,185.929972264472,201.58059604215
"Northern Source ","Salix arctica",12.9532727836226,5.3504153209979,20.4736920285886,1.0000775780949,3728.83332711035,4109.00233559683,154,"fixed",206.689844896932,3.83714616379007,191.28038758547,222.054288070739
"Southern Garden ","Salix arctica",19.1528466900974,11.0897940186522,27.5439729299001,1.00030399064743,4288.97404441039,3714.19406866414,154,"fixed",212.889418803407,4.17022355115197,197.019766283125,229.12456897205
"Year ","Salix arctica",5.12111218653573,2.34504751807234,9.82031217302881,1.00041945740834,1930.66460602825,2640.07480072389,154,"random",211.413319978744,1.97515085004478,208.63725531028,216.112519965237
"Sigma ","Salix arctica",10.5943101528532,9.46002446115025,11.9320524993396,1.00022063479184,5011.10819348001,4155.56803465326,154,"residual",216.886517945061,0.630748368877617,215.752232253358,218.224260291547
