"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",4.77973188406413,0.0985552111882888,4.54917780772422,4.94707865673162,1.00523308362527,1356.50589498433,1151.38942467233,193,"fixed",35414.2303432842,102396.699954733,60218.7704838705,1.25474424142106
"Northern source","Salix richardsonii",0.310682717529055,0.101936170744049,0.112951367165465,0.506455932149504,1.0005232481348,4301.98124871701,3754.10640008314,193,"fixed",1.29703401937379,3.22414130828818,2.04495011188979,1.26455047992883
"Sample year","Salix richardsonii",0.11397079190355,0.139350968227306,0.00342188018208778,0.490225800824322,1.00233145534164,1384.99117101504,1490.11237501222,193,"random",1.0079102926453,1.67694841595361,1.30008213920309,1.37832288881353
"Sigma","Salix richardsonii",0.59616528717547,0.0307957700935049,0.539483952406617,0.66210907445608,0.999732584262438,4744.68321601604,3823.48685781414,193,"residual",3.46325087331101,4.49621035976365,3.9460745627828,1.07348448031644
"Intercept1","Salix pulchra",5.01462927037052,0.444810028919994,4.10519245831462,5.93794538866251,1.0021528577628,1360.26773476878,1660.32473161001,199,"fixed",12740.6756106944,839587.728813537,103425.89085685,2.78490271726604
"Northern source1","Salix pulchra",-0.382280607157175,0.104325486907704,-0.584490557893047,-0.179415018429305,1.00056917445655,3789.64584949261,2812.86104160566,199,"fixed",0.260321142784168,0.660585966933479,0.414686018355222,1.27152670825624
"Sample year1","Salix pulchra",0.847656279767152,0.601685837540331,0.288225485091176,2.38974436883372,1.00796037407139,1138.90045659937,1714.96422681763,199,"random",1.94189384448674,25.5321316117618,7.04135563748244,3.99655540027489
"Sigma1","Salix pulchra",0.614615812416532,0.0318457850447798,0.556684135945091,0.681336136633276,1.00145641127512,3838.98823249686,3199.73779800835,199,"residual",3.60316488125899,4.70486849335531,4.11733128691386,1.07608303616466
"Intercept2","Salix arctica",2.73963193958338,0.928626593112591,0.873735206607639,4.76337030834661,1.0002132877926,1687.5730608584,2179.3511403393,60,"fixed",7.47713473631314,40320.7565734348,549.075340522278,8.48450662493907
"Northern source2","Salix arctica",0.209210693502485,0.301162843044255,-0.40607344199859,0.799655410216787,1.00095988572044,3598.36413361042,2593.90400160275,60,"fixed",0.392578542221927,6.6756695242471,1.61886522298315,2.00061187837462
"Sample year2","Salix arctica",1.63288416412982,0.990661783737567,0.528587600461055,4.26073432630917,1.00047933535543,1657.2174212111,2633.64747949975,60,"random",3.37743967268384,545.9850206489,42.9421875249818,9.78727483250134
"Sigma2","Salix arctica",0.762464447714922,0.0734568987276818,0.634861390678284,0.920946423012086,1.00131919271069,3727.78565030539,3336.37159870885,60,"residual",4.31381375279227,7.76367782314278,5.78714611580887,1.18428682739169
