"","Species","Est.Error","Estimate","lower_CI","upper_CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_sum","lower_CI_trans","upper_CI_trans"
"Intercept","Salix richardsonii",8.12123435052255,23.5302387901936,6.62594367858151,39.098468060453,1.0006371520168,2227.78978145074,2636.45785562563,88,"fixed",23.5302387901936,6.62594367858151,39.098468060453
"Northern Source","Salix richardsonii",8.77508375861587,25.6250270555432,8.64863386709756,43.0432827141524,1.00079251385724,2896.61094030425,3493.48664168114,88,"fixed",49.1552658457368,15.2745775456791,82.1417507746054
"Southern Source","Salix richardsonii",7.1713552287011,48.2716364630892,34.4742848188723,62.4536452651132,1.00070812744273,2903.79793552799,3805.95434004658,88,"fixed",71.8018752532828,41.1002284974538,101.552113325566
"Southern Garden","Salix richardsonii",8.01373126768225,29.4705926107465,13.9844781448574,45.2885603608633,1.00109999836679,3406.3200882446,3583.08081993997,88,"fixed",53.0008314009401,20.6104218234389,84.3870284213163
"Year","Salix richardsonii",7.29263243400144,7.29064407620567,0.157141580872918,26.2010715940785,1.00138212106439,1434.7313475903,1615.77941631033,88,"random",7.29064407620567,0.157141580872918,26.2010715940785
"Sigma","Salix richardsonii",1.52741402583921,19.4553790441879,16.7299711393558,22.7167786106701,1.0014262569176,4059.74054606563,3394.58262619304,88,"residual",19.4553790441879,16.7299711393558,22.7167786106701
"Intercept1","Salix pulchra",5.80191247553983,19.0294174208625,7.75306324803871,30.5753605216369,1.00137626766872,2552.01973881023,2641.65546353288,66,"fixed",19.0294174208625,7.75306324803871,30.5753605216369
"Northern Source1","Salix pulchra",7.02890536581026,20.26336423677,6.11291775594299,33.9214252483066,1.00030518143678,3109.4853719166,3707.39281927375,66,"fixed",39.2927816576325,13.8659810039817,64.4967857699435
"Southern Source1","Salix pulchra",5.31393332593871,37.7201654435971,27.3236255339,48.1468623474127,1.00012242954712,3002.17252057887,3694.98061384251,66,"fixed",56.7495828644597,35.0766887819387,78.7222228690497
"Southern Garden1","Salix pulchra",5.94766218245291,14.11798378276,2.30898428406464,25.9908881830131,1.00040298840272,3307.69127833316,3787.53023333573,66,"fixed",33.1474012036225,10.0620475321034,56.5662487046501
"Year1","Salix pulchra",5.72306446550459,5.12718102285209,0.136077124903372,21.0086763684683,1.0042293512759,1683.93881998685,2196.86010406067,66,"random",5.12718102285209,0.136077124903372,21.0086763684683
"Sigma1","Salix pulchra",1.38369985231153,14.8755738139878,12.4832370883922,17.8872566622415,1.00038379363767,4462.433050007,4041.33565791209,66,"residual",14.8755738139878,12.4832370883922,17.8872566622415
"Intercept2","Salix arctica",5.41618155573819,36.8268613705963,25.987424422711,47.0827522561541,0.999760215145245,3057.23720115882,3341.91150403953,56,"fixed",36.8268613705963,25.987424422711,47.0827522561541
"Northern Source2","Salix arctica",6.82718547138994,18.5983589831763,5.55357167595574,32.0980568618004,0.999982423719318,3289.16156840899,4004.35801299256,56,"fixed",55.4252203537726,31.5409960986667,79.1808091179545
"Southern Source2","Salix arctica",7.68893525880291,19.4021970725702,4.51637390580226,34.8886274616887,1.00001386531842,3408.05261693849,3824.95783185916,56,"fixed",56.2290584431665,30.5037983285132,81.9713797178428
"Southern Garden2","Salix arctica",7.66727554033442,12.3662075786185,-2.65589553999133,27.7156327815999,0.999882417185799,3441.83539902172,4133.32976571115,56,"fixed",49.1930689492148,23.3315288827196,74.798385037754
"Sigma2","Salix arctica",1.83054008071056,18.6638586835253,15.4758570021544,22.7461794575262,1.00003623749958,4242.97092765367,3939.26177788435,56,"residual",18.6638586835253,15.4758570021544,22.7461794575262
